,filename,number_performers,length_seconds,performance_context,performance_type,instruments,notes,touch_orientation,video_location,flux,number_performers,length_seconds,entropy,filename
2014-04-28 18:58:53.799657,2014-04-28T18-58-53-MetatoneOSCLog,4.0,364.461235,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,,,0.38872609266641994,4,364.461235,4.391994854611094,2014-04-28T18-58-53-MetatoneOSCLog
2014-04-28 19:05:59.101803,2014-04-28T19-05-15-MetatoneOSCLog,4.0,189.163548,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,,,0.30946956585399255,4,189.163548,4.334840692319475,2014-04-28T19-05-15-MetatoneOSCLog
2014-04-28 19:09:58.130290,2014-04-28T19-09-52-MetatoneOSCLog,2.0,289.369243,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,,,0.08131487889273356,2,289.369243,1.9742513062678646,2014-04-28T19-09-52-MetatoneOSCLog
2014-04-28 19:18:42.386768,2014-04-28T19-18-42-MetatoneOSCLog,4.0,"1,003.833114",demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,,,0.32223962479176516,4,1003.833114,4.502105431811735,2014-04-28T19-18-42-MetatoneOSCLog
2014-04-28 19:35:29.963207,2014-04-28T19-35-29-MetatoneOSCLog,4.0,212.497279,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,,,0.09389671361502347,4,212.497279,2.069523964424495,2014-04-28T19-35-29-MetatoneOSCLog
2014-04-29 10:46:48.745465,2014-04-29T10-46-36-MetatoneOSCLog,3.0,"1,192.934166",demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,,,0.41595066018302285,3,1192.934166,4.174321543590405,2014-04-29T10-46-36-MetatoneOSCLog
2014-04-29 15:19:05.612958,2014-04-29T15-18-15-MetatoneOSCLog,4.0,"1,920.573474",demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,,,0.3726137005509165,4,1069.015559,4.559145898439237,2014-04-29T15-19-05-MetatoneOSCLog-autosplit
2014-04-29 15:40:16.134918,,,,,,,,,,0.3007084345818152,4,650.051514,4.337152646959308,2014-04-29T15-40-16-MetatoneOSCLog-autosplit
2014-04-29 15:51:11.507481,2014-04-29T15-51-11-MetatoneOSCLog,6.0,"2,103.762972",demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,,,0.30592319757705394,4,980.2538,4.572398168125778,2014-04-29T15-51-11-MetatoneOSCLog-autosplit
2014-04-29 16:13:36.117433,,,,,,,,,,0.3304255239808405,6,759.15302,4.605411678391671,2014-04-29T16-13-36-MetatoneOSCLog-autosplit
2014-05-05 20:05:21.683728,2014-05-05T20-02-01-MetatoneOSCLog,3.0,534.619541,rehearsal,composition,iPad,Outpost 186 Boston - study in bowls rehearsal,portrait,,0.33855337985451694,3,534.619541,4.149394732957961,2014-05-05T20-02-01-MetatoneOSCLog
2014-05-05 20:26:47.513622,2014-05-05T20-26-38-MetatoneOSCLog,3.0,214.818499,rehearsal,improvisation,percussion,"Outpost 186 Boston - metalonsdale, birdsnest experimentation session",,,0.16899224806201552,3,214.818499,2.903037213934273,2014-05-05T20-26-38-MetatoneOSCLog
