time,jonathan,charles_ipadair
2014-03-13 16:17:15,4,1
2014-03-13 16:17:16,7,1
2014-03-13 16:17:17,4,2
2014-03-13 16:17:18,4,2
2014-03-13 16:17:19,4,2
2014-03-13 16:17:20,4,2
2014-03-13 16:17:21,4,2
2014-03-13 16:17:22,4,1
2014-03-13 16:17:23,4,1
2014-03-13 16:17:24,4,3
2014-03-13 16:17:25,4,3
2014-03-13 16:17:26,4,3
2014-03-13 16:17:27,4,3
2014-03-13 16:17:28,4,3
2014-03-13 16:17:29,8,3
2014-03-13 16:17:30,8,1
2014-03-13 16:17:31,8,2
2014-03-13 16:17:32,8,1
2014-03-13 16:17:33,8,1
2014-03-13 16:17:34,8,2
2014-03-13 16:17:35,8,2
2014-03-13 16:17:36,8,2
2014-03-13 16:17:37,8,3
2014-03-13 16:17:38,8,4
2014-03-13 16:17:39,8,4
2014-03-13 16:17:40,8,4
2014-03-13 16:17:41,8,4
2014-03-13 16:17:42,7,4
2014-03-13 16:17:43,8,4
2014-03-13 16:17:44,7,0
2014-03-13 16:17:45,7,0
2014-03-13 16:17:46,8,0
2014-03-13 16:17:47,8,0
2014-03-13 16:17:48,8,0
2014-03-13 16:17:49,8,0
2014-03-13 16:17:50,4,0
2014-03-13 16:17:51,7,0
2014-03-13 16:17:52,7,0
2014-03-13 16:17:53,7,0
2014-03-13 16:17:54,7,0
2014-03-13 16:17:55,7,0
2014-03-13 16:17:56,4,0
2014-03-13 16:17:57,4,0
2014-03-13 16:17:58,7,0
2014-03-13 16:17:59,4,0
2014-03-13 16:18:00,4,0
2014-03-13 16:18:01,7,0
2014-03-13 16:18:02,7,0
2014-03-13 16:18:03,4,0
2014-03-13 16:18:04,4,0
2014-03-13 16:18:05,7,0
2014-03-13 16:18:06,4,0
2014-03-13 16:18:07,7,0
2014-03-13 16:18:08,7,0
2014-03-13 16:18:09,7,0
2014-03-13 16:18:10,7,0
2014-03-13 16:18:11,7,0
2014-03-13 16:18:12,8,0
2014-03-13 16:18:13,7,0
2014-03-13 16:18:14,7,0
2014-03-13 16:18:15,8,0
2014-03-13 16:18:16,7,0
2014-03-13 16:18:17,7,0
2014-03-13 16:18:18,7,0
2014-03-13 16:18:19,8,0
