time,charles_ipadair,jonathan_iPad2,yvonne,jonathan,christina,iPad2-64-white,charles
2014-03-17 18:17:14,3,1,3,2,2,3,3
2014-03-17 18:17:15,3,1,3,2,2,3,3
2014-03-17 18:17:16,3,1,3,2,2,3,3
2014-03-17 18:17:17,1,1,3,2,1,3,3
2014-03-17 18:17:18,1,1,3,2,1,3,3
2014-03-17 18:17:19,1,1,3,2,2,3,3
2014-03-17 18:17:20,1,1,3,2,1,3,3
2014-03-17 18:17:21,1,1,3,2,1,3,3
2014-03-17 18:17:22,3,1,3,2,1,3,3
2014-03-17 18:17:23,2,1,3,3,1,3,3
2014-03-17 18:17:24,2,1,3,1,1,3,3
2014-03-17 18:17:25,2,3,3,2,1,1,3
2014-03-17 18:17:26,2,3,3,2,1,1,3
2014-03-17 18:17:27,2,1,3,2,1,3,3
2014-03-17 18:17:28,2,3,3,2,1,3,3
2014-03-17 18:17:29,2,1,3,2,1,1,3
2014-03-17 18:17:30,2,1,3,2,1,1,3
2014-03-17 18:17:31,1,1,3,2,1,1,3
2014-03-17 18:17:32,3,3,3,1,1,1,3
2014-03-17 18:17:33,3,3,3,1,1,1,3
2014-03-17 18:17:34,3,3,1,1,1,1,3
2014-03-17 18:17:35,3,1,1,1,1,3,3
2014-03-17 18:17:36,3,3,1,1,1,3,3
2014-03-17 18:17:37,3,3,3,1,1,1,3
2014-03-17 18:17:38,3,1,3,3,1,1,3
2014-03-17 18:17:39,3,3,3,1,1,1,3
2014-03-17 18:17:40,3,3,3,1,1,1,3
2014-03-17 18:17:41,3,3,3,1,1,1,3
2014-03-17 18:17:42,3,3,3,1,1,3,3
2014-03-17 18:17:43,3,1,3,1,1,1,3
2014-03-17 18:17:44,3,1,3,1,1,1,3
2014-03-17 18:17:45,3,3,3,2,1,1,3
2014-03-17 18:17:46,3,3,3,2,1,1,3
2014-03-17 18:17:47,3,3,3,2,1,1,3
2014-03-17 18:17:48,3,3,3,2,1,3,3
2014-03-17 18:17:49,3,3,3,2,1,3,3
2014-03-17 18:17:50,1,3,3,1,1,3,3
2014-03-17 18:17:51,1,3,3,3,1,1,3
2014-03-17 18:17:52,1,3,3,3,1,1,3
2014-03-17 18:17:53,1,3,3,3,1,1,3
2014-03-17 18:17:54,1,1,3,1,1,1,3
2014-03-17 18:17:55,3,3,3,3,2,1,3
2014-03-17 18:17:56,3,3,4,3,4,3,3
2014-03-17 18:17:57,4,4,4,4,4,4,8
2014-03-17 18:17:58,4,4,4,4,4,4,3
2014-03-17 18:17:59,4,7,4,4,4,4,3
2014-03-17 18:18:00,4,4,4,4,4,4,3
2014-03-17 18:18:01,4,4,4,4,4,4,4
2014-03-17 18:18:02,4,8,4,4,4,4,4
2014-03-17 18:18:03,4,4,4,4,4,4,4
2014-03-17 18:18:04,4,4,4,4,4,4,4
2014-03-17 18:18:05,4,4,4,4,4,4,4
2014-03-17 18:18:06,4,4,4,4,4,4,2
2014-03-17 18:18:07,4,4,4,4,4,4,2
2014-03-17 18:18:08,8,4,4,4,4,4,4
2014-03-17 18:18:09,8,4,4,4,4,4,4
2014-03-17 18:18:10,4,4,4,4,4,4,4
2014-03-17 18:18:11,8,4,4,4,4,4,4
2014-03-17 18:18:12,4,4,7,4,4,4,4
2014-03-17 18:18:13,4,4,4,4,4,4,2
2014-03-17 18:18:14,4,4,7,4,4,4,4
2014-03-17 18:18:15,4,4,4,4,4,4,4
2014-03-17 18:18:16,4,4,7,4,4,4,4
2014-03-17 18:18:17,4,4,7,4,4,4,4
2014-03-17 18:18:18,4,4,7,4,4,4,4
2014-03-17 18:18:19,4,4,4,4,4,4,4
2014-03-17 18:18:20,4,4,7,4,4,4,4
2014-03-17 18:18:21,4,4,4,4,4,4,4
2014-03-17 18:18:22,4,4,7,4,4,4,4
2014-03-17 18:18:23,4,4,4,4,4,4,4
2014-03-17 18:18:24,4,4,7,4,4,4,4
2014-03-17 18:18:25,4,4,4,4,4,4,2
2014-03-17 18:18:26,4,4,4,4,4,4,4
2014-03-17 18:18:27,4,4,4,4,4,4,4
2014-03-17 18:18:28,4,4,4,4,4,4,4
2014-03-17 18:18:29,4,4,4,4,4,4,4
2014-03-17 18:18:30,4,4,4,4,4,4,4
2014-03-17 18:18:31,4,4,4,4,4,4,4
2014-03-17 18:18:32,4,4,4,4,4,4,4
2014-03-17 18:18:33,4,4,4,4,4,4,4
2014-03-17 18:18:34,4,4,4,4,4,4,4
2014-03-17 18:18:35,4,4,4,4,4,4,4
2014-03-17 18:18:36,4,4,4,4,4,4,4
2014-03-17 18:18:37,4,4,4,4,4,4,2
2014-03-17 18:18:38,4,4,4,4,4,4,4
2014-03-17 18:18:39,4,4,4,4,4,4,4
2014-03-17 18:18:40,4,4,4,4,4,4,4
2014-03-17 18:18:41,4,4,4,4,4,4,4
2014-03-17 18:18:42,4,4,4,4,4,4,4
2014-03-17 18:18:43,4,4,4,4,4,4,4
2014-03-17 18:18:44,7,4,7,4,4,4,4
2014-03-17 18:18:45,4,4,7,4,4,4,4
2014-03-17 18:18:46,4,4,4,4,4,4,4
2014-03-17 18:18:47,4,4,4,4,4,4,4
2014-03-17 18:18:48,4,4,4,4,4,4,4
2014-03-17 18:18:49,4,4,4,4,4,4,4
2014-03-17 18:18:50,4,4,4,4,4,4,4
2014-03-17 18:18:51,4,4,4,4,4,4,4
2014-03-17 18:18:52,4,4,4,4,4,4,4
2014-03-17 18:18:53,4,4,4,4,4,4,4
2014-03-17 18:18:54,4,4,4,4,4,4,4
2014-03-17 18:18:55,4,4,4,4,4,4,4
2014-03-17 18:18:56,4,4,4,4,4,4,4
2014-03-17 18:18:57,4,4,4,4,4,4,4
2014-03-17 18:18:58,4,4,4,4,4,4,4
2014-03-17 18:18:59,4,4,4,4,4,4,4
2014-03-17 18:19:00,4,4,4,4,4,4,4
2014-03-17 18:19:01,4,4,4,4,4,4,4
2014-03-17 18:19:02,4,4,4,4,4,4,4
2014-03-17 18:19:03,4,4,4,4,4,4,4
2014-03-17 18:19:04,4,4,4,4,4,4,4
2014-03-17 18:19:05,4,4,4,4,4,4,4
2014-03-17 18:19:06,4,4,4,4,4,4,4
2014-03-17 18:19:07,4,4,4,4,4,4,4
2014-03-17 18:19:08,4,4,4,4,4,4,4
2014-03-17 18:19:09,4,4,4,4,4,4,4
2014-03-17 18:19:10,4,4,4,4,4,4,4
2014-03-17 18:19:11,4,4,4,4,4,4,4
2014-03-17 18:19:12,4,4,4,4,4,4,8
2014-03-17 18:19:13,4,4,4,4,4,4,4
2014-03-17 18:19:14,4,4,4,4,4,4,4
2014-03-17 18:19:15,4,4,4,4,4,4,4
2014-03-17 18:19:16,4,4,4,4,4,4,4
2014-03-17 18:19:17,4,4,4,7,4,4,4
2014-03-17 18:19:18,4,4,4,7,4,4,8
2014-03-17 18:19:19,4,4,4,7,4,4,4
2014-03-17 18:19:20,4,4,4,7,4,4,4
2014-03-17 18:19:21,4,4,4,7,4,4,4
2014-03-17 18:19:22,4,4,4,7,4,4,7
2014-03-17 18:19:23,4,4,4,7,4,4,7
2014-03-17 18:19:24,4,4,4,7,4,4,8
2014-03-17 18:19:25,4,4,4,7,4,4,8
2014-03-17 18:19:26,4,4,4,7,4,4,7
2014-03-17 18:19:27,4,4,4,7,4,4,4
2014-03-17 18:19:28,4,4,4,7,2,4,7
2014-03-17 18:19:29,4,4,4,7,0,4,7
2014-03-17 18:19:30,4,4,4,7,0,4,7
2014-03-17 18:19:31,4,4,4,7,2,4,7
2014-03-17 18:19:32,4,4,8,7,2,4,7
2014-03-17 18:19:33,4,4,7,7,2,4,4
2014-03-17 18:19:34,4,4,7,7,4,4,4
2014-03-17 18:19:35,4,4,7,7,4,4,4
2014-03-17 18:19:36,4,4,7,7,4,4,4
2014-03-17 18:19:37,4,4,7,7,4,4,4
2014-03-17 18:19:38,7,4,7,7,4,4,8
2014-03-17 18:19:39,4,4,7,7,4,4,4
2014-03-17 18:19:40,4,4,7,7,4,4,7
2014-03-17 18:19:41,7,4,7,7,4,4,4
2014-03-17 18:19:42,7,4,7,7,4,4,4
2014-03-17 18:19:43,7,4,7,7,4,4,4
2014-03-17 18:19:44,7,4,7,7,4,4,4
2014-03-17 18:19:45,7,4,7,7,4,4,4
2014-03-17 18:19:46,7,4,7,7,4,4,4
2014-03-17 18:19:47,7,4,7,7,4,4,4
2014-03-17 18:19:48,7,4,7,7,4,4,4
2014-03-17 18:19:49,4,4,7,7,4,4,4
2014-03-17 18:19:50,7,4,7,7,4,4,4
2014-03-17 18:19:51,7,4,7,7,4,4,4
2014-03-17 18:19:52,7,4,7,7,4,4,8
2014-03-17 18:19:53,7,4,7,7,4,4,4
2014-03-17 18:19:54,7,4,7,7,4,4,7
2014-03-17 18:19:55,7,4,7,7,4,4,4
2014-03-17 18:19:56,7,4,7,7,4,4,4
2014-03-17 18:19:57,7,4,7,7,4,4,4
2014-03-17 18:19:58,7,4,7,7,4,4,7
2014-03-17 18:19:59,7,4,7,7,4,4,4
2014-03-17 18:20:00,7,4,7,7,4,4,7
2014-03-17 18:20:01,7,4,7,7,4,4,8
2014-03-17 18:20:02,7,4,7,7,4,4,8
2014-03-17 18:20:03,7,4,7,7,4,4,8
2014-03-17 18:20:04,7,4,7,7,4,4,4
2014-03-17 18:20:05,7,4,7,7,4,4,4
2014-03-17 18:20:06,7,4,7,7,4,4,4
2014-03-17 18:20:07,7,4,7,7,4,4,7
2014-03-17 18:20:08,7,4,7,7,4,4,4
2014-03-17 18:20:09,7,4,7,7,4,4,8
2014-03-17 18:20:10,7,4,7,7,4,4,8
2014-03-17 18:20:11,7,4,7,7,4,4,7
2014-03-17 18:20:12,7,4,7,7,4,4,4
2014-03-17 18:20:13,7,4,7,7,4,4,4
2014-03-17 18:20:14,7,4,7,7,4,4,4
