time,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,9A5116EA-2793-4C75-AC93-524C9EF550FD,2FA454D2-F35D-45D6-BE5D-D848B409B713,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-06-23 15:03:58,3,4,7,3,3
2015-06-23 15:03:59,1,4,7,2,3
2015-06-23 15:04:00,1,7,7,2,4
2015-06-23 15:04:01,2,4,7,2,3
2015-06-23 15:04:02,2,7,7,2,4
2015-06-23 15:04:03,2,4,7,2,7
2015-06-23 15:04:04,2,4,4,1,8
2015-06-23 15:04:05,3,4,4,3,7
2015-06-23 15:04:06,3,4,4,3,7
2015-06-23 15:04:07,3,4,3,3,7
2015-06-23 15:04:08,3,4,2,3,7
2015-06-23 15:04:09,3,4,2,3,7
2015-06-23 15:04:10,3,4,2,3,7
2015-06-23 15:04:11,1,4,2,3,7
2015-06-23 15:04:12,1,7,2,3,7
2015-06-23 15:04:13,1,7,2,3,7
2015-06-23 15:04:14,3,7,2,1,7
2015-06-23 15:04:15,3,8,2,1,7
2015-06-23 15:04:16,3,8,2,1,7
2015-06-23 15:04:17,3,8,2,1,7
2015-06-23 15:04:18,3,3,2,2,7
2015-06-23 15:04:19,3,3,2,2,7
2015-06-23 15:04:20,3,3,2,0,7
2015-06-23 15:04:21,3,1,2,2,5
2015-06-23 15:04:22,3,2,2,2,7
2015-06-23 15:04:23,3,2,2,2,7
2015-06-23 15:04:24,8,2,2,2,7
2015-06-23 15:04:25,2,2,2,2,7
2015-06-23 15:04:26,0,2,2,2,7
2015-06-23 15:04:27,0,2,2,0,7
2015-06-23 15:04:28,0,2,2,0,7
2015-06-23 15:04:29,0,2,2,0,6
2015-06-23 15:04:30,0,2,2,0,7
2015-06-23 15:04:31,2,2,2,0,2
2015-06-23 15:04:32,2,2,2,0,0
2015-06-23 15:04:33,2,2,6,0,0
2015-06-23 15:04:34,2,2,2,0,0
2015-06-23 15:04:35,2,2,2,0,2
2015-06-23 15:04:36,2,2,2,0,2
2015-06-23 15:04:37,2,2,2,0,2
2015-06-23 15:04:38,2,2,2,2,2
2015-06-23 15:04:39,2,2,2,2,2
2015-06-23 15:04:40,2,8,2,2,2
2015-06-23 15:04:41,2,8,2,2,2
2015-06-23 15:04:42,2,8,2,2,2
2015-06-23 15:04:43,8,8,2,2,2
2015-06-23 15:04:44,8,8,2,2,2
2015-06-23 15:04:45,4,8,2,2,2
2015-06-23 15:04:46,7,2,6,2,2
2015-06-23 15:04:47,7,2,5,2,2
2015-06-23 15:04:48,7,3,5,2,2
2015-06-23 15:04:49,7,3,5,2,8
2015-06-23 15:04:50,7,4,7,0,8
2015-06-23 15:04:51,7,4,7,0,8
2015-06-23 15:04:52,7,4,7,0,8
2015-06-23 15:04:53,7,8,7,0,7
2015-06-23 15:04:54,7,8,4,0,7
