time,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-05-08 15:58:53,3,8,3,0
2015-05-08 15:58:54,3,8,3,0
2015-05-08 15:58:55,3,8,3,0
2015-05-08 15:58:56,0,8,3,0
2015-05-08 15:58:57,0,2,3,0
2015-05-08 15:58:58,0,2,3,0
2015-05-08 15:58:59,0,2,3,0
2015-05-08 15:59:00,0,7,3,0
2015-05-08 15:59:01,3,8,0,0
2015-05-08 15:59:02,4,8,0,0
2015-05-08 15:59:03,4,7,0,0
2015-05-08 15:59:04,4,4,0,0
2015-05-08 15:59:05,4,4,0,0
2015-05-08 15:59:06,2,4,0,0
2015-05-08 15:59:07,2,8,0,0
2015-05-08 15:59:08,2,8,0,0
2015-05-08 15:59:09,2,2,0,0
2015-05-08 15:59:10,2,2,0,0
2015-05-08 15:59:11,2,2,0,0
2015-05-08 15:59:12,2,2,0,0
2015-05-08 15:59:13,2,2,0,0
2015-05-08 15:59:14,2,2,6,0
2015-05-08 15:59:15,2,2,6,0
2015-05-08 15:59:16,2,2,2,0
2015-05-08 15:59:17,2,2,2,0
2015-05-08 15:59:18,2,2,2,0
2015-05-08 15:59:19,6,2,6,0
2015-05-08 15:59:20,2,2,6,0
2015-05-08 15:59:21,2,2,0,0
2015-05-08 15:59:22,2,2,0,0
2015-05-08 15:59:23,2,2,0,0
2015-05-08 15:59:24,2,2,0,0
2015-05-08 15:59:25,2,2,0,0
2015-05-08 15:59:26,2,2,0,0
2015-05-08 15:59:27,2,2,6,0
2015-05-08 15:59:28,2,2,6,0
2015-05-08 15:59:29,2,2,2,0
2015-05-08 15:59:30,2,2,2,0
2015-05-08 15:59:31,2,2,2,0
2015-05-08 15:59:32,2,2,2,0
2015-05-08 15:59:33,2,2,2,0
2015-05-08 15:59:34,2,2,2,0
2015-05-08 15:59:35,2,2,2,0
2015-05-08 15:59:36,2,2,2,0
2015-05-08 15:59:37,8,2,3,0
2015-05-08 15:59:38,8,2,3,0
2015-05-08 15:59:39,8,2,3,0
2015-05-08 15:59:40,8,2,3,0
2015-05-08 15:59:41,8,2,3,0
2015-05-08 15:59:42,4,2,1,0
2015-05-08 15:59:43,8,2,8,0
2015-05-08 15:59:44,8,2,8,0
2015-05-08 15:59:45,4,2,8,0
2015-05-08 15:59:46,7,2,8,0
2015-05-08 15:59:47,8,2,8,0
2015-05-08 15:59:48,8,2,8,0
2015-05-08 15:59:49,8,2,8,0
2015-05-08 15:59:50,8,4,8,0
2015-05-08 15:59:51,7,4,4,0
2015-05-08 15:59:52,4,4,0,0
2015-05-08 15:59:53,4,4,2,0
2015-05-08 15:59:54,4,3,7,0
2015-05-08 15:59:55,0,3,7,0
2015-05-08 15:59:56,0,3,7,0
2015-05-08 15:59:57,0,3,7,0
2015-05-08 15:59:58,4,3,7,0
2015-05-08 15:59:59,4,3,7,0
2015-05-08 16:00:00,7,3,7,0
2015-05-08 16:00:01,8,3,7,0
2015-05-08 16:00:02,8,3,7,0
2015-05-08 16:00:03,8,3,7,0
2015-05-08 16:00:04,8,3,7,0
2015-05-08 16:00:05,8,3,7,0
2015-05-08 16:00:06,8,3,7,0
2015-05-08 16:00:07,8,3,7,0
2015-05-08 16:00:08,8,3,7,0
2015-05-08 16:00:09,8,3,7,0
2015-05-08 16:00:10,8,3,7,0
2015-05-08 16:00:11,8,3,7,0
2015-05-08 16:00:12,8,3,7,0
2015-05-08 16:00:13,8,3,7,0
2015-05-08 16:00:14,8,3,7,2
2015-05-08 16:00:15,8,3,7,2
2015-05-08 16:00:16,8,3,7,2
2015-05-08 16:00:17,8,3,7,2
2015-05-08 16:00:18,8,3,7,2
2015-05-08 16:00:19,8,3,7,2
2015-05-08 16:00:20,8,3,7,2
2015-05-08 16:00:21,8,3,6,2
2015-05-08 16:00:22,8,3,4,2
2015-05-08 16:00:23,3,3,3,2
2015-05-08 16:00:24,1,3,3,2
2015-05-08 16:00:25,1,3,1,2
2015-05-08 16:00:26,1,3,1,2
2015-05-08 16:00:27,1,3,1,2
2015-05-08 16:00:28,1,3,1,2
2015-05-08 16:00:29,1,3,1,2
2015-05-08 16:00:30,1,3,1,2
2015-05-08 16:00:31,1,3,1,2
2015-05-08 16:00:32,1,3,1,2
2015-05-08 16:00:33,1,3,1,2
2015-05-08 16:00:34,1,3,1,2
2015-05-08 16:00:35,2,1,1,2
2015-05-08 16:00:36,2,1,3,2
2015-05-08 16:00:37,3,1,3,2
2015-05-08 16:00:38,3,3,3,2
2015-05-08 16:00:39,3,3,3,2
2015-05-08 16:00:40,3,3,3,2
2015-05-08 16:00:41,1,4,3,2
2015-05-08 16:00:42,1,4,3,2
2015-05-08 16:00:43,1,4,3,2
2015-05-08 16:00:44,1,4,3,2
2015-05-08 16:00:45,1,4,1,2
2015-05-08 16:00:46,1,4,1,2
2015-05-08 16:00:47,3,4,3,2
2015-05-08 16:00:48,1,4,3,2
2015-05-08 16:00:49,1,4,3,2
2015-05-08 16:00:50,1,4,3,2
2015-05-08 16:00:51,1,4,3,2
2015-05-08 16:00:52,1,4,3,2
2015-05-08 16:00:53,1,4,3,2
2015-05-08 16:00:54,1,4,3,2
2015-05-08 16:00:55,3,4,3,2
2015-05-08 16:00:56,7,4,3,2
2015-05-08 16:00:57,0,4,3,2
2015-05-08 16:00:58,0,4,3,2
2015-05-08 16:00:59,0,2,3,2
2015-05-08 16:01:00,0,3,3,2
2015-05-08 16:01:01,3,4,3,2
2015-05-08 16:01:02,3,4,3,1
2015-05-08 16:01:03,3,4,3,1
2015-05-08 16:01:04,3,4,3,1
2015-05-08 16:01:05,3,4,3,1
2015-05-08 16:01:06,3,4,4,1
2015-05-08 16:01:07,1,4,4,2
2015-05-08 16:01:08,1,4,4,2
2015-05-08 16:01:09,1,4,4,2
2015-05-08 16:01:10,1,3,4,2
2015-05-08 16:01:11,3,3,4,2
2015-05-08 16:01:12,0,4,4,2
2015-05-08 16:01:13,0,4,4,2
2015-05-08 16:01:14,0,3,4,2
2015-05-08 16:01:15,2,3,4,2
2015-05-08 16:01:16,1,3,3,2
2015-05-08 16:01:17,1,3,3,2
2015-05-08 16:01:18,1,3,4,2
2015-05-08 16:01:19,1,3,4,2
2015-05-08 16:01:20,1,1,4,2
2015-05-08 16:01:21,8,1,6,2
2015-05-08 16:01:22,8,1,6,2
2015-05-08 16:01:23,8,1,6,2
2015-05-08 16:01:24,8,1,6,2
2015-05-08 16:01:25,8,1,4,2
2015-05-08 16:01:26,8,1,4,2
2015-05-08 16:01:27,8,1,4,2
2015-05-08 16:01:28,1,1,3,2
2015-05-08 16:01:29,1,1,1,2
2015-05-08 16:01:30,1,1,1,2
2015-05-08 16:01:31,1,1,1,2
2015-05-08 16:01:32,1,1,1,2
2015-05-08 16:01:33,1,1,1,2
2015-05-08 16:01:34,1,1,1,2
2015-05-08 16:01:35,1,1,1,2
2015-05-08 16:01:36,1,1,1,2
2015-05-08 16:01:37,1,1,1,2
2015-05-08 16:01:38,1,1,1,2
2015-05-08 16:01:39,1,1,1,2
2015-05-08 16:01:40,1,1,1,2
2015-05-08 16:01:41,1,1,1,2
2015-05-08 16:01:42,2,1,1,2
2015-05-08 16:01:43,3,1,2,2
2015-05-08 16:01:44,1,1,2,2
2015-05-08 16:01:45,1,1,2,2
2015-05-08 16:01:46,1,1,1,2
2015-05-08 16:01:47,1,1,1,2
2015-05-08 16:01:48,1,1,2,2
2015-05-08 16:01:49,1,1,2,2
2015-05-08 16:01:50,1,1,2,2
2015-05-08 16:01:51,1,1,2,2
2015-05-08 16:01:52,8,1,4,2
2015-05-08 16:01:53,8,1,4,2
2015-05-08 16:01:54,3,1,7,2
2015-05-08 16:01:55,3,1,7,2
2015-05-08 16:01:56,5,1,6,2
2015-05-08 16:01:57,5,1,6,2
2015-05-08 16:01:58,5,1,4,2
2015-05-08 16:01:59,3,1,4,2
2015-05-08 16:02:00,3,1,4,2
2015-05-08 16:02:01,3,1,4,2
2015-05-08 16:02:02,3,1,4,2
2015-05-08 16:02:03,3,1,4,2
2015-05-08 16:02:04,3,1,4,2
2015-05-08 16:02:05,1,1,4,2
2015-05-08 16:02:06,1,1,3,2
2015-05-08 16:02:07,8,1,3,2
2015-05-08 16:02:08,8,1,3,2
2015-05-08 16:02:09,8,1,1,2
2015-05-08 16:02:10,8,1,1,2
2015-05-08 16:02:11,8,1,1,2
2015-05-08 16:02:12,8,1,1,2
2015-05-08 16:02:13,1,1,1,2
2015-05-08 16:02:14,1,1,1,2
2015-05-08 16:02:15,1,1,1,2
2015-05-08 16:02:16,1,1,3,2
2015-05-08 16:02:17,3,1,2,2
2015-05-08 16:02:18,1,1,3,2
2015-05-08 16:02:19,3,1,3,2
2015-05-08 16:02:20,3,1,3,2
2015-05-08 16:02:21,1,1,1,1
2015-05-08 16:02:22,3,1,1,1
2015-05-08 16:02:23,3,1,2,1
2015-05-08 16:02:24,8,1,2,1
2015-05-08 16:02:25,7,1,2,1
2015-05-08 16:02:26,7,1,2,2
2015-05-08 16:02:27,7,1,2,2
2015-05-08 16:02:28,5,1,2,2
2015-05-08 16:02:29,5,1,2,2
2015-05-08 16:02:30,5,1,5,2
2015-05-08 16:02:31,5,1,5,2
2015-05-08 16:02:32,5,1,8,2
2015-05-08 16:02:33,5,1,7,2
2015-05-08 16:02:34,6,1,7,2
2015-05-08 16:02:35,6,1,7,2
2015-05-08 16:02:36,5,3,7,2
2015-05-08 16:02:37,5,3,7,2
2015-05-08 16:02:38,5,3,7,2
2015-05-08 16:02:39,3,3,3,2
2015-05-08 16:02:40,1,3,3,2
2015-05-08 16:02:41,1,3,3,2
2015-05-08 16:02:42,1,3,3,2
2015-05-08 16:02:43,1,3,3,2
2015-05-08 16:02:44,3,3,4,2
2015-05-08 16:02:45,4,3,4,2
2015-05-08 16:02:46,4,1,4,2
