time,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-04-29 17:59:42,1,2,1,7
2015-04-29 17:59:43,1,2,1,7
2015-04-29 17:59:44,1,2,1,7
2015-04-29 17:59:45,1,2,1,7
2015-04-29 17:59:46,1,2,1,7
2015-04-29 17:59:47,1,2,1,4
2015-04-29 17:59:48,1,2,1,4
2015-04-29 17:59:49,1,3,1,4
2015-04-29 17:59:50,1,3,1,4
2015-04-29 17:59:51,1,3,1,4
2015-04-29 17:59:52,1,3,1,7
2015-04-29 17:59:53,1,3,1,7
2015-04-29 17:59:54,1,1,1,7
2015-04-29 17:59:55,1,1,1,7
2015-04-29 17:59:56,1,1,1,7
2015-04-29 17:59:57,1,1,8,7
2015-04-29 17:59:58,1,1,8,7
2015-04-29 17:59:59,1,1,1,8
2015-04-29 18:00:00,1,1,1,8
2015-04-29 18:00:01,1,1,1,8
2015-04-29 18:00:02,1,1,1,7
2015-04-29 18:00:03,1,3,1,7
2015-04-29 18:00:04,1,1,1,4
2015-04-29 18:00:05,1,1,1,4
2015-04-29 18:00:06,2,1,1,3
2015-04-29 18:00:07,2,3,1,3
2015-04-29 18:00:08,3,3,1,3
2015-04-29 18:00:09,3,3,1,1
2015-04-29 18:00:10,4,4,1,1
2015-04-29 18:00:11,4,4,1,1
2015-04-29 18:00:12,4,4,1,3
2015-04-29 18:00:13,4,4,1,1
2015-04-29 18:00:14,4,4,1,3
2015-04-29 18:00:15,4,4,3,1
2015-04-29 18:00:16,4,4,8,1
2015-04-29 18:00:17,4,4,7,1
2015-04-29 18:00:18,4,4,7,3
2015-04-29 18:00:19,4,3,7,3
2015-04-29 18:00:20,4,3,7,3
2015-04-29 18:00:21,3,3,7,3
2015-04-29 18:00:22,3,3,7,3
2015-04-29 18:00:23,3,3,4,3
2015-04-29 18:00:24,3,3,3,2
2015-04-29 18:00:25,3,3,3,2
2015-04-29 18:00:26,3,3,3,2
2015-04-29 18:00:27,3,3,3,2
2015-04-29 18:00:28,3,1,3,2
2015-04-29 18:00:29,3,1,3,2
2015-04-29 18:00:30,3,1,2,3
2015-04-29 18:00:31,3,1,3,3
2015-04-29 18:00:32,8,1,3,3
2015-04-29 18:00:33,3,1,3,3
2015-04-29 18:00:34,4,1,3,3
2015-04-29 18:00:35,4,1,8,3
2015-04-29 18:00:36,4,1,5,3
2015-04-29 18:00:37,4,3,5,3
2015-04-29 18:00:38,4,3,7,3
2015-04-29 18:00:39,4,3,5,3
2015-04-29 18:00:40,4,1,5,3
2015-04-29 18:00:41,4,3,5,3
2015-04-29 18:00:42,4,3,5,3
2015-04-29 18:00:43,4,3,5,3
2015-04-29 18:00:44,4,3,2,3
2015-04-29 18:00:45,8,4,0,7
2015-04-29 18:00:46,8,4,2,8
2015-04-29 18:00:47,3,4,6,8
2015-04-29 18:00:48,2,4,8,8
2015-04-29 18:00:49,2,4,8,4
2015-04-29 18:00:50,2,4,8,4
2015-04-29 18:00:51,3,3,8,8
2015-04-29 18:00:52,1,3,4,2
2015-04-29 18:00:53,1,3,4,4
2015-04-29 18:00:54,1,3,4,3
2015-04-29 18:00:55,3,3,4,3
2015-04-29 18:00:56,3,3,4,8
2015-04-29 18:00:57,3,3,7,8
2015-04-29 18:00:58,3,3,8,8
2015-04-29 18:00:59,3,3,8,8
2015-04-29 18:01:00,3,3,8,7
2015-04-29 18:01:01,3,3,8,4
2015-04-29 18:01:02,3,3,8,4
2015-04-29 18:01:03,3,4,8,4
2015-04-29 18:01:04,3,4,8,4
2015-04-29 18:01:05,3,4,8,4
2015-04-29 18:01:06,3,4,8,4
2015-04-29 18:01:07,3,4,8,4
2015-04-29 18:01:08,3,3,8,2
2015-04-29 18:01:09,3,3,8,3
2015-04-29 18:01:10,3,3,8,4
2015-04-29 18:01:11,3,3,8,4
2015-04-29 18:01:12,3,3,8,4
2015-04-29 18:01:13,3,3,8,7
2015-04-29 18:01:14,3,3,8,7
2015-04-29 18:01:15,3,3,8,7
2015-04-29 18:01:16,8,3,8,4
2015-04-29 18:01:17,3,3,8,4
2015-04-29 18:01:18,3,3,8,4
2015-04-29 18:01:19,3,4,8,0
2015-04-29 18:01:20,3,4,8,4
2015-04-29 18:01:21,3,4,8,4
2015-04-29 18:01:22,3,4,8,4
2015-04-29 18:01:23,3,4,8,3
2015-04-29 18:01:24,3,3,8,3
2015-04-29 18:01:25,3,3,8,3
2015-04-29 18:01:26,3,3,8,3
2015-04-29 18:01:27,3,3,8,3
2015-04-29 18:01:28,3,3,8,3
2015-04-29 18:01:29,3,3,8,3
2015-04-29 18:01:30,3,3,8,3
2015-04-29 18:01:31,3,3,8,3
2015-04-29 18:01:32,3,2,8,3
2015-04-29 18:01:33,3,3,8,3
2015-04-29 18:01:34,3,3,8,3
2015-04-29 18:01:35,3,3,8,3
2015-04-29 18:01:36,3,3,8,4
2015-04-29 18:01:37,3,3,8,4
2015-04-29 18:01:38,3,3,8,4
2015-04-29 18:01:39,3,3,8,3
2015-04-29 18:01:40,3,4,8,3
2015-04-29 18:01:41,3,4,8,3
2015-04-29 18:01:42,3,4,8,3
2015-04-29 18:01:43,3,4,8,3
2015-04-29 18:01:44,3,4,8,3
2015-04-29 18:01:45,3,4,8,3
2015-04-29 18:01:46,3,4,8,3
2015-04-29 18:01:47,3,4,8,3
2015-04-29 18:01:48,3,3,8,8
2015-04-29 18:01:49,2,3,8,8
2015-04-29 18:01:50,2,3,8,7
2015-04-29 18:01:51,2,3,8,7
2015-04-29 18:01:52,2,3,8,7
2015-04-29 18:01:53,2,2,8,3
2015-04-29 18:01:54,8,3,8,3
2015-04-29 18:01:55,8,3,8,7
2015-04-29 18:01:56,0,3,7,7
2015-04-29 18:01:57,4,3,7,8
2015-04-29 18:01:58,4,3,8,8
2015-04-29 18:01:59,4,3,8,4
2015-04-29 18:02:00,4,3,8,8
2015-04-29 18:02:01,4,8,8,4
2015-04-29 18:02:02,7,8,8,4
2015-04-29 18:02:03,7,8,7,4
2015-04-29 18:02:04,7,7,7,4
2015-04-29 18:02:05,8,4,7,7
2015-04-29 18:02:06,8,7,7,7
2015-04-29 18:02:07,7,8,7,7
2015-04-29 18:02:08,4,8,6,7
2015-04-29 18:02:09,4,8,6,4
2015-04-29 18:02:10,4,8,3,4
2015-04-29 18:02:11,4,8,8,4
2015-04-29 18:02:12,4,8,4,4
2015-04-29 18:02:13,7,8,8,4
2015-04-29 18:02:14,7,3,7,4
2015-04-29 18:02:15,7,3,7,4
2015-04-29 18:02:16,7,3,7,3
2015-04-29 18:02:17,7,3,7,2
2015-04-29 18:02:18,7,3,7,4
2015-04-29 18:02:19,7,3,7,4
2015-04-29 18:02:20,4,2,7,4
2015-04-29 18:02:21,4,1,7,6
2015-04-29 18:02:22,3,3,7,6
2015-04-29 18:02:23,3,3,7,6
2015-04-29 18:02:24,3,3,7,6
2015-04-29 18:02:25,3,3,7,6
2015-04-29 18:02:26,3,4,7,7
2015-04-29 18:02:27,3,4,7,7
2015-04-29 18:02:28,4,4,7,7
2015-04-29 18:02:29,4,3,7,7
2015-04-29 18:02:30,4,3,7,8
2015-04-29 18:02:31,4,3,7,8
2015-04-29 18:02:32,4,3,7,7
2015-04-29 18:02:33,4,3,7,7
2015-04-29 18:02:34,4,3,4,4
2015-04-29 18:02:35,3,2,4,7
2015-04-29 18:02:36,3,1,4,6
2015-04-29 18:02:37,3,1,3,6
2015-04-29 18:02:38,3,3,0,6
2015-04-29 18:02:39,3,3,0,6
2015-04-29 18:02:40,3,3,0,4
2015-04-29 18:02:41,3,2,0,4
2015-04-29 18:02:42,3,2,0,4
2015-04-29 18:02:43,3,2,0,4
2015-04-29 18:02:44,3,2,0,2
2015-04-29 18:02:45,3,2,0,2
2015-04-29 18:02:46,3,2,0,2
2015-04-29 18:02:47,3,2,2,2
2015-04-29 18:02:48,3,2,2,2
