time,charles,yvonne,jonathan,christina
2014-04-29 15:57:59,2,0,0,0
2014-04-29 15:58:00,1,0,0,0
2014-04-29 15:58:01,1,0,0,0
2014-04-29 15:58:02,1,0,0,0
2014-04-29 15:58:03,1,0,0,0
2014-04-29 15:58:04,1,0,0,0
2014-04-29 15:58:05,2,0,0,0
2014-04-29 15:58:06,2,0,0,0
2014-04-29 15:58:07,2,0,0,0
2014-04-29 15:58:08,2,0,0,0
2014-04-29 15:58:09,0,0,0,0
2014-04-29 15:58:10,0,0,0,0
2014-04-29 15:58:11,0,0,0,0
2014-04-29 15:58:12,0,0,0,0
2014-04-29 15:58:13,0,0,0,0
2014-04-29 15:58:14,0,0,0,0
2014-04-29 15:58:15,0,0,0,0
2014-04-29 15:58:16,0,0,0,0
2014-04-29 15:58:17,0,0,0,0
2014-04-29 15:58:18,0,0,0,0
2014-04-29 15:58:19,0,0,0,0
2014-04-29 15:58:20,0,0,0,0
2014-04-29 15:58:21,0,0,0,0
2014-04-29 15:58:22,0,0,0,0
2014-04-29 15:58:23,0,0,0,0
2014-04-29 15:58:24,0,0,0,0
2014-04-29 15:58:25,0,0,0,0
2014-04-29 15:58:26,0,0,0,0
2014-04-29 15:58:27,0,0,0,0
2014-04-29 15:58:28,0,0,0,0
2014-04-29 15:58:29,0,0,0,0
2014-04-29 15:58:30,0,0,0,0
2014-04-29 15:58:31,0,0,0,0
2014-04-29 15:58:32,0,0,0,0
2014-04-29 15:58:33,0,0,0,0
2014-04-29 15:58:34,0,0,0,0
2014-04-29 15:58:35,0,0,0,0
2014-04-29 15:58:36,0,0,0,0
2014-04-29 15:58:37,0,0,0,0
2014-04-29 15:58:38,0,0,0,0
2014-04-29 15:58:39,0,0,0,0
2014-04-29 15:58:40,0,0,0,0
2014-04-29 15:58:41,0,0,0,0
2014-04-29 15:58:42,0,0,0,0
2014-04-29 15:58:43,0,0,0,0
2014-04-29 15:58:44,0,0,0,0
2014-04-29 15:58:45,0,0,0,0
2014-04-29 15:58:46,0,0,0,0
2014-04-29 15:58:47,0,0,0,0
2014-04-29 15:58:48,0,0,0,0
2014-04-29 15:58:49,0,0,2,0
2014-04-29 15:58:50,0,2,2,0
2014-04-29 15:58:51,0,2,2,0
2014-04-29 15:58:52,0,2,2,0
2014-04-29 15:58:53,0,2,1,0
2014-04-29 15:58:54,0,2,1,0
2014-04-29 15:58:55,0,2,1,0
2014-04-29 15:58:56,0,2,0,0
2014-04-29 15:58:57,0,2,0,0
2014-04-29 15:58:58,0,2,0,0
2014-04-29 15:58:59,0,2,0,0
2014-04-29 15:59:00,0,2,0,0
2014-04-29 15:59:01,0,1,0,0
2014-04-29 15:59:02,0,1,0,0
2014-04-29 15:59:03,0,2,0,0
2014-04-29 15:59:04,0,2,0,0
2014-04-29 15:59:05,0,2,0,0
2014-04-29 15:59:06,0,2,0,0
2014-04-29 15:59:07,0,2,0,0
2014-04-29 15:59:08,0,2,0,0
2014-04-29 15:59:09,0,2,0,0
2014-04-29 15:59:10,0,2,0,0
2014-04-29 15:59:11,0,0,0,0
2014-04-29 15:59:12,0,0,0,0
2014-04-29 15:59:13,0,0,0,0
2014-04-29 15:59:14,0,0,0,0
2014-04-29 15:59:15,0,0,0,0
2014-04-29 15:59:16,0,0,0,0
2014-04-29 15:59:17,0,0,0,0
2014-04-29 15:59:18,0,0,0,0
2014-04-29 15:59:19,0,0,0,0
2014-04-29 15:59:20,6,0,0,0
2014-04-29 15:59:21,2,0,0,0
2014-04-29 15:59:22,2,0,0,0
2014-04-29 15:59:23,2,0,0,0
2014-04-29 15:59:24,2,0,0,0
2014-04-29 15:59:25,2,0,0,0
2014-04-29 15:59:26,2,0,0,0
2014-04-29 15:59:27,2,0,0,0
2014-04-29 15:59:28,1,0,0,0
2014-04-29 15:59:29,0,0,0,0
2014-04-29 15:59:30,0,0,0,0
2014-04-29 15:59:31,0,0,0,0
2014-04-29 15:59:32,0,0,0,0
2014-04-29 15:59:33,0,0,0,0
2014-04-29 15:59:34,0,0,0,0
2014-04-29 15:59:35,0,0,0,0
2014-04-29 15:59:36,0,0,0,0
2014-04-29 15:59:37,2,0,0,0
2014-04-29 15:59:38,2,0,0,0
2014-04-29 15:59:39,2,0,0,0
2014-04-29 15:59:40,2,0,0,0
2014-04-29 15:59:41,2,0,0,0
2014-04-29 15:59:42,2,0,0,0
2014-04-29 15:59:43,0,0,0,0
2014-04-29 15:59:44,0,0,0,0
2014-04-29 15:59:45,0,0,0,0
2014-04-29 15:59:46,0,2,0,0
2014-04-29 15:59:47,0,2,0,0
2014-04-29 15:59:48,0,2,0,0
2014-04-29 15:59:49,0,2,0,0
2014-04-29 15:59:50,0,2,0,0
2014-04-29 15:59:51,0,2,0,0
2014-04-29 15:59:52,0,2,0,0
2014-04-29 15:59:53,0,2,0,0
2014-04-29 15:59:54,0,2,0,0
2014-04-29 15:59:55,0,2,0,0
2014-04-29 15:59:56,0,2,0,0
2014-04-29 15:59:57,0,2,0,0
2014-04-29 15:59:58,0,2,0,0
2014-04-29 15:59:59,0,2,0,0
2014-04-29 16:00:00,0,2,0,0
2014-04-29 16:00:01,0,2,0,0
2014-04-29 16:00:02,0,2,0,0
2014-04-29 16:00:03,0,2,0,0
2014-04-29 16:00:04,0,0,0,0
2014-04-29 16:00:05,0,0,0,0
2014-04-29 16:00:06,0,0,0,0
2014-04-29 16:00:07,0,0,0,0
2014-04-29 16:00:08,2,2,0,0
2014-04-29 16:00:09,2,2,0,0
2014-04-29 16:00:10,2,2,0,0
2014-04-29 16:00:11,2,2,0,0
2014-04-29 16:00:12,2,2,0,0
2014-04-29 16:00:13,0,2,0,0
2014-04-29 16:00:14,0,2,0,0
2014-04-29 16:00:15,0,2,0,0
2014-04-29 16:00:16,0,2,0,0
2014-04-29 16:00:17,0,2,0,0
2014-04-29 16:00:18,0,2,0,0
2014-04-29 16:00:19,0,2,0,0
2014-04-29 16:00:20,0,0,0,0
2014-04-29 16:00:21,0,0,0,0
2014-04-29 16:00:22,0,0,0,0
2014-04-29 16:00:23,0,2,0,0
2014-04-29 16:00:24,0,2,0,0
2014-04-29 16:00:25,0,2,0,0
2014-04-29 16:00:26,0,2,0,0
2014-04-29 16:00:27,0,2,0,0
2014-04-29 16:00:28,0,2,0,0
2014-04-29 16:00:29,0,2,0,0
2014-04-29 16:00:30,0,2,0,0
2014-04-29 16:00:31,0,2,0,0
2014-04-29 16:00:32,0,2,0,0
2014-04-29 16:00:33,0,2,0,0
2014-04-29 16:00:34,2,2,0,0
2014-04-29 16:00:35,2,2,0,0
2014-04-29 16:00:36,2,2,0,0
2014-04-29 16:00:37,2,2,0,0
2014-04-29 16:00:38,2,2,0,0
2014-04-29 16:00:39,2,2,0,0
2014-04-29 16:00:40,2,2,0,0
2014-04-29 16:00:41,2,2,0,0
2014-04-29 16:00:42,2,2,0,0
2014-04-29 16:00:43,2,2,0,0
2014-04-29 16:00:44,2,2,0,0
2014-04-29 16:00:45,2,2,0,0
2014-04-29 16:00:46,2,2,0,0
2014-04-29 16:00:47,2,2,0,0
2014-04-29 16:00:48,2,0,0,0
2014-04-29 16:00:49,0,0,0,0
2014-04-29 16:00:50,0,0,0,0
2014-04-29 16:00:51,0,0,0,0
2014-04-29 16:00:52,0,0,0,0
2014-04-29 16:00:53,0,0,0,0
2014-04-29 16:00:54,0,0,0,0
2014-04-29 16:00:55,0,0,0,0
2014-04-29 16:00:56,0,0,0,0
2014-04-29 16:00:57,0,0,0,0
2014-04-29 16:00:58,0,0,0,0
2014-04-29 16:00:59,0,0,0,0
2014-04-29 16:01:00,0,0,0,0
2014-04-29 16:01:01,0,0,0,0
2014-04-29 16:01:02,0,0,0,0
2014-04-29 16:01:03,0,0,0,0
2014-04-29 16:01:04,0,0,0,0
2014-04-29 16:01:05,0,0,0,0
2014-04-29 16:01:06,0,0,0,0
2014-04-29 16:01:07,0,0,0,0
2014-04-29 16:01:08,0,0,0,0
2014-04-29 16:01:09,0,0,0,0
2014-04-29 16:01:10,0,0,0,0
2014-04-29 16:01:11,0,0,0,0
2014-04-29 16:01:12,0,0,0,0
2014-04-29 16:01:13,0,0,0,0
