time,BD49B35A-8999-4987-9759-8D3F28D1292B,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-05-07 18:32:21,2,8,2,2
2015-05-07 18:32:22,2,3,2,2
2015-05-07 18:32:23,2,8,2,2
2015-05-07 18:32:24,2,8,2,2
2015-05-07 18:32:25,1,8,2,2
2015-05-07 18:32:26,1,8,2,2
2015-05-07 18:32:27,2,4,2,3
2015-05-07 18:32:28,2,4,2,3
2015-05-07 18:32:29,2,4,2,2
2015-05-07 18:32:30,2,4,2,3
2015-05-07 18:32:31,2,4,2,3
2015-05-07 18:32:32,2,4,2,3
2015-05-07 18:32:33,2,4,2,3
2015-05-07 18:32:34,2,4,2,3
2015-05-07 18:32:35,2,4,2,3
2015-05-07 18:32:36,2,4,2,3
2015-05-07 18:32:37,2,8,2,3
2015-05-07 18:32:38,2,3,2,3
2015-05-07 18:32:39,2,8,2,3
2015-05-07 18:32:40,2,8,2,3
2015-05-07 18:32:41,2,8,2,3
2015-05-07 18:32:42,2,8,2,3
2015-05-07 18:32:43,2,8,2,3
2015-05-07 18:32:44,2,4,2,3
2015-05-07 18:32:45,2,8,3,3
2015-05-07 18:32:46,2,4,3,2
2015-05-07 18:32:47,2,4,1,2
2015-05-07 18:32:48,2,4,3,2
2015-05-07 18:32:49,2,8,2,2
2015-05-07 18:32:50,2,3,3,2
2015-05-07 18:32:51,2,3,1,2
2015-05-07 18:32:52,2,3,1,2
2015-05-07 18:32:53,2,3,1,2
2015-05-07 18:32:54,2,8,3,1
2015-05-07 18:32:55,2,3,3,1
2015-05-07 18:32:56,2,8,3,3
2015-05-07 18:32:57,2,8,3,3
2015-05-07 18:32:58,2,8,4,3
2015-05-07 18:32:59,2,8,2,3
2015-05-07 18:33:00,2,8,2,2
2015-05-07 18:33:01,2,5,2,2
2015-05-07 18:33:02,2,5,2,2
2015-05-07 18:33:03,2,5,2,2
2015-05-07 18:33:04,2,5,2,2
2015-05-07 18:33:05,2,5,0,2
2015-05-07 18:33:06,2,5,0,0
2015-05-07 18:33:07,2,5,0,0
2015-05-07 18:33:08,2,5,0,0
2015-05-07 18:33:09,2,5,0,0
2015-05-07 18:33:10,2,5,0,0
2015-05-07 18:33:11,2,5,0,0
2015-05-07 18:33:12,2,5,0,0
2015-05-07 18:33:13,2,5,2,0
2015-05-07 18:33:14,2,5,2,0
2015-05-07 18:33:15,2,5,2,0
2015-05-07 18:33:16,2,5,2,0
2015-05-07 18:33:17,2,5,2,0
2015-05-07 18:33:18,2,5,2,0
2015-05-07 18:33:19,2,5,2,0
2015-05-07 18:33:20,2,5,2,0
2015-05-07 18:33:21,2,5,2,0
2015-05-07 18:33:22,2,2,0,0
2015-05-07 18:33:23,2,2,0,0
2015-05-07 18:33:24,2,2,0,0
2015-05-07 18:33:25,2,2,2,0
2015-05-07 18:33:26,2,2,2,0
2015-05-07 18:33:27,2,2,2,0
2015-05-07 18:33:28,2,2,2,0
2015-05-07 18:33:29,2,2,2,0
2015-05-07 18:33:30,2,2,2,0
2015-05-07 18:33:31,2,2,2,0
2015-05-07 18:33:32,3,2,2,0
2015-05-07 18:33:33,3,2,2,0
2015-05-07 18:33:34,2,2,2,0
2015-05-07 18:33:35,3,2,0,0
2015-05-07 18:33:36,4,2,2,0
2015-05-07 18:33:37,2,2,5,0
2015-05-07 18:33:38,2,2,5,0
2015-05-07 18:33:39,2,2,5,0
2015-05-07 18:33:40,2,2,5,0
2015-05-07 18:33:41,2,2,5,0
2015-05-07 18:33:42,2,2,0,0
2015-05-07 18:33:43,2,2,2,0
2015-05-07 18:33:44,2,2,2,0
2015-05-07 18:33:45,2,2,2,0
2015-05-07 18:33:46,2,2,1,0
2015-05-07 18:33:47,2,2,1,0
2015-05-07 18:33:48,2,2,2,0
2015-05-07 18:33:49,2,0,2,0
2015-05-07 18:33:50,2,0,2,0
2015-05-07 18:33:51,2,0,6,0
2015-05-07 18:33:52,2,0,0,0
2015-05-07 18:33:53,2,0,0,0
2015-05-07 18:33:54,2,2,0,0
2015-05-07 18:33:55,2,2,0,0
2015-05-07 18:33:56,2,2,0,0
2015-05-07 18:33:57,2,2,6,0
2015-05-07 18:33:58,2,2,6,0
2015-05-07 18:33:59,2,2,6,0
