time,charles,jonathan,yvonne,christina
2013-08-03 17:16:46,7,2,2,2
2013-08-03 17:16:47,7,2,2,2
2013-08-03 17:16:48,7,2,2,2
2013-08-03 17:16:49,7,2,2,2
2013-08-03 17:16:50,7,2,2,2
2013-08-03 17:16:51,7,2,2,2
2013-08-03 17:16:52,7,2,2,2
2013-08-03 17:16:53,7,2,2,2
2013-08-03 17:16:54,7,2,2,2
2013-08-03 17:16:55,7,2,2,2
2013-08-03 17:16:56,7,2,2,2
2013-08-03 17:16:57,7,2,2,2
2013-08-03 17:16:58,7,3,2,2
2013-08-03 17:16:59,7,8,2,2
2013-08-03 17:17:00,7,8,2,2
2013-08-03 17:17:01,7,8,2,2
2013-08-03 17:17:02,7,8,1,2
2013-08-03 17:17:03,7,2,1,2
2013-08-03 17:17:04,7,2,1,2
2013-08-03 17:17:05,7,2,1,2
2013-08-03 17:17:06,7,2,1,2
2013-08-03 17:17:07,7,2,2,2
2013-08-03 17:17:08,7,2,2,2
2013-08-03 17:17:09,7,2,2,2
2013-08-03 17:17:10,7,2,2,2
2013-08-03 17:17:11,7,2,2,2
2013-08-03 17:17:12,7,2,2,2
2013-08-03 17:17:13,7,2,2,2
2013-08-03 17:17:14,7,2,2,2
2013-08-03 17:17:15,7,2,1,2
2013-08-03 17:17:16,7,2,1,2
2013-08-03 17:17:17,7,2,1,2
2013-08-03 17:17:18,7,2,1,2
2013-08-03 17:17:19,8,2,1,2
2013-08-03 17:17:20,8,2,1,2
2013-08-03 17:17:21,8,2,1,2
2013-08-03 17:17:22,8,2,1,2
2013-08-03 17:17:23,2,2,1,2
2013-08-03 17:17:24,2,2,1,2
2013-08-03 17:17:25,2,3,1,2
2013-08-03 17:17:26,2,3,1,2
2013-08-03 17:17:27,2,8,1,2
2013-08-03 17:17:28,2,8,1,2
2013-08-03 17:17:29,2,8,1,2
2013-08-03 17:17:30,2,2,1,2
2013-08-03 17:17:31,2,2,1,2
2013-08-03 17:17:32,2,2,1,2
2013-08-03 17:17:33,2,0,1,2
2013-08-03 17:17:34,2,2,2,2
2013-08-03 17:17:35,2,2,2,2
2013-08-03 17:17:36,2,2,2,2
2013-08-03 17:17:37,2,2,2,2
2013-08-03 17:17:38,2,2,2,2
2013-08-03 17:17:39,2,2,2,2
2013-08-03 17:17:40,2,2,2,2
2013-08-03 17:17:41,2,2,2,2
2013-08-03 17:17:42,2,2,2,2
2013-08-03 17:17:43,2,2,2,2
2013-08-03 17:17:44,2,2,2,2
2013-08-03 17:17:45,2,1,2,2
2013-08-03 17:17:46,2,1,1,2
2013-08-03 17:17:47,2,1,1,2
2013-08-03 17:17:48,2,1,3,2
2013-08-03 17:17:49,2,3,3,2
2013-08-03 17:17:50,2,2,3,0
2013-08-03 17:17:51,2,2,3,2
