time,christina,charles,jonathan,yvonne
2014-08-24 15:20:39,7,6,4,1
2014-08-24 15:20:40,7,6,4,1
2014-08-24 15:20:41,6,6,4,1
2014-08-24 15:20:42,6,6,4,1
2014-08-24 15:20:43,6,6,4,1
2014-08-24 15:20:44,7,6,4,1
2014-08-24 15:20:45,7,6,7,1
2014-08-24 15:20:46,7,6,7,1
2014-08-24 15:20:47,7,6,7,1
2014-08-24 15:20:48,7,6,4,1
2014-08-24 15:20:49,7,6,7,1
2014-08-24 15:20:50,6,6,7,1
2014-08-24 15:20:51,6,6,7,1
2014-08-24 15:20:52,6,6,7,1
2014-08-24 15:20:53,6,6,7,1
2014-08-24 15:20:54,6,6,7,1
2014-08-24 15:20:55,7,6,7,1
2014-08-24 15:20:56,4,6,7,1
2014-08-24 15:20:57,7,6,7,1
2014-08-24 15:20:58,4,8,7,1
2014-08-24 15:20:59,7,1,7,1
2014-08-24 15:21:00,4,1,7,1
2014-08-24 15:21:01,4,1,7,1
2014-08-24 15:21:02,4,1,7,1
2014-08-24 15:21:03,4,1,7,1
2014-08-24 15:21:04,4,1,7,1
2014-08-24 15:21:05,4,1,7,1
2014-08-24 15:21:06,2,2,7,1
2014-08-24 15:21:07,2,2,7,1
2014-08-24 15:21:08,2,2,7,1
2014-08-24 15:21:09,2,1,7,1
2014-08-24 15:21:10,2,2,7,1
2014-08-24 15:21:11,2,1,7,1
2014-08-24 15:21:12,2,1,4,1
2014-08-24 15:21:13,2,1,2,1
2014-08-24 15:21:14,2,2,2,1
2014-08-24 15:21:15,2,2,4,1
2014-08-24 15:21:16,2,2,7,1
2014-08-24 15:21:17,2,3,4,1
2014-08-24 15:21:18,2,3,7,1
2014-08-24 15:21:19,2,3,7,1
2014-08-24 15:21:20,1,3,7,5
2014-08-24 15:21:21,1,2,7,5
2014-08-24 15:21:22,1,2,6,5
2014-08-24 15:21:23,1,2,5,5
2014-08-24 15:21:24,1,2,2,5
2014-08-24 15:21:25,1,2,0,1
2014-08-24 15:21:26,2,2,3,5
2014-08-24 15:21:27,2,1,4,5
2014-08-24 15:21:28,2,1,4,5
2014-08-24 15:21:29,1,1,4,1
2014-08-24 15:21:30,1,1,4,1
2014-08-24 15:21:31,1,1,8,1
2014-08-24 15:21:32,1,2,8,1
2014-08-24 15:21:33,1,2,2,1
2014-08-24 15:21:34,1,2,2,1
2014-08-24 15:21:35,2,2,2,1
2014-08-24 15:21:36,2,2,2,1
2014-08-24 15:21:37,2,2,2,1
2014-08-24 15:21:38,2,2,2,1
2014-08-24 15:21:39,2,3,2,1
2014-08-24 15:21:40,2,2,2,1
2014-08-24 15:21:41,2,1,2,1
2014-08-24 15:21:42,2,1,2,1
2014-08-24 15:21:43,2,1,2,1
2014-08-24 15:21:44,2,1,2,1
2014-08-24 15:21:45,2,1,2,1
2014-08-24 15:21:46,2,3,2,1
2014-08-24 15:21:47,2,3,2,1
2014-08-24 15:21:48,2,3,2,1
2014-08-24 15:21:49,1,3,2,1
2014-08-24 15:21:50,2,3,1,1
2014-08-24 15:21:51,2,3,2,1
2014-08-24 15:21:52,2,3,1,1
2014-08-24 15:21:53,2,3,1,1
2014-08-24 15:21:54,2,2,1,1
2014-08-24 15:21:55,2,3,1,1
2014-08-24 15:21:56,2,2,1,1
2014-08-24 15:21:57,2,2,1,1
2014-08-24 15:21:58,2,2,1,1
2014-08-24 15:21:59,2,1,2,1
2014-08-24 15:22:00,2,1,1,1
2014-08-24 15:22:01,2,1,1,1
2014-08-24 15:22:02,2,1,1,1
2014-08-24 15:22:03,2,1,1,1
2014-08-24 15:22:04,2,1,1,1
2014-08-24 15:22:05,2,1,1,1
2014-08-24 15:22:06,2,1,1,1
2014-08-24 15:22:07,2,3,1,1
2014-08-24 15:22:08,2,2,1,1
2014-08-24 15:22:09,2,2,1,1
2014-08-24 15:22:10,2,2,1,1
2014-08-24 15:22:11,2,2,1,1
2014-08-24 15:22:12,2,2,1,1
2014-08-24 15:22:13,2,2,1,1
2014-08-24 15:22:14,2,2,2,1
2014-08-24 15:22:15,2,2,2,1
2014-08-24 15:22:16,2,2,2,1
2014-08-24 15:22:17,2,2,2,1
2014-08-24 15:22:18,2,2,2,1
2014-08-24 15:22:19,2,2,2,1
2014-08-24 15:22:20,2,2,2,1
2014-08-24 15:22:21,2,2,2,1
2014-08-24 15:22:22,2,2,2,1
2014-08-24 15:22:23,2,2,2,2
2014-08-24 15:22:24,2,2,2,2
2014-08-24 15:22:25,2,2,2,2
2014-08-24 15:22:26,2,2,2,2
2014-08-24 15:22:27,2,2,2,2
2014-08-24 15:22:28,2,2,2,2
2014-08-24 15:22:29,2,2,2,0
2014-08-24 15:22:30,2,2,2,0
2014-08-24 15:22:31,2,2,2,0
2014-08-24 15:22:32,2,2,2,0
2014-08-24 15:22:33,2,2,2,0
2014-08-24 15:22:34,2,2,2,2
2014-08-24 15:22:35,2,2,2,2
2014-08-24 15:22:36,2,2,2,0
2014-08-24 15:22:37,2,2,2,0
2014-08-24 15:22:38,2,2,1,0
2014-08-24 15:22:39,2,2,1,0
2014-08-24 15:22:40,2,2,1,0
2014-08-24 15:22:41,0,0,0,0
2014-08-24 15:22:42,0,0,0,0
2014-08-24 15:22:43,0,0,0,0
2014-08-24 15:22:44,0,0,0,0
