time,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-05-01 18:25:14,3,4,4,1
2015-05-01 18:25:15,4,4,4,1
2015-05-01 18:25:16,4,4,4,1
2015-05-01 18:25:17,4,4,4,8
2015-05-01 18:25:18,4,4,7,8
2015-05-01 18:25:19,4,4,7,1
2015-05-01 18:25:20,4,4,7,1
2015-05-01 18:25:21,4,4,4,1
2015-05-01 18:25:22,7,4,4,0
2015-05-01 18:25:23,8,4,4,2
2015-05-01 18:25:24,8,4,2,2
2015-05-01 18:25:25,8,4,6,2
2015-05-01 18:25:26,8,4,7,2
2015-05-01 18:25:27,8,4,7,2
2015-05-01 18:25:28,8,4,7,2
2015-05-01 18:25:29,8,4,7,2
2015-05-01 18:25:30,8,4,7,0
2015-05-01 18:25:31,8,3,7,0
2015-05-01 18:25:32,8,3,4,0
2015-05-01 18:25:33,8,3,4,0
2015-05-01 18:25:34,8,3,7,0
2015-05-01 18:25:35,3,3,7,0
2015-05-01 18:25:36,3,3,7,2
2015-05-01 18:25:37,4,4,7,2
2015-05-01 18:25:38,7,7,7,2
2015-05-01 18:25:39,7,7,8,2
2015-05-01 18:25:40,7,7,8,2
2015-05-01 18:25:41,7,7,8,2
2015-05-01 18:25:42,4,7,8,2
2015-05-01 18:25:43,4,8,8,2
2015-05-01 18:25:44,4,7,8,2
2015-05-01 18:25:45,4,7,8,2
2015-05-01 18:25:46,4,7,8,2
2015-05-01 18:25:47,3,7,3,2
2015-05-01 18:25:48,3,7,3,2
2015-05-01 18:25:49,3,7,3,2
2015-05-01 18:25:50,3,7,3,4
2015-05-01 18:25:51,3,7,3,4
2015-05-01 18:25:52,3,7,3,4
2015-05-01 18:25:53,3,7,3,4
2015-05-01 18:25:54,3,7,4,4
2015-05-01 18:25:55,3,7,4,4
2015-05-01 18:25:56,3,4,3,4
2015-05-01 18:25:57,3,4,3,4
2015-05-01 18:25:58,3,8,4,4
2015-05-01 18:25:59,3,8,4,4
2015-05-01 18:26:00,3,8,4,4
2015-05-01 18:26:01,3,2,4,4
2015-05-01 18:26:02,3,2,4,4
2015-05-01 18:26:03,3,2,4,3
2015-05-01 18:26:04,3,2,4,3
2015-05-01 18:26:05,3,2,2,3
2015-05-01 18:26:06,3,2,2,3
2015-05-01 18:26:07,3,2,2,1
2015-05-01 18:26:08,3,2,2,3
2015-05-01 18:26:09,1,4,2,3
2015-05-01 18:26:10,1,8,2,3
2015-05-01 18:26:11,1,6,2,3
2015-05-01 18:26:12,1,6,2,3
2015-05-01 18:26:13,1,6,2,3
2015-05-01 18:26:14,2,6,2,3
