time,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74,2FA454D2-F35D-45D6-BE5D-D848B409B713,9A5116EA-2793-4C75-AC93-524C9EF550FD
2015-06-23 15:15:49,8,1,2,3,3
2015-06-23 15:15:50,6,2,2,3,3
2015-06-23 15:15:51,7,2,2,3,7
2015-06-23 15:15:52,7,2,2,4,7
2015-06-23 15:15:53,4,2,2,7,7
2015-06-23 15:15:54,4,2,2,8,7
2015-06-23 15:15:55,4,2,2,8,7
2015-06-23 15:15:56,2,2,3,8,7
2015-06-23 15:15:57,2,2,3,8,7
2015-06-23 15:15:58,2,3,3,6,7
2015-06-23 15:15:59,2,3,3,6,7
2015-06-23 15:16:00,2,8,3,7,4
2015-06-23 15:16:01,2,7,3,7,4
2015-06-23 15:16:02,2,7,2,5,2
2015-06-23 15:16:03,2,7,2,2,2
2015-06-23 15:16:04,2,7,5,2,2
2015-06-23 15:16:05,2,7,5,2,2
2015-06-23 15:16:06,2,7,3,2,2
2015-06-23 15:16:07,2,7,3,2,2
2015-06-23 15:16:08,2,7,1,2,2
2015-06-23 15:16:09,2,7,1,2,2
2015-06-23 15:16:10,2,7,1,2,2
2015-06-23 15:16:11,2,7,1,2,2
2015-06-23 15:16:12,2,7,1,2,2
2015-06-23 15:16:13,2,7,3,1,3
2015-06-23 15:16:14,1,7,3,3,3
2015-06-23 15:16:15,3,6,1,3,3
2015-06-23 15:16:16,3,6,1,3,3
2015-06-23 15:16:17,1,7,1,3,4
2015-06-23 15:16:18,1,7,2,4,4
2015-06-23 15:16:19,1,7,2,4,4
2015-06-23 15:16:20,2,7,2,4,0
2015-06-23 15:16:21,2,7,2,0,2
2015-06-23 15:16:22,0,7,2,0,2
2015-06-23 15:16:23,0,7,2,2,2
2015-06-23 15:16:24,0,7,2,2,2
2015-06-23 15:16:25,0,7,2,2,2
2015-06-23 15:16:26,0,7,2,2,2
2015-06-23 15:16:27,0,7,2,2,2
2015-06-23 15:16:28,0,7,2,2,2
2015-06-23 15:16:29,0,7,2,2,2
2015-06-23 15:16:30,0,7,2,2,2
2015-06-23 15:16:31,0,4,2,2,2
2015-06-23 15:16:32,0,2,2,2,2
2015-06-23 15:16:33,0,2,2,2,2
2015-06-23 15:16:34,0,2,2,2,3
2015-06-23 15:16:35,0,2,2,4,4
2015-06-23 15:16:36,0,2,2,4,4
2015-06-23 15:16:37,0,2,2,4,4
2015-06-23 15:16:38,0,2,2,4,4
2015-06-23 15:16:39,0,2,2,4,2
2015-06-23 15:16:40,0,2,3,0,2
2015-06-23 15:16:41,0,2,2,0,2
2015-06-23 15:16:42,0,2,2,0,2
2015-06-23 15:16:43,0,2,2,2,2
2015-06-23 15:16:44,0,2,2,2,2
2015-06-23 15:16:45,0,2,2,2,2
2015-06-23 15:16:46,2,2,2,2,2
2015-06-23 15:16:47,2,2,2,2,2
2015-06-23 15:16:48,2,2,2,0,2
2015-06-23 15:16:49,2,2,2,0,2
2015-06-23 15:16:50,2,2,2,0,2
2015-06-23 15:16:51,2,2,2,0,2
2015-06-23 15:16:52,2,2,2,0,2
2015-06-23 15:16:53,2,2,2,0,2
2015-06-23 15:16:54,2,2,2,0,2
2015-06-23 15:16:55,2,2,2,0,2
2015-06-23 15:16:56,2,2,2,2,2
2015-06-23 15:16:57,2,2,2,2,2
2015-06-23 15:16:58,2,2,2,2,2
2015-06-23 15:16:59,2,2,2,2,2
2015-06-23 15:17:00,2,2,2,2,2
2015-06-23 15:17:01,2,2,2,2,2
2015-06-23 15:17:02,5,2,2,2,2
2015-06-23 15:17:03,2,2,2,2,2
2015-06-23 15:17:04,0,2,2,2,2
2015-06-23 15:17:05,0,2,2,2,2
2015-06-23 15:17:06,0,2,2,2,2
2015-06-23 15:17:07,0,2,5,2,2
2015-06-23 15:17:08,0,2,5,2,2
2015-06-23 15:17:09,0,8,5,2,2
2015-06-23 15:17:10,0,8,5,2,2
2015-06-23 15:17:11,0,8,5,0,2
2015-06-23 15:17:12,0,8,2,0,2
2015-06-23 15:17:13,0,8,2,0,2
2015-06-23 15:17:14,0,2,2,0,2
2015-06-23 15:17:15,0,2,2,0,2
2015-06-23 15:17:16,0,2,2,0,2
2015-06-23 15:17:17,2,2,3,0,2
2015-06-23 15:17:18,2,2,3,0,2
2015-06-23 15:17:19,2,2,3,0,2
2015-06-23 15:17:20,2,2,3,0,2
2015-06-23 15:17:21,2,2,2,0,2
2015-06-23 15:17:22,2,2,2,0,2
2015-06-23 15:17:23,2,3,2,0,2
2015-06-23 15:17:24,2,4,2,0,2
2015-06-23 15:17:25,2,7,2,0,2
2015-06-23 15:17:26,2,7,8,0,2
2015-06-23 15:17:27,2,7,3,0,2
2015-06-23 15:17:28,2,7,4,0,4
2015-06-23 15:17:29,2,4,4,0,4
2015-06-23 15:17:30,2,4,8,0,4
2015-06-23 15:17:31,2,4,8,0,4
2015-06-23 15:17:32,2,2,8,0,3
2015-06-23 15:17:33,2,0,8,0,2
2015-06-23 15:17:34,2,0,5,0,2
2015-06-23 15:17:35,2,2,8,0,2
2015-06-23 15:17:36,2,2,0,0,2
2015-06-23 15:17:37,0,2,2,0,2
2015-06-23 15:17:38,2,2,6,0,2
2015-06-23 15:17:39,2,2,6,0,2
2015-06-23 15:17:40,2,2,5,0,2
2015-06-23 15:17:41,8,2,5,0,2
2015-06-23 15:17:42,8,2,1,0,2
2015-06-23 15:17:43,8,2,2,0,2
2015-06-23 15:17:44,7,2,2,0,2
2015-06-23 15:17:45,7,2,2,0,2
2015-06-23 15:17:46,7,2,2,0,2
2015-06-23 15:17:47,7,8,2,0,2
2015-06-23 15:17:48,7,8,2,0,2
2015-06-23 15:17:49,5,4,2,0,2
2015-06-23 15:17:50,5,4,2,0,2
2015-06-23 15:17:51,0,4,2,0,2
2015-06-23 15:17:52,0,8,2,0,2
2015-06-23 15:17:53,0,3,2,0,2
2015-06-23 15:17:54,0,3,2,0,2
2015-06-23 15:17:55,0,3,2,0,2
2015-06-23 15:17:56,0,3,3,0,2
2015-06-23 15:17:57,0,3,2,0,2
2015-06-23 15:17:58,0,3,2,0,2
2015-06-23 15:17:59,0,3,2,0,2
2015-06-23 15:18:00,0,8,2,0,2
2015-06-23 15:18:01,0,2,0,0,2
2015-06-23 15:18:02,0,2,0,0,2
2015-06-23 15:18:03,0,2,0,0,0
2015-06-23 15:18:04,0,2,0,0,2
2015-06-23 15:18:05,0,2,0,0,2
2015-06-23 15:18:06,0,2,0,0,2
2015-06-23 15:18:07,0,2,0,0,2
2015-06-23 15:18:08,0,2,0,0,2
2015-06-23 15:18:09,0,2,0,0,2
2015-06-23 15:18:10,0,0,0,0,2
2015-06-23 15:18:11,0,1,0,0,0
2015-06-23 15:18:12,0,1,0,0,0
2015-06-23 15:18:13,0,2,0,0,0
2015-06-23 15:18:14,0,2,0,0,0
2015-06-23 15:18:15,0,2,0,0,0
2015-06-23 15:18:16,0,0,0,0,0
