time,yvonne,charles,charles_ipadair
2014-05-05 21:41:21,6,8,4
2014-05-05 21:41:22,6,8,4
2014-05-05 21:41:23,6,8,4
2014-05-05 21:41:24,4,8,4
2014-05-05 21:41:25,6,4,7
2014-05-05 21:41:26,6,4,7
2014-05-05 21:41:27,4,4,7
2014-05-05 21:41:28,4,4,7
2014-05-05 21:41:29,4,8,8
2014-05-05 21:41:30,3,4,7
2014-05-05 21:41:31,3,7,7
2014-05-05 21:41:32,3,4,7
2014-05-05 21:41:33,1,4,7
2014-05-05 21:41:34,1,4,7
2014-05-05 21:41:35,1,8,5
2014-05-05 21:41:36,1,4,7
2014-05-05 21:41:37,1,4,5
2014-05-05 21:41:38,1,4,7
2014-05-05 21:41:39,1,4,7
2014-05-05 21:41:40,2,8,8
2014-05-05 21:41:41,2,8,7
2014-05-05 21:41:42,3,8,7
2014-05-05 21:41:43,1,8,7
2014-05-05 21:41:44,1,8,7
2014-05-05 21:41:45,3,8,7
2014-05-05 21:41:46,1,8,7
2014-05-05 21:41:47,1,4,7
2014-05-05 21:41:48,1,8,7
2014-05-05 21:41:49,3,8,8
2014-05-05 21:41:50,2,8,7
2014-05-05 21:41:51,2,8,8
2014-05-05 21:41:52,2,8,7
2014-05-05 21:41:53,2,2,7
2014-05-05 21:41:54,2,2,7
2014-05-05 21:41:55,2,3,7
2014-05-05 21:41:56,0,4,7
2014-05-05 21:41:57,0,4,7
2014-05-05 21:41:58,0,8,7
2014-05-05 21:41:59,2,8,7
2014-05-05 21:42:00,2,8,7
2014-05-05 21:42:01,8,8,7
2014-05-05 21:42:02,8,7,7
2014-05-05 21:42:03,8,7,7
2014-05-05 21:42:04,7,7,8
2014-05-05 21:42:05,7,7,7
2014-05-05 21:42:06,7,8,7
2014-05-05 21:42:07,8,4,7
2014-05-05 21:42:08,6,4,7
2014-05-05 21:42:09,6,7,7
2014-05-05 21:42:10,8,4,7
2014-05-05 21:42:11,6,7,7
2014-05-05 21:42:12,6,7,7
2014-05-05 21:42:13,6,7,7
2014-05-05 21:42:14,6,0,7
2014-05-05 21:42:15,7,4,7
2014-05-05 21:42:16,7,8,7
2014-05-05 21:42:17,6,7,7
2014-05-05 21:42:18,8,7,8
2014-05-05 21:42:19,6,7,7
2014-05-05 21:42:20,7,3,7
2014-05-05 21:42:21,7,4,7
2014-05-05 21:42:22,4,8,4
2014-05-05 21:42:23,4,8,4
2014-05-05 21:42:24,4,8,4
2014-05-05 21:42:25,2,7,7
2014-05-05 21:42:26,2,6,7
2014-05-05 21:42:27,2,6,7
2014-05-05 21:42:28,0,5,7
2014-05-05 21:42:29,0,2,7
2014-05-05 21:42:30,2,0,7
2014-05-05 21:42:31,2,0,7
2014-05-05 21:42:32,2,0,0
2014-05-05 21:42:33,2,0,0
2014-05-05 21:42:34,2,0,0
2014-05-05 21:42:35,0,0,0
2014-05-05 21:42:36,0,0,0
2014-05-05 21:42:37,0,0,0
