time,christina,jonathan,charles,yvonne
2014-08-24 15:41:04,2,2,2,7
2014-08-24 15:41:05,2,2,2,7
2014-08-24 15:41:06,0,0,0,7
2014-08-24 15:41:07,0,0,0,7
2014-08-24 15:41:08,0,0,0,7
2014-08-24 15:41:09,0,0,0,7
2014-08-24 15:41:10,0,0,0,7
2014-08-24 15:41:11,0,0,0,7
2014-08-24 15:41:12,0,0,0,7
2014-08-24 15:41:13,0,0,0,5
2014-08-24 15:41:14,0,0,0,5
2014-08-24 15:41:15,0,0,0,2
2014-08-24 15:41:16,0,0,0,0
2014-08-24 15:41:17,0,0,0,0
