time,BD49B35A-8999-4987-9759-8D3F28D1292B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-04-29 18:29:34,3,3,1,8
2015-04-29 18:29:35,3,3,1,7
2015-04-29 18:29:36,3,3,1,7
2015-04-29 18:29:37,1,3,1,7
2015-04-29 18:29:38,1,3,1,7
2015-04-29 18:29:39,1,3,1,7
2015-04-29 18:29:40,1,3,8,7
2015-04-29 18:29:41,1,3,8,7
2015-04-29 18:29:42,1,3,1,7
2015-04-29 18:29:43,1,3,1,7
2015-04-29 18:29:44,1,3,1,7
2015-04-29 18:29:45,1,3,1,7
2015-04-29 18:29:46,1,3,8,7
2015-04-29 18:29:47,2,3,8,7
2015-04-29 18:29:48,3,3,1,7
2015-04-29 18:29:49,7,3,1,7
2015-04-29 18:29:50,4,3,1,7
2015-04-29 18:29:51,7,3,1,7
2015-04-29 18:29:52,7,3,1,7
2015-04-29 18:29:53,7,3,1,7
2015-04-29 18:29:54,7,3,1,7
2015-04-29 18:29:55,7,3,8,7
2015-04-29 18:29:56,7,3,8,7
2015-04-29 18:29:57,7,3,8,7
2015-04-29 18:29:58,7,3,8,7
2015-04-29 18:29:59,7,3,1,7
2015-04-29 18:30:00,7,3,1,7
2015-04-29 18:30:01,7,3,1,7
2015-04-29 18:30:02,7,0,1,7
2015-04-29 18:30:03,3,0,1,7
2015-04-29 18:30:04,4,0,1,7
2015-04-29 18:30:05,4,0,1,7
2015-04-29 18:30:06,3,0,1,7
2015-04-29 18:30:07,4,0,1,7
2015-04-29 18:30:08,4,0,1,7
2015-04-29 18:30:09,3,2,1,7
2015-04-29 18:30:10,3,2,1,7
2015-04-29 18:30:11,2,2,1,7
2015-04-29 18:30:12,2,2,1,7
2015-04-29 18:30:13,0,2,1,7
2015-04-29 18:30:14,0,2,1,7
2015-04-29 18:30:15,0,2,1,7
2015-04-29 18:30:16,0,2,3,7
2015-04-29 18:30:17,2,6,3,7
2015-04-29 18:30:18,2,2,3,7
2015-04-29 18:30:19,2,2,3,7
2015-04-29 18:30:20,2,2,4,7
2015-04-29 18:30:21,2,2,4,7
2015-04-29 18:30:22,2,2,4,7
2015-04-29 18:30:23,2,6,4,4
2015-04-29 18:30:24,2,2,4,4
2015-04-29 18:30:25,2,2,4,4
2015-04-29 18:30:26,2,2,4,0
2015-04-29 18:30:27,2,2,4,0
2015-04-29 18:30:28,2,2,4,0
2015-04-29 18:30:29,2,2,2,0
2015-04-29 18:30:30,2,2,2,0
2015-04-29 18:30:31,2,2,2,0
2015-04-29 18:30:32,2,2,2,0
2015-04-29 18:30:33,2,2,2,2
2015-04-29 18:30:34,2,2,2,2
2015-04-29 18:30:35,2,2,2,2
2015-04-29 18:30:36,2,2,2,2
2015-04-29 18:30:37,2,2,2,2
2015-04-29 18:30:38,2,2,2,2
2015-04-29 18:30:39,2,2,2,2
2015-04-29 18:30:40,2,2,2,2
2015-04-29 18:30:41,4,2,2,2
2015-04-29 18:30:42,4,2,2,2
2015-04-29 18:30:43,7,6,2,2
2015-04-29 18:30:44,7,2,2,8
2015-04-29 18:30:45,7,2,2,4
2015-04-29 18:30:46,7,2,2,4
2015-04-29 18:30:47,7,2,2,7
2015-04-29 18:30:48,7,2,2,7
2015-04-29 18:30:49,7,2,2,6
2015-04-29 18:30:50,7,2,2,6
2015-04-29 18:30:51,7,2,2,6
2015-04-29 18:30:52,7,2,2,6
2015-04-29 18:30:53,7,2,3,8
2015-04-29 18:30:54,7,2,3,8
2015-04-29 18:30:55,7,2,3,4
2015-04-29 18:30:56,7,2,3,4
2015-04-29 18:30:57,7,2,3,4
2015-04-29 18:30:58,6,2,3,4
2015-04-29 18:30:59,5,2,3,4
2015-04-29 18:31:00,0,3,3,4
2015-04-29 18:31:01,0,3,3,3
2015-04-29 18:31:02,0,4,3,2
2015-04-29 18:31:03,0,4,2,2
2015-04-29 18:31:04,0,3,2,4
2015-04-29 18:31:05,0,3,2,4
2015-04-29 18:31:06,0,3,3,4
2015-04-29 18:31:07,0,3,3,4
2015-04-29 18:31:08,0,3,1,4
2015-04-29 18:31:09,0,3,1,4
2015-04-29 18:31:10,1,3,3,4
2015-04-29 18:31:11,1,3,3,4
2015-04-29 18:31:12,2,3,3,4
2015-04-29 18:31:13,2,3,3,4
2015-04-29 18:31:14,2,3,4,3
2015-04-29 18:31:15,2,3,4,4
2015-04-29 18:31:16,2,3,4,4
2015-04-29 18:31:17,2,3,4,4
2015-04-29 18:31:18,2,3,3,3
2015-04-29 18:31:19,2,4,3,3
2015-04-29 18:31:20,8,3,1,3
2015-04-29 18:31:21,4,3,1,3
2015-04-29 18:31:22,4,4,1,3
2015-04-29 18:31:23,4,3,1,3
2015-04-29 18:31:24,6,3,1,3
2015-04-29 18:31:25,6,3,1,3
2015-04-29 18:31:26,8,3,1,3
2015-04-29 18:31:27,8,3,8,7
2015-04-29 18:31:28,8,4,8,3
2015-04-29 18:31:29,8,4,8,3
2015-04-29 18:31:30,8,4,8,3
2015-04-29 18:31:31,8,4,8,1
2015-04-29 18:31:32,8,4,8,1
2015-04-29 18:31:33,8,4,8,3
2015-04-29 18:31:34,8,4,8,3
2015-04-29 18:31:35,8,4,8,3
2015-04-29 18:31:36,8,4,8,3
2015-04-29 18:31:37,8,4,8,3
2015-04-29 18:31:38,8,4,8,1
2015-04-29 18:31:39,8,4,8,1
2015-04-29 18:31:40,8,4,8,1
2015-04-29 18:31:41,8,4,8,1
2015-04-29 18:31:42,6,4,8,8
2015-04-29 18:31:43,4,4,8,8
2015-04-29 18:31:44,4,4,8,8
2015-04-29 18:31:45,4,4,1,3
2015-04-29 18:31:46,2,4,1,7
2015-04-29 18:31:47,2,4,1,3
2015-04-29 18:31:48,2,4,1,1
2015-04-29 18:31:49,2,4,1,1
2015-04-29 18:31:50,2,3,1,1
2015-04-29 18:31:51,3,3,1,8
2015-04-29 18:31:52,1,3,1,8
2015-04-29 18:31:53,3,3,1,8
2015-04-29 18:31:54,3,3,1,8
2015-04-29 18:31:55,1,3,1,8
2015-04-29 18:31:56,3,3,1,8
2015-04-29 18:31:57,2,3,3,8
2015-04-29 18:31:58,3,3,4,8
2015-04-29 18:31:59,3,3,4,7
2015-04-29 18:32:00,2,3,4,7
2015-04-29 18:32:01,1,3,4,4
2015-04-29 18:32:02,3,3,4,4
2015-04-29 18:32:03,1,3,3,4
2015-04-29 18:32:04,1,3,3,4
2015-04-29 18:32:05,3,3,3,4
2015-04-29 18:32:06,3,3,3,4
2015-04-29 18:32:07,3,3,1,3
2015-04-29 18:32:08,3,3,1,3
2015-04-29 18:32:09,3,3,1,3
2015-04-29 18:32:10,3,3,1,3
2015-04-29 18:32:11,0,3,1,3
2015-04-29 18:32:12,0,3,1,3
2015-04-29 18:32:13,0,3,1,3
2015-04-29 18:32:14,0,3,1,3
2015-04-29 18:32:15,0,3,1,3
2015-04-29 18:32:16,0,0,1,3
2015-04-29 18:32:17,0,0,1,3
2015-04-29 18:32:18,0,0,1,4
2015-04-29 18:32:19,0,0,3,4
2015-04-29 18:32:20,0,0,2,2
2015-04-29 18:32:21,0,0,0,0
