time,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD
2015-05-07 18:59:20,2,2,0,2
2015-05-07 18:59:21,2,2,0,2
2015-05-07 18:59:22,2,2,0,2
2015-05-07 18:59:23,2,2,0,2
2015-05-07 18:59:24,2,2,0,2
2015-05-07 18:59:25,2,2,0,2
2015-05-07 18:59:26,2,2,0,1
2015-05-07 18:59:27,3,2,0,2
2015-05-07 18:59:28,1,2,2,2
2015-05-07 18:59:29,1,2,2,2
2015-05-07 18:59:30,3,2,2,2
2015-05-07 18:59:31,1,2,2,2
2015-05-07 18:59:32,1,2,2,2
2015-05-07 18:59:33,1,2,2,2
2015-05-07 18:59:34,3,2,2,2
2015-05-07 18:59:35,3,2,2,2
2015-05-07 18:59:36,3,2,2,2
2015-05-07 18:59:37,3,3,2,1
2015-05-07 18:59:38,3,3,2,1
2015-05-07 18:59:39,3,3,2,3
2015-05-07 18:59:40,3,3,2,1
2015-05-07 18:59:41,3,3,2,1
2015-05-07 18:59:42,3,4,2,1
2015-05-07 18:59:43,3,3,2,1
2015-05-07 18:59:44,3,3,2,1
2015-05-07 18:59:45,3,3,2,1
2015-05-07 18:59:46,1,3,2,1
2015-05-07 18:59:47,1,3,2,1
2015-05-07 18:59:48,1,3,2,1
2015-05-07 18:59:49,1,3,2,3
2015-05-07 18:59:50,1,3,2,3
2015-05-07 18:59:51,1,3,2,1
2015-05-07 18:59:52,1,3,2,3
2015-05-07 18:59:53,1,3,2,3
2015-05-07 18:59:54,1,3,2,3
2015-05-07 18:59:55,1,3,2,3
2015-05-07 18:59:56,1,3,2,3
2015-05-07 18:59:57,1,3,2,3
2015-05-07 18:59:58,1,3,2,2
2015-05-07 18:59:59,1,1,2,2
2015-05-07 19:00:00,1,1,2,2
2015-05-07 19:00:01,3,1,2,2
2015-05-07 19:00:02,1,3,2,2
2015-05-07 19:00:03,1,2,2,2
2015-05-07 19:00:04,1,2,2,5
2015-05-07 19:00:05,1,2,2,8
2015-05-07 19:00:06,1,2,2,8
2015-05-07 19:00:07,1,2,2,8
2015-05-07 19:00:08,1,2,2,8
2015-05-07 19:00:09,1,2,2,8
2015-05-07 19:00:10,1,2,2,8
2015-05-07 19:00:11,1,2,0,8
2015-05-07 19:00:12,1,2,2,8
2015-05-07 19:00:13,1,2,2,0
2015-05-07 19:00:14,1,2,2,0
2015-05-07 19:00:15,1,2,2,0
2015-05-07 19:00:16,1,2,2,2
2015-05-07 19:00:17,1,2,2,2
2015-05-07 19:00:18,1,2,2,2
2015-05-07 19:00:19,1,2,2,2
2015-05-07 19:00:20,1,2,2,2
2015-05-07 19:00:21,1,2,2,2
2015-05-07 19:00:22,1,2,2,2
2015-05-07 19:00:23,1,2,2,2
2015-05-07 19:00:24,1,2,2,2
2015-05-07 19:00:25,3,2,2,2
