time,9A5116EA-2793-4C75-AC93-524C9EF550FD,24C41EC3-7ECC-40DA-B942-7ABE23017E74,yvonne,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-04-24 15:44:11,0,0,0,0
2015-04-24 15:44:12,0,0,0,0
2015-04-24 15:44:13,0,0,0,0
2015-04-24 15:44:14,0,0,0,0
2015-04-24 15:44:15,0,0,0,0
2015-04-24 15:44:16,0,0,0,0
2015-04-24 15:44:17,0,0,0,0
2015-04-24 15:44:18,0,0,0,0
2015-04-24 15:44:19,0,0,0,0
2015-04-24 15:44:20,0,0,0,0
2015-04-24 15:44:21,0,0,0,0
2015-04-24 15:44:22,0,0,0,0
2015-04-24 15:44:23,0,0,0,0
2015-04-24 15:44:24,0,0,0,0
2015-04-24 15:44:25,0,0,0,0
2015-04-24 15:44:26,0,0,0,0
2015-04-24 15:44:27,0,0,2,0
2015-04-24 15:44:28,0,0,8,0
2015-04-24 15:44:29,0,0,8,0
2015-04-24 15:44:30,0,0,8,0
2015-04-24 15:44:31,0,0,8,0
2015-04-24 15:44:32,0,0,7,0
2015-04-24 15:44:33,0,0,7,0
2015-04-24 15:44:34,0,0,0,0
2015-04-24 15:44:35,0,0,0,0
2015-04-24 15:44:36,0,0,0,0
2015-04-24 15:44:37,0,0,0,0
2015-04-24 15:44:38,0,0,0,0
2015-04-24 15:44:39,0,0,0,0
2015-04-24 15:44:40,0,0,0,0
2015-04-24 15:44:41,0,0,0,0
2015-04-24 15:44:42,0,0,0,0
2015-04-24 15:44:43,0,0,0,0
2015-04-24 15:44:44,0,0,0,0
2015-04-24 15:44:45,0,0,0,0
2015-04-24 15:44:46,0,0,0,0
2015-04-24 15:44:47,0,0,0,0
2015-04-24 15:44:48,0,0,0,0
2015-04-24 15:44:49,0,0,0,0
2015-04-24 15:44:50,0,0,0,0
2015-04-24 15:44:51,0,0,0,0
2015-04-24 15:44:52,0,0,0,0
2015-04-24 15:44:53,0,0,0,0
2015-04-24 15:44:54,0,0,0,0
2015-04-24 15:44:55,0,0,0,0
2015-04-24 15:44:56,0,0,0,0
2015-04-24 15:44:57,0,0,0,0
2015-04-24 15:44:58,0,0,0,0
2015-04-24 15:44:59,0,0,0,0
2015-04-24 15:45:00,0,0,0,0
2015-04-24 15:45:01,0,0,0,0
2015-04-24 15:45:02,0,0,0,0
2015-04-24 15:45:03,0,0,0,0
2015-04-24 15:45:04,0,0,0,0
2015-04-24 15:45:05,0,0,0,0
2015-04-24 15:45:06,2,0,0,0
2015-04-24 15:45:07,2,0,0,0
2015-04-24 15:45:08,2,0,0,0
2015-04-24 15:45:09,2,0,0,0
2015-04-24 15:45:10,2,0,0,0
2015-04-24 15:45:11,6,0,0,0
2015-04-24 15:45:12,0,0,0,0
2015-04-24 15:45:13,6,0,0,0
2015-04-24 15:45:14,5,0,0,0
2015-04-24 15:45:15,5,0,0,0
2015-04-24 15:45:16,5,0,2,0
2015-04-24 15:45:17,5,2,2,0
2015-04-24 15:45:18,5,2,2,0
2015-04-24 15:45:19,0,4,2,0
2015-04-24 15:45:20,8,4,2,0
2015-04-24 15:45:21,4,4,2,0
2015-04-24 15:45:22,4,4,2,0
2015-04-24 15:45:23,4,4,2,0
2015-04-24 15:45:24,4,4,2,0
2015-04-24 15:45:25,4,4,2,0
2015-04-24 15:45:26,6,3,2,0
2015-04-24 15:45:27,0,0,0,0
2015-04-24 15:45:28,0,0,0,0
2015-04-24 15:45:29,0,0,0,0
2015-04-24 15:45:30,0,0,0,0
2015-04-24 15:45:31,0,0,0,0
2015-04-24 15:45:32,0,0,0,0
2015-04-24 15:45:33,0,0,2,0
2015-04-24 15:45:34,0,0,2,0
2015-04-24 15:45:35,0,0,2,0
2015-04-24 15:45:36,0,0,2,0
2015-04-24 15:45:37,0,0,2,0
2015-04-24 15:45:38,0,0,2,0
2015-04-24 15:45:39,0,0,2,0
2015-04-24 15:45:40,0,0,2,0
2015-04-24 15:45:41,0,0,2,0
2015-04-24 15:45:42,0,0,0,0
2015-04-24 15:45:43,0,0,0,0
2015-04-24 15:45:44,0,0,0,0
2015-04-24 15:45:45,0,0,0,0
2015-04-24 15:45:46,0,0,0,0
2015-04-24 15:45:47,0,0,0,0
2015-04-24 15:45:48,0,0,0,0
2015-04-24 15:45:49,0,0,0,0
2015-04-24 15:45:50,0,0,0,0
2015-04-24 15:45:51,0,0,0,0
2015-04-24 15:45:52,0,0,0,0
2015-04-24 15:45:53,0,0,0,0
2015-04-24 15:45:54,0,0,0,2
2015-04-24 15:45:55,0,0,0,2
2015-04-24 15:45:56,0,0,0,2
2015-04-24 15:45:57,0,0,0,2
2015-04-24 15:45:58,0,0,0,2
2015-04-24 15:45:59,0,0,0,2
2015-04-24 15:46:00,0,0,0,2
2015-04-24 15:46:01,0,0,0,2
2015-04-24 15:46:02,0,0,0,3
2015-04-24 15:46:03,0,0,0,3
2015-04-24 15:46:04,0,0,0,2
2015-04-24 15:46:05,0,0,0,2
2015-04-24 15:46:06,0,0,0,2
2015-04-24 15:46:07,0,0,0,0
2015-04-24 15:46:08,0,0,0,0
2015-04-24 15:46:09,0,0,0,0
2015-04-24 15:46:10,0,0,0,2
2015-04-24 15:46:11,0,0,0,3
2015-04-24 15:46:12,0,0,0,3
2015-04-24 15:46:13,0,0,0,3
2015-04-24 15:46:14,0,0,3,3
2015-04-24 15:46:15,1,0,3,3
2015-04-24 15:46:16,2,0,3,3
2015-04-24 15:46:17,2,0,3,3
2015-04-24 15:46:18,2,0,3,4
2015-04-24 15:46:19,2,0,3,0
2015-04-24 15:46:20,8,0,3,0
2015-04-24 15:46:21,6,0,3,0
2015-04-24 15:46:22,6,0,3,0
2015-04-24 15:46:23,6,0,3,2
2015-04-24 15:46:24,6,0,2,4
2015-04-24 15:46:25,4,0,6,4
2015-04-24 15:46:26,0,0,7,4
2015-04-24 15:46:27,0,0,7,6
2015-04-24 15:46:28,0,0,7,6
2015-04-24 15:46:29,0,0,7,6
2015-04-24 15:46:30,0,0,7,6
2015-04-24 15:46:31,0,0,4,6
2015-04-24 15:46:32,0,0,4,6
2015-04-24 15:46:33,0,0,7,7
2015-04-24 15:46:34,0,0,7,7
2015-04-24 15:46:35,0,0,6,7
2015-04-24 15:46:36,0,0,8,7
2015-04-24 15:46:37,0,0,6,7
2015-04-24 15:46:38,5,0,7,7
2015-04-24 15:46:39,5,0,7,7
2015-04-24 15:46:40,6,0,7,7
2015-04-24 15:46:41,6,0,7,0
2015-04-24 15:46:42,7,0,7,0
2015-04-24 15:46:43,7,0,7,0
2015-04-24 15:46:44,7,8,7,0
2015-04-24 15:46:45,6,4,7,0
2015-04-24 15:46:46,7,0,8,0
2015-04-24 15:46:47,8,0,8,0
2015-04-24 15:46:48,3,0,8,0
2015-04-24 15:46:49,3,0,8,0
2015-04-24 15:46:50,3,0,8,0
2015-04-24 15:46:51,0,0,8,0
2015-04-24 15:46:52,0,0,8,0
2015-04-24 15:46:53,0,0,8,0
2015-04-24 15:46:54,0,0,7,0
2015-04-24 15:46:55,0,0,7,0
2015-04-24 15:46:56,0,0,7,0
2015-04-24 15:46:57,0,0,7,0
2015-04-24 15:46:58,0,0,4,0
2015-04-24 15:46:59,0,0,4,0
2015-04-24 15:47:00,0,0,4,0
2015-04-24 15:47:01,0,0,4,0
2015-04-24 15:47:02,0,0,3,0
2015-04-24 15:47:03,0,0,3,0
2015-04-24 15:47:04,0,0,3,0
2015-04-24 15:47:05,0,0,3,0
