time,charles,jonathan,christina
2014-08-11 20:58:07,0,7,0
2014-08-11 20:58:08,0,7,2
2014-08-11 20:58:09,0,7,2
2014-08-11 20:58:10,0,7,2
2014-08-11 20:58:11,3,7,3
2014-08-11 20:58:12,3,7,3
2014-08-11 20:58:13,3,8,3
2014-08-11 20:58:14,3,8,3
2014-08-11 20:58:15,3,8,4
2014-08-11 20:58:16,3,2,4
2014-08-11 20:58:17,1,0,3
2014-08-11 20:58:18,1,0,3
2014-08-11 20:58:19,1,2,0
2014-08-11 20:58:20,1,8,0
2014-08-11 20:58:21,1,4,0
2014-08-11 20:58:22,1,3,0
2014-08-11 20:58:23,1,3,0
2014-08-11 20:58:24,1,3,0
2014-08-11 20:58:25,1,3,0
2014-08-11 20:58:26,1,3,0
2014-08-11 20:58:27,1,2,0
2014-08-11 20:58:28,1,2,0
2014-08-11 20:58:29,1,2,0
2014-08-11 20:58:30,1,2,0
2014-08-11 20:58:31,1,2,0
2014-08-11 20:58:32,1,3,0
2014-08-11 20:58:33,1,3,0
2014-08-11 20:58:34,1,3,0
2014-08-11 20:58:35,1,3,0
2014-08-11 20:58:36,1,3,0
2014-08-11 20:58:37,1,2,0
2014-08-11 20:58:38,1,2,0
2014-08-11 20:58:39,2,0,0
2014-08-11 20:58:40,0,0,0
2014-08-11 20:58:41,0,0,0
2014-08-11 20:58:42,0,0,0
2014-08-11 20:58:43,0,0,0
2014-08-11 20:58:44,0,0,0
2014-08-11 20:58:45,0,0,0
2014-08-11 20:58:46,0,0,0
2014-08-11 20:58:47,0,0,0
2014-08-11 20:58:48,0,0,0
2014-08-11 20:58:49,0,0,0
2014-08-11 20:58:50,0,0,0
2014-08-11 20:58:51,0,0,0
2014-08-11 20:58:52,0,0,0
2014-08-11 20:58:53,0,0,0
2014-08-11 20:58:54,0,0,0
2014-08-11 20:58:55,0,0,0
2014-08-11 20:58:56,0,0,0
2014-08-11 20:58:57,0,0,0
2014-08-11 20:58:58,0,0,0
2014-08-11 20:58:59,0,0,0
2014-08-11 20:59:00,0,0,0
2014-08-11 20:59:01,0,0,0
2014-08-11 20:59:02,0,0,0
2014-08-11 20:59:03,0,0,0
2014-08-11 20:59:04,0,0,0
2014-08-11 20:59:05,1,0,2
2014-08-11 20:59:06,1,0,2
2014-08-11 20:59:07,1,0,2
2014-08-11 20:59:08,1,0,2
2014-08-11 20:59:09,1,0,2
2014-08-11 20:59:10,0,0,0
2014-08-11 20:59:11,0,0,0
2014-08-11 20:59:12,0,0,0
2014-08-11 20:59:13,0,0,0
2014-08-11 20:59:14,0,0,0
2014-08-11 20:59:15,0,0,0
2014-08-11 20:59:16,0,0,0
2014-08-11 20:59:17,0,0,0
2014-08-11 20:59:18,0,0,0
2014-08-11 20:59:19,0,0,0
2014-08-11 20:59:20,0,0,0
2014-08-11 20:59:21,0,0,0
2014-08-11 20:59:22,0,0,0
2014-08-11 20:59:23,0,0,0
2014-08-11 20:59:24,0,0,0
2014-08-11 20:59:25,0,0,0
2014-08-11 20:59:26,0,0,0
2014-08-11 20:59:27,0,0,0
2014-08-11 20:59:28,0,0,0
2014-08-11 20:59:29,0,0,0
2014-08-11 20:59:30,0,0,0
2014-08-11 20:59:31,0,0,0
2014-08-11 20:59:32,0,0,0
2014-08-11 20:59:33,0,0,0
2014-08-11 20:59:34,0,0,0
2014-08-11 20:59:35,0,2,0
2014-08-11 20:59:36,0,2,0
2014-08-11 20:59:37,0,2,0
2014-08-11 20:59:38,0,2,0
2014-08-11 20:59:39,0,2,0
2014-08-11 20:59:40,0,0,0
2014-08-11 20:59:41,0,0,0
2014-08-11 20:59:42,0,0,0
2014-08-11 20:59:43,0,0,0
2014-08-11 20:59:44,0,0,0
2014-08-11 20:59:45,0,0,0
2014-08-11 20:59:46,0,0,0
2014-08-11 20:59:47,0,0,0
2014-08-11 20:59:48,0,0,0
2014-08-11 20:59:49,0,0,0
2014-08-11 20:59:50,0,0,0
2014-08-11 20:59:51,0,0,0
2014-08-11 20:59:52,0,0,0
2014-08-11 20:59:53,0,0,0
2014-08-11 20:59:54,0,0,0
2014-08-11 20:59:55,0,0,0
2014-08-11 20:59:56,0,0,0
2014-08-11 20:59:57,0,0,0
2014-08-11 20:59:58,0,0,0
2014-08-11 20:59:59,0,0,0
2014-08-11 21:00:00,0,0,0
2014-08-11 21:00:01,0,0,0
2014-08-11 21:00:02,0,0,0
2014-08-11 21:00:03,0,0,0
2014-08-11 21:00:04,0,0,0
2014-08-11 21:00:05,1,0,0
2014-08-11 21:00:06,1,0,0
2014-08-11 21:00:07,1,0,0
2014-08-11 21:00:08,1,0,0
2014-08-11 21:00:09,1,0,0
2014-08-11 21:00:10,2,0,0
2014-08-11 21:00:11,2,0,0
2014-08-11 21:00:12,2,0,0
2014-08-11 21:00:13,2,0,0
2014-08-11 21:00:14,2,0,0
2014-08-11 21:00:15,2,0,0
2014-08-11 21:00:16,2,0,0
2014-08-11 21:00:17,2,0,0
2014-08-11 21:00:18,2,0,0
2014-08-11 21:00:19,2,0,0
2014-08-11 21:00:20,2,0,0
2014-08-11 21:00:21,0,0,0
