time,charles,christina,jonathan,yvonne
2013-05-04 14:32:22,7,2,0,4
2013-05-04 14:32:23,7,2,0,4
2013-05-04 14:32:24,7,2,0,4
2013-05-04 14:32:25,7,2,0,4
2013-05-04 14:32:26,7,2,0,7
2013-05-04 14:32:27,7,2,0,6
2013-05-04 14:32:28,7,2,0,6
2013-05-04 14:32:29,7,2,0,6
2013-05-04 14:32:30,7,2,0,6
2013-05-04 14:32:31,7,2,0,6
2013-05-04 14:32:32,7,2,0,6
2013-05-04 14:32:33,7,2,0,6
2013-05-04 14:32:34,7,2,0,6
2013-05-04 14:32:35,7,2,0,6
2013-05-04 14:32:36,7,2,0,6
2013-05-04 14:32:37,7,2,0,6
2013-05-04 14:32:38,7,2,0,6
2013-05-04 14:32:39,6,2,0,6
2013-05-04 14:32:40,7,2,0,6
2013-05-04 14:32:41,7,2,0,4
2013-05-04 14:32:42,7,2,0,4
2013-05-04 14:32:43,7,2,0,4
2013-05-04 14:32:44,7,2,0,4
2013-05-04 14:32:45,7,2,0,4
2013-05-04 14:32:46,7,2,0,6
2013-05-04 14:32:47,6,2,0,6
2013-05-04 14:32:48,6,2,0,6
2013-05-04 14:32:49,6,2,0,6
2013-05-04 14:32:50,6,2,0,6
2013-05-04 14:32:51,6,2,0,4
2013-05-04 14:32:52,6,2,0,4
2013-05-04 14:32:53,6,2,0,6
2013-05-04 14:32:54,6,2,0,6
2013-05-04 14:32:55,6,2,0,4
2013-05-04 14:32:56,6,2,0,4
2013-05-04 14:32:57,6,2,0,4
2013-05-04 14:32:58,6,2,0,4
2013-05-04 14:32:59,7,2,0,4
2013-05-04 14:33:00,7,2,0,4
2013-05-04 14:33:01,7,2,0,4
2013-05-04 14:33:02,7,2,0,4
2013-05-04 14:33:03,6,2,0,4
2013-05-04 14:33:04,6,1,0,4
2013-05-04 14:33:05,6,1,0,4
2013-05-04 14:33:06,6,1,0,4
2013-05-04 14:33:07,6,1,0,7
2013-05-04 14:33:08,6,1,0,4
2013-05-04 14:33:09,6,1,0,6
2013-05-04 14:33:10,6,1,0,7
2013-05-04 14:33:11,6,1,0,7
2013-05-04 14:33:12,6,1,0,4
2013-05-04 14:33:13,6,1,0,6
2013-05-04 14:33:14,6,2,0,6
2013-05-04 14:33:15,6,2,0,6
2013-05-04 14:33:16,6,4,0,4
2013-05-04 14:33:17,6,4,0,6
2013-05-04 14:33:18,6,4,0,6
2013-05-04 14:33:19,6,4,0,6
2013-05-04 14:33:20,6,4,0,6
2013-05-04 14:33:21,6,4,0,6
2013-05-04 14:33:22,6,4,0,6
2013-05-04 14:33:23,6,2,0,6
2013-05-04 14:33:24,6,2,0,6
2013-05-04 14:33:25,6,0,0,6
2013-05-04 14:33:26,7,0,0,6
2013-05-04 14:33:27,7,0,0,6
2013-05-04 14:33:28,7,0,0,6
2013-05-04 14:33:29,7,0,0,7
2013-05-04 14:33:30,7,0,0,6
2013-05-04 14:33:31,7,0,0,6
2013-05-04 14:33:32,7,0,0,7
2013-05-04 14:33:33,7,0,0,6
2013-05-04 14:33:34,6,0,0,6
2013-05-04 14:33:35,6,0,0,6
2013-05-04 14:33:36,6,0,0,4
2013-05-04 14:33:37,6,0,0,4
2013-05-04 14:33:38,6,0,0,6
2013-05-04 14:33:39,6,0,0,6
2013-05-04 14:33:40,6,0,0,7
2013-05-04 14:33:41,6,0,0,7
2013-05-04 14:33:42,6,0,0,7
2013-05-04 14:33:43,7,0,0,7
2013-05-04 14:33:44,7,0,0,4
2013-05-04 14:33:45,7,0,0,7
2013-05-04 14:33:46,7,0,0,7
2013-05-04 14:33:47,4,0,0,7
2013-05-04 14:33:48,4,0,0,7
2013-05-04 14:33:49,4,0,0,7
2013-05-04 14:33:50,4,0,0,7
2013-05-04 14:33:51,3,0,0,7
2013-05-04 14:33:52,3,0,0,7
2013-05-04 14:33:53,3,0,0,7
2013-05-04 14:33:54,3,0,0,7
2013-05-04 14:33:55,3,0,0,7
2013-05-04 14:33:56,3,0,0,7
2013-05-04 14:33:57,3,0,0,7
2013-05-04 14:33:58,3,0,0,7
2013-05-04 14:33:59,3,0,0,7
2013-05-04 14:34:00,3,0,0,7
2013-05-04 14:34:01,3,0,0,7
2013-05-04 14:34:02,3,0,0,7
2013-05-04 14:34:03,3,0,0,7
2013-05-04 14:34:04,3,0,0,7
2013-05-04 14:34:05,3,0,0,7
2013-05-04 14:34:06,3,0,0,7
2013-05-04 14:34:07,3,0,0,7
2013-05-04 14:34:08,3,0,0,7
2013-05-04 14:34:09,3,0,0,7
2013-05-04 14:34:10,3,0,0,7
2013-05-04 14:34:11,3,0,0,7
2013-05-04 14:34:12,3,0,0,7
2013-05-04 14:34:13,3,0,0,7
2013-05-04 14:34:14,3,0,0,7
2013-05-04 14:34:15,3,0,0,7
2013-05-04 14:34:16,3,0,0,7
2013-05-04 14:34:17,3,0,0,7
2013-05-04 14:34:18,3,0,0,7
2013-05-04 14:34:19,3,0,0,4
2013-05-04 14:34:20,3,0,0,4
2013-05-04 14:34:21,3,0,0,4
2013-05-04 14:34:22,4,0,0,0
2013-05-04 14:34:23,4,2,0,0
