time,24C41EC3-7ECC-40DA-B942-7ABE23017E74,BD49B35A-8999-4987-9759-8D3F28D1292B,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-05-01 18:53:25,8,4,3,2
2015-05-01 18:53:26,8,8,3,2
2015-05-01 18:53:27,8,8,3,2
2015-05-01 18:53:28,8,4,8,2
2015-05-01 18:53:29,8,3,3,2
2015-05-01 18:53:30,8,8,3,3
2015-05-01 18:53:31,8,4,4,3
2015-05-01 18:53:32,8,4,4,3
2015-05-01 18:53:33,7,4,4,3
2015-05-01 18:53:34,7,2,4,4
2015-05-01 18:53:35,7,1,4,8
2015-05-01 18:53:36,7,2,2,4
2015-05-01 18:53:37,2,2,3,4
2015-05-01 18:53:38,2,2,3,4
2015-05-01 18:53:39,2,2,3,4
2015-05-01 18:53:40,2,2,3,4
2015-05-01 18:53:41,2,1,3,4
2015-05-01 18:53:42,1,1,3,7
2015-05-01 18:53:43,1,1,3,4
2015-05-01 18:53:44,3,1,3,4
2015-05-01 18:53:45,3,1,1,3
2015-05-01 18:53:46,3,1,1,3
2015-05-01 18:53:47,3,1,8,3
2015-05-01 18:53:48,3,1,8,3
2015-05-01 18:53:49,3,1,8,1
2015-05-01 18:53:50,3,1,8,3
2015-05-01 18:53:51,3,1,8,3
2015-05-01 18:53:52,3,1,8,3
2015-05-01 18:53:53,3,1,8,3
2015-05-01 18:53:54,3,1,8,3
2015-05-01 18:53:55,3,1,8,3
2015-05-01 18:53:56,3,1,8,3
2015-05-01 18:53:57,1,1,8,1
2015-05-01 18:53:58,8,1,8,1
2015-05-01 18:53:59,8,1,8,3
2015-05-01 18:54:00,8,3,8,3
2015-05-01 18:54:01,8,3,8,3
2015-05-01 18:54:02,8,8,8,4
2015-05-01 18:54:03,8,8,8,4
2015-05-01 18:54:04,8,8,8,7
2015-05-01 18:54:05,8,8,8,7
2015-05-01 18:54:06,8,7,8,7
2015-05-01 18:54:07,8,7,3,7
2015-05-01 18:54:08,8,7,6,7
2015-05-01 18:54:09,8,7,6,7
2015-05-01 18:54:10,8,7,4,8
2015-05-01 18:54:11,8,4,4,8
2015-05-01 18:54:12,8,4,4,8
2015-05-01 18:54:13,8,4,3,8
2015-05-01 18:54:14,8,7,3,8
2015-05-01 18:54:15,8,7,3,8
2015-05-01 18:54:16,8,7,3,7
2015-05-01 18:54:17,8,7,3,7
2015-05-01 18:54:18,8,7,3,7
2015-05-01 18:54:19,7,7,3,7
2015-05-01 18:54:20,4,4,3,7
2015-05-01 18:54:21,4,4,3,7
2015-05-01 18:54:22,4,8,3,7
2015-05-01 18:54:23,4,8,3,7
2015-05-01 18:54:24,3,8,1,7
2015-05-01 18:54:25,8,8,1,7
2015-05-01 18:54:26,8,8,3,4
2015-05-01 18:54:27,8,8,1,4
2015-05-01 18:54:28,5,8,1,4
2015-05-01 18:54:29,5,8,3,6
2015-05-01 18:54:30,5,7,3,6
2015-05-01 18:54:31,8,7,3,6
2015-05-01 18:54:32,8,7,3,4
2015-05-01 18:54:33,8,7,1,6
2015-05-01 18:54:34,3,6,1,4
2015-05-01 18:54:35,3,8,1,4
