time,charles,jonathan,christina,yvonne,00088B8E-D27C-4AE1-8102-5FE318589D3E
2014-04-28 18:33:35,2,0,0,5,0
2014-04-28 18:33:36,2,0,0,5,0
2014-04-28 18:33:37,0,0,0,2,0
2014-04-28 18:33:38,2,0,0,2,0
2014-04-28 18:33:39,2,0,0,2,0
2014-04-28 18:33:40,2,0,0,2,0
2014-04-28 18:33:41,2,0,0,2,0
2014-04-28 18:33:42,2,0,0,2,0
2014-04-28 18:33:43,2,0,0,2,0
2014-04-28 18:33:44,3,0,0,2,0
2014-04-28 18:33:45,3,0,0,2,0
2014-04-28 18:33:46,3,0,0,2,0
2014-04-28 18:33:47,4,0,0,2,0
2014-04-28 18:33:48,3,0,0,2,0
2014-04-28 18:33:49,3,0,0,2,2
2014-04-28 18:33:50,3,0,0,2,3
2014-04-28 18:33:51,4,0,0,3,4
2014-04-28 18:33:52,7,0,0,2,4
2014-04-28 18:33:53,7,0,0,2,4
2014-04-28 18:33:54,7,0,0,2,4
2014-04-28 18:33:55,7,0,0,2,4
2014-04-28 18:33:56,4,0,0,2,4
2014-04-28 18:33:57,7,0,0,2,4
2014-04-28 18:33:58,7,0,0,2,4
2014-04-28 18:33:59,4,0,0,0,4
2014-04-28 18:34:00,4,0,0,0,8
2014-04-28 18:34:01,4,0,0,0,3
2014-04-28 18:34:02,4,0,0,0,3
2014-04-28 18:34:03,4,0,0,0,3
2014-04-28 18:34:04,4,0,0,0,3
2014-04-28 18:34:05,3,0,0,0,3
2014-04-28 18:34:06,3,0,0,0,3
2014-04-28 18:34:07,4,0,0,0,3
2014-04-28 18:34:08,4,0,0,0,3
2014-04-28 18:34:09,4,0,0,0,2
2014-04-28 18:34:10,4,0,0,0,3
2014-04-28 18:34:11,4,0,0,0,3
2014-04-28 18:34:12,2,0,0,0,2
2014-04-28 18:34:13,2,0,2,0,2
2014-04-28 18:34:14,2,0,3,0,2
2014-04-28 18:34:15,2,0,3,0,2
2014-04-28 18:34:16,2,0,3,0,2
2014-04-28 18:34:17,2,0,3,0,2
2014-04-28 18:34:18,2,0,4,0,2
2014-04-28 18:34:19,2,0,4,0,2
2014-04-28 18:34:20,2,0,3,0,2
2014-04-28 18:34:21,2,0,1,0,2
2014-04-28 18:34:22,2,0,1,0,2
2014-04-28 18:34:23,2,0,1,0,2
2014-04-28 18:34:24,2,0,1,0,2
2014-04-28 18:34:25,2,0,3,0,2
2014-04-28 18:34:26,3,0,3,0,2
2014-04-28 18:34:27,3,0,3,0,2
2014-04-28 18:34:28,4,0,3,0,2
2014-04-28 18:34:29,4,0,3,0,2
2014-04-28 18:34:30,4,0,3,0,2
2014-04-28 18:34:31,4,0,3,0,2
2014-04-28 18:34:32,4,0,3,0,2
2014-04-28 18:34:33,3,0,4,0,2
2014-04-28 18:34:34,4,0,4,0,2
2014-04-28 18:34:35,3,0,4,0,2
2014-04-28 18:34:36,3,0,4,0,2
2014-04-28 18:34:37,3,0,4,0,2
2014-04-28 18:34:38,3,0,3,0,2
2014-04-28 18:34:39,3,0,3,0,2
2014-04-28 18:34:40,4,0,3,0,3
2014-04-28 18:34:41,4,0,8,0,1
2014-04-28 18:34:42,4,0,8,0,1
2014-04-28 18:34:43,3,0,3,0,1
2014-04-28 18:34:44,3,0,3,0,3
2014-04-28 18:34:45,3,0,3,0,3
2014-04-28 18:34:46,1,0,3,0,3
2014-04-28 18:34:47,3,0,3,0,1
2014-04-28 18:34:48,3,0,3,0,3
2014-04-28 18:34:49,3,0,1,0,1
2014-04-28 18:34:50,2,0,1,0,1
2014-04-28 18:34:51,2,0,1,0,3
2014-04-28 18:34:52,2,0,3,2,3
2014-04-28 18:34:53,0,0,3,2,2
2014-04-28 18:34:54,0,0,3,2,2
2014-04-28 18:34:55,2,0,8,2,2
2014-04-28 18:34:56,2,0,7,2,3
2014-04-28 18:34:57,2,0,4,2,3
2014-04-28 18:34:58,3,0,3,2,3
2014-04-28 18:34:59,1,0,3,2,3
2014-04-28 18:35:00,1,0,3,2,4
2014-04-28 18:35:01,2,0,1,2,4
2014-04-28 18:35:02,2,0,1,2,4
2014-04-28 18:35:03,2,0,1,2,4
2014-04-28 18:35:04,2,0,1,2,4
2014-04-28 18:35:05,2,0,1,1,3
2014-04-28 18:35:06,2,0,3,1,0
2014-04-28 18:35:07,2,0,2,1,0
2014-04-28 18:35:08,2,0,0,1,0
2014-04-28 18:35:09,2,0,0,1,0
2014-04-28 18:35:10,2,0,0,1,0
2014-04-28 18:35:11,2,0,0,1,0
2014-04-28 18:35:12,0,0,0,0,0
2014-04-28 18:35:13,0,0,0,2,0
2014-04-28 18:35:14,0,0,0,2,0
2014-04-28 18:35:15,0,0,0,1,0
2014-04-28 18:35:16,0,0,0,1,0
2014-04-28 18:35:17,2,0,0,1,0
2014-04-28 18:35:18,2,0,0,1,0
2014-04-28 18:35:19,2,0,0,1,0
2014-04-28 18:35:20,2,0,0,1,0
2014-04-28 18:35:21,2,0,0,1,0
2014-04-28 18:35:22,2,0,0,1,0
2014-04-28 18:35:23,2,0,0,1,0
2014-04-28 18:35:24,2,0,0,1,0
2014-04-28 18:35:25,2,0,0,1,0
2014-04-28 18:35:26,2,0,0,1,0
2014-04-28 18:35:27,2,0,0,1,0
2014-04-28 18:35:28,2,0,0,1,0
2014-04-28 18:35:29,8,0,0,1,0
2014-04-28 18:35:30,2,0,0,1,0
2014-04-28 18:35:31,2,0,0,1,0
2014-04-28 18:35:32,2,0,0,2,0
2014-04-28 18:35:33,3,0,0,2,0
2014-04-28 18:35:34,3,0,0,0,0
2014-04-28 18:35:35,3,0,2,0,0
2014-04-28 18:35:36,2,0,3,0,0
2014-04-28 18:35:37,2,0,4,0,0
2014-04-28 18:35:38,2,0,4,0,0
2014-04-28 18:35:39,0,0,4,0,0
2014-04-28 18:35:40,0,0,4,0,0
2014-04-28 18:35:41,0,0,4,0,0
2014-04-28 18:35:42,0,0,4,0,0
2014-04-28 18:35:43,0,0,3,0,0
2014-04-28 18:35:44,4,0,3,0,0
2014-04-28 18:35:45,4,0,3,0,0
2014-04-28 18:35:46,4,0,3,0,0
2014-04-28 18:35:47,4,0,3,0,0
2014-04-28 18:35:48,4,0,4,0,0
2014-04-28 18:35:49,4,0,4,0,0
2014-04-28 18:35:50,4,0,4,0,0
2014-04-28 18:35:51,4,0,4,0,0
2014-04-28 18:35:52,4,0,0,0,0
2014-04-28 18:35:53,4,0,0,0,0
2014-04-28 18:35:54,3,0,0,0,0
