time,0E98DD2F-94C2-45EE-BEC5-18718CA36D8B,jonathan
2014-03-13 15:36:00,0,0
2014-03-13 15:36:01,0,0
2014-03-13 15:36:02,0,0
2014-03-13 15:36:03,0,0
2014-03-13 15:36:04,0,0
2014-03-13 15:36:05,0,0
2014-03-13 15:36:06,0,0
2014-03-13 15:36:07,0,0
2014-03-13 15:36:08,0,0
2014-03-13 15:36:09,0,0
2014-03-13 15:36:10,0,0
2014-03-13 15:36:11,0,0
2014-03-13 15:36:12,0,0
2014-03-13 15:36:13,0,0
2014-03-13 15:36:14,0,0
2014-03-13 15:36:15,0,0
2014-03-13 15:36:16,0,0
2014-03-13 15:36:17,2,0
2014-03-13 15:36:18,2,0
2014-03-13 15:36:19,2,0
2014-03-13 15:36:20,2,0
2014-03-13 15:36:21,2,0
2014-03-13 15:36:22,2,0
2014-03-13 15:36:23,2,0
2014-03-13 15:36:24,2,0
2014-03-13 15:36:25,2,0
2014-03-13 15:36:26,2,0
2014-03-13 15:36:27,2,0
2014-03-13 15:36:28,2,0
2014-03-13 15:36:29,2,0
2014-03-13 15:36:30,2,0
2014-03-13 15:36:31,2,0
2014-03-13 15:36:32,2,0
2014-03-13 15:36:33,2,0
2014-03-13 15:36:34,2,0
2014-03-13 15:36:35,2,0
2014-03-13 15:36:36,2,0
2014-03-13 15:36:37,2,0
2014-03-13 15:36:38,2,0
2014-03-13 15:36:39,0,0
2014-03-13 15:36:40,0,0
2014-03-13 15:36:41,0,0
2014-03-13 15:36:42,0,0
2014-03-13 15:36:43,0,0
2014-03-13 15:36:44,0,0
2014-03-13 15:36:45,0,0
2014-03-13 15:36:46,0,0
2014-03-13 15:36:47,0,0
2014-03-13 15:36:48,0,0
2014-03-13 15:36:49,0,0
2014-03-13 15:36:50,0,0
2014-03-13 15:36:51,0,0
2014-03-13 15:36:52,0,0
2014-03-13 15:36:53,0,0
2014-03-13 15:36:54,0,0
2014-03-13 15:36:55,0,0
2014-03-13 15:36:56,0,0
2014-03-13 15:36:57,0,0
2014-03-13 15:36:58,0,0
2014-03-13 15:36:59,0,0
2014-03-13 15:37:00,0,0
2014-03-13 15:37:01,0,0
2014-03-13 15:37:02,0,0
2014-03-13 15:37:03,0,0
2014-03-13 15:37:04,0,0
2014-03-13 15:37:05,0,0
2014-03-13 15:37:06,0,0
2014-03-13 15:37:07,0,0
2014-03-13 15:37:08,0,0
2014-03-13 15:37:09,0,0
2014-03-13 15:37:10,0,0
2014-03-13 15:37:11,0,0
2014-03-13 15:37:12,0,0
2014-03-13 15:37:13,0,0
