time,jonathan,charles,christina,yvonne
2013-08-03 17:35:57,0,0,0,0
2013-08-03 17:35:58,0,0,0,0
2013-08-03 17:35:59,0,0,0,0
2013-08-03 17:36:00,2,0,4,0
2013-08-03 17:36:01,2,0,4,0
2013-08-03 17:36:02,2,0,4,0
2013-08-03 17:36:03,2,0,4,0
2013-08-03 17:36:04,2,0,4,0
2013-08-03 17:36:05,4,0,4,0
2013-08-03 17:36:06,4,0,2,0
2013-08-03 17:36:07,4,0,0,0
2013-08-03 17:36:08,4,0,0,0
2013-08-03 17:36:09,8,0,0,0
2013-08-03 17:36:10,8,0,0,0
2013-08-03 17:36:11,2,0,0,0
2013-08-03 17:36:12,2,2,0,0
2013-08-03 17:36:13,2,2,0,0
2013-08-03 17:36:14,0,2,0,0
2013-08-03 17:36:15,0,2,0,0
2013-08-03 17:36:16,0,2,0,0
2013-08-03 17:36:17,0,2,0,0
2013-08-03 17:36:18,0,0,0,0
2013-08-03 17:36:19,0,0,0,0
2013-08-03 17:36:20,0,0,0,0
2013-08-03 17:36:21,0,2,0,0
2013-08-03 17:36:22,0,2,0,0
2013-08-03 17:36:23,0,2,0,0
2013-08-03 17:36:24,0,2,0,0
2013-08-03 17:36:25,0,2,0,0
2013-08-03 17:36:26,0,2,0,0
2013-08-03 17:36:27,0,0,0,0
2013-08-03 17:36:28,0,0,0,0
2013-08-03 17:36:29,0,0,0,0
2013-08-03 17:36:30,0,6,0,0
2013-08-03 17:36:31,0,2,0,0
2013-08-03 17:36:32,0,2,0,0
2013-08-03 17:36:33,0,2,0,0
2013-08-03 17:36:34,0,2,0,0
2013-08-03 17:36:35,0,2,0,0
2013-08-03 17:36:36,0,2,0,0
2013-08-03 17:36:37,0,0,0,0
2013-08-03 17:36:38,0,0,0,0
2013-08-03 17:36:39,0,0,0,0
2013-08-03 17:36:40,0,0,0,0
2013-08-03 17:36:41,0,0,0,0
2013-08-03 17:36:42,0,0,0,0
2013-08-03 17:36:43,0,2,0,0
2013-08-03 17:36:44,0,2,0,0
2013-08-03 17:36:45,0,2,0,0
2013-08-03 17:36:46,0,2,0,0
2013-08-03 17:36:47,0,2,0,0
2013-08-03 17:36:48,0,2,0,0
2013-08-03 17:36:49,0,0,0,0
2013-08-03 17:36:50,0,0,0,0
2013-08-03 17:36:51,0,0,0,0
2013-08-03 17:36:52,0,0,0,0
2013-08-03 17:36:53,0,0,0,0
2013-08-03 17:36:54,2,2,0,0
2013-08-03 17:36:55,2,2,0,0
2013-08-03 17:36:56,2,2,0,0
2013-08-03 17:36:57,2,2,0,0
2013-08-03 17:36:58,3,2,0,0
2013-08-03 17:36:59,2,2,0,0
2013-08-03 17:37:00,2,2,0,0
2013-08-03 17:37:01,2,2,0,0
2013-08-03 17:37:02,2,2,0,0
2013-08-03 17:37:03,0,2,0,0
2013-08-03 17:37:04,0,0,0,0
2013-08-03 17:37:05,0,0,0,0
2013-08-03 17:37:06,0,0,0,0
2013-08-03 17:37:07,0,0,0,0
2013-08-03 17:37:08,0,0,0,0
2013-08-03 17:37:09,0,0,0,0
2013-08-03 17:37:10,0,0,0,0
2013-08-03 17:37:11,0,0,0,0
2013-08-03 17:37:12,0,0,0,0
2013-08-03 17:37:13,0,0,0,0
2013-08-03 17:37:14,0,0,0,0
2013-08-03 17:37:15,0,0,0,0
2013-08-03 17:37:16,0,0,0,0
2013-08-03 17:37:17,0,0,0,0
2013-08-03 17:37:18,0,0,0,0
2013-08-03 17:37:19,0,0,0,0
2013-08-03 17:37:20,0,0,0,0
2013-08-03 17:37:21,0,0,0,0
2013-08-03 17:37:22,0,7,0,0
2013-08-03 17:37:23,0,7,0,0
2013-08-03 17:37:24,0,7,0,0
2013-08-03 17:37:25,0,7,0,0
2013-08-03 17:37:26,0,7,0,0
2013-08-03 17:37:27,0,7,0,0
2013-08-03 17:37:28,0,7,0,0
2013-08-03 17:37:29,0,7,0,0
2013-08-03 17:37:30,0,7,0,0
2013-08-03 17:37:31,0,7,0,0
2013-08-03 17:37:32,0,7,0,0
2013-08-03 17:37:33,0,7,0,0
2013-08-03 17:37:34,0,7,0,0
2013-08-03 17:37:35,0,7,0,0
2013-08-03 17:37:36,0,7,0,0
2013-08-03 17:37:37,0,7,0,0
2013-08-03 17:37:38,0,7,0,0
2013-08-03 17:37:39,0,7,0,0
2013-08-03 17:37:40,0,7,0,0
2013-08-03 17:37:41,0,7,0,0
2013-08-03 17:37:42,0,7,0,0
2013-08-03 17:37:43,0,7,0,0
2013-08-03 17:37:44,0,7,0,0
2013-08-03 17:37:45,0,7,0,0
2013-08-03 17:37:46,2,7,0,0
2013-08-03 17:37:47,2,7,0,0
2013-08-03 17:37:48,2,7,0,0
2013-08-03 17:37:49,2,7,0,0
2013-08-03 17:37:50,2,7,0,0
2013-08-03 17:37:51,2,7,0,0
2013-08-03 17:37:52,0,7,0,0
2013-08-03 17:37:53,0,7,0,0
2013-08-03 17:37:54,0,7,0,0
2013-08-03 17:37:55,0,7,0,0
2013-08-03 17:37:56,0,7,0,0
2013-08-03 17:37:57,0,7,0,0
2013-08-03 17:37:58,0,7,0,0
2013-08-03 17:37:59,0,7,0,0
2013-08-03 17:38:00,0,7,0,0
2013-08-03 17:38:01,0,7,0,0
2013-08-03 17:38:02,0,7,0,0
2013-08-03 17:38:03,0,7,0,0
2013-08-03 17:38:04,0,7,0,0
2013-08-03 17:38:05,0,7,0,0
2013-08-03 17:38:06,0,7,0,0
2013-08-03 17:38:07,0,7,0,0
2013-08-03 17:38:08,0,7,0,0
2013-08-03 17:38:09,0,7,0,0
2013-08-03 17:38:10,0,7,0,0
2013-08-03 17:38:11,0,7,0,0
2013-08-03 17:38:12,0,7,0,0
2013-08-03 17:38:13,0,7,0,0
2013-08-03 17:38:14,0,7,0,0
2013-08-03 17:38:15,0,7,0,0
2013-08-03 17:38:16,0,7,0,0
2013-08-03 17:38:17,0,7,0,0
2013-08-03 17:38:18,0,7,0,0
2013-08-03 17:38:19,0,7,0,0
2013-08-03 17:38:20,0,7,2,0
2013-08-03 17:38:21,0,7,2,0
2013-08-03 17:38:22,0,7,2,0
2013-08-03 17:38:23,0,7,2,0
2013-08-03 17:38:24,0,7,2,0
2013-08-03 17:38:25,0,7,2,0
2013-08-03 17:38:26,0,7,2,0
2013-08-03 17:38:27,0,7,2,0
2013-08-03 17:38:28,0,7,2,0
2013-08-03 17:38:29,0,7,2,0
2013-08-03 17:38:30,0,8,2,0
2013-08-03 17:38:31,0,7,2,0
2013-08-03 17:38:32,0,7,2,0
2013-08-03 17:38:33,0,7,2,0
2013-08-03 17:38:34,0,7,2,0
2013-08-03 17:38:35,0,7,2,0
2013-08-03 17:38:36,0,7,3,0
2013-08-03 17:38:37,0,7,3,0
2013-08-03 17:38:38,0,7,1,0
2013-08-03 17:38:39,0,7,3,0
2013-08-03 17:38:40,0,6,2,0
2013-08-03 17:38:41,0,5,2,0
2013-08-03 17:38:42,0,7,2,0
2013-08-03 17:38:43,0,7,2,0
2013-08-03 17:38:44,0,7,2,0
2013-08-03 17:38:45,0,7,4,0
2013-08-03 17:38:46,0,7,7,0
2013-08-03 17:38:47,0,7,7,0
2013-08-03 17:38:48,0,7,7,0
2013-08-03 17:38:49,0,7,7,0
2013-08-03 17:38:50,0,5,4,0
2013-08-03 17:38:51,0,5,0,0
2013-08-03 17:38:52,0,5,0,0
2013-08-03 17:38:53,0,5,4,0
2013-08-03 17:38:54,0,5,4,0
2013-08-03 17:38:55,0,5,4,0
2013-08-03 17:38:56,0,5,4,0
2013-08-03 17:38:57,0,5,4,0
2013-08-03 17:38:58,0,5,4,0
2013-08-03 17:38:59,0,5,0,0
2013-08-03 17:39:00,0,5,0,0
2013-08-03 17:39:01,0,6,6,0
2013-08-03 17:39:02,0,6,4,0
2013-08-03 17:39:03,0,6,4,0
2013-08-03 17:39:04,0,7,4,0
2013-08-03 17:39:05,0,7,4,0
2013-08-03 17:39:06,0,7,4,0
2013-08-03 17:39:07,0,7,0,0
2013-08-03 17:39:08,0,7,0,0
2013-08-03 17:39:09,0,7,0,0
2013-08-03 17:39:10,0,7,0,0
2013-08-03 17:39:11,0,7,0,0
2013-08-03 17:39:12,0,7,0,0
2013-08-03 17:39:13,0,7,0,0
2013-08-03 17:39:14,0,7,0,0
2013-08-03 17:39:15,0,7,0,0
2013-08-03 17:39:16,0,7,0,0
2013-08-03 17:39:17,0,7,0,0
2013-08-03 17:39:18,0,7,0,0
2013-08-03 17:39:19,0,7,0,0
2013-08-03 17:39:20,0,7,0,0
2013-08-03 17:39:21,0,7,0,0
2013-08-03 17:39:22,0,7,0,0
2013-08-03 17:39:23,0,7,0,0
2013-08-03 17:39:24,0,7,0,0
2013-08-03 17:39:25,0,7,0,0
2013-08-03 17:39:26,0,7,0,0
2013-08-03 17:39:27,0,7,0,0
2013-08-03 17:39:28,0,7,0,6
2013-08-03 17:39:29,0,7,0,6
2013-08-03 17:39:30,0,7,0,6
2013-08-03 17:39:31,0,7,0,6
2013-08-03 17:39:32,0,7,0,2
2013-08-03 17:39:33,0,7,0,2
2013-08-03 17:39:34,0,7,0,2
2013-08-03 17:39:35,0,7,0,2
2013-08-03 17:39:36,0,7,0,2
2013-08-03 17:39:37,0,7,0,2
2013-08-03 17:39:38,0,7,0,2
2013-08-03 17:39:39,0,7,0,2
2013-08-03 17:39:40,2,7,0,2
2013-08-03 17:39:41,2,7,0,2
2013-08-03 17:39:42,2,7,0,2
2013-08-03 17:39:43,2,7,0,2
2013-08-03 17:39:44,2,7,0,2
2013-08-03 17:39:45,2,7,0,2
2013-08-03 17:39:46,2,7,0,2
2013-08-03 17:39:47,2,7,0,2
2013-08-03 17:39:48,0,7,0,2
2013-08-03 17:39:49,0,7,0,2
2013-08-03 17:39:50,2,7,0,2
2013-08-03 17:39:51,2,7,0,2
2013-08-03 17:39:52,2,7,0,2
2013-08-03 17:39:53,2,7,0,2
2013-08-03 17:39:54,2,7,0,2
2013-08-03 17:39:55,2,7,0,2
2013-08-03 17:39:56,0,7,0,2
2013-08-03 17:39:57,0,7,0,2
2013-08-03 17:39:58,0,7,0,2
2013-08-03 17:39:59,0,7,0,2
2013-08-03 17:40:00,0,7,0,2
2013-08-03 17:40:01,0,7,0,2
2013-08-03 17:40:02,0,7,0,2
2013-08-03 17:40:03,0,7,0,2
2013-08-03 17:40:04,0,7,0,2
2013-08-03 17:40:05,2,7,0,2
2013-08-03 17:40:06,2,7,0,2
2013-08-03 17:40:07,2,7,0,2
2013-08-03 17:40:08,2,7,0,2
2013-08-03 17:40:09,2,7,0,2
2013-08-03 17:40:10,2,7,0,2
2013-08-03 17:40:11,0,7,0,2
2013-08-03 17:40:12,0,7,0,2
2013-08-03 17:40:13,0,7,0,2
2013-08-03 17:40:14,0,7,0,2
2013-08-03 17:40:15,0,7,0,2
2013-08-03 17:40:16,0,7,0,2
2013-08-03 17:40:17,0,7,0,2
2013-08-03 17:40:18,0,7,0,2
2013-08-03 17:40:19,0,7,0,2
2013-08-03 17:40:20,0,7,0,2
2013-08-03 17:40:21,0,7,0,2
2013-08-03 17:40:22,0,7,0,2
2013-08-03 17:40:23,0,7,0,2
2013-08-03 17:40:24,0,7,0,2
2013-08-03 17:40:25,2,7,0,2
2013-08-03 17:40:26,2,7,0,2
2013-08-03 17:40:27,2,7,0,2
2013-08-03 17:40:28,2,7,0,2
2013-08-03 17:40:29,2,7,0,2
2013-08-03 17:40:30,2,7,0,2
2013-08-03 17:40:31,0,7,0,2
2013-08-03 17:40:32,0,7,0,2
2013-08-03 17:40:33,0,7,0,2
2013-08-03 17:40:34,0,7,0,2
2013-08-03 17:40:35,0,7,0,2
2013-08-03 17:40:36,0,7,0,2
2013-08-03 17:40:37,0,7,0,2
2013-08-03 17:40:38,0,7,0,2
2013-08-03 17:40:39,0,7,0,2
2013-08-03 17:40:40,0,7,0,2
2013-08-03 17:40:41,0,7,0,2
2013-08-03 17:40:42,0,7,0,2
2013-08-03 17:40:43,2,7,0,2
2013-08-03 17:40:44,2,7,2,2
2013-08-03 17:40:45,2,7,4,2
2013-08-03 17:40:46,2,7,4,2
2013-08-03 17:40:47,2,7,4,2
2013-08-03 17:40:48,2,7,4,2
2013-08-03 17:40:49,2,7,7,2
2013-08-03 17:40:50,3,7,7,2
2013-08-03 17:40:51,3,7,7,2
2013-08-03 17:40:52,3,7,7,2
2013-08-03 17:40:53,3,7,7,2
2013-08-03 17:40:54,3,7,7,2
2013-08-03 17:40:55,4,7,4,2
2013-08-03 17:40:56,4,7,4,2
2013-08-03 17:40:57,2,7,4,2
2013-08-03 17:40:58,0,7,3,2
2013-08-03 17:40:59,0,7,4,2
2013-08-03 17:41:00,0,7,4,2
2013-08-03 17:41:01,0,7,4,2
2013-08-03 17:41:02,0,7,4,2
2013-08-03 17:41:03,2,7,4,2
2013-08-03 17:41:04,2,7,4,2
2013-08-03 17:41:05,2,6,2,2
2013-08-03 17:41:06,2,7,0,2
2013-08-03 17:41:07,2,7,0,2
2013-08-03 17:41:08,0,7,0,2
2013-08-03 17:41:09,0,7,0,2
2013-08-03 17:41:10,0,7,0,2
2013-08-03 17:41:11,0,7,0,2
2013-08-03 17:41:12,0,7,0,2
2013-08-03 17:41:13,0,7,0,2
2013-08-03 17:41:14,0,7,0,2
2013-08-03 17:41:15,0,7,0,2
2013-08-03 17:41:16,0,7,0,2
2013-08-03 17:41:17,0,7,0,2
2013-08-03 17:41:18,0,7,0,2
2013-08-03 17:41:19,0,7,0,2
2013-08-03 17:41:20,0,7,0,2
2013-08-03 17:41:21,0,7,0,2
2013-08-03 17:41:22,0,7,0,2
2013-08-03 17:41:23,0,7,0,2
2013-08-03 17:41:24,0,7,0,2
2013-08-03 17:41:25,0,7,0,2
2013-08-03 17:41:26,0,5,0,2
2013-08-03 17:41:27,0,7,0,1
2013-08-03 17:41:28,0,7,0,2
2013-08-03 17:41:29,0,7,0,2
2013-08-03 17:41:30,0,7,0,2
2013-08-03 17:41:31,0,7,0,2
2013-08-03 17:41:32,0,7,0,2
2013-08-03 17:41:33,0,7,0,2
2013-08-03 17:41:34,0,7,0,2
2013-08-03 17:41:35,0,7,0,2
2013-08-03 17:41:36,0,7,0,1
2013-08-03 17:41:37,0,7,0,2
2013-08-03 17:41:38,0,7,0,2
2013-08-03 17:41:39,0,7,0,2
2013-08-03 17:41:40,0,7,0,2
2013-08-03 17:41:41,0,7,0,2
2013-08-03 17:41:42,0,7,0,2
2013-08-03 17:41:43,0,7,0,2
2013-08-03 17:41:44,0,7,0,8
2013-08-03 17:41:45,0,7,0,3
2013-08-03 17:41:46,0,7,0,2
2013-08-03 17:41:47,0,7,0,2
2013-08-03 17:41:48,0,7,0,2
2013-08-03 17:41:49,0,7,0,2
2013-08-03 17:41:50,0,7,0,2
2013-08-03 17:41:51,0,7,0,2
2013-08-03 17:41:52,0,7,0,2
2013-08-03 17:41:53,0,7,0,2
2013-08-03 17:41:54,0,7,0,2
2013-08-03 17:41:55,0,7,0,2
2013-08-03 17:41:56,0,5,0,2
2013-08-03 17:41:57,0,5,0,2
2013-08-03 17:41:58,0,7,0,2
2013-08-03 17:41:59,0,7,0,2
2013-08-03 17:42:00,0,7,0,5
2013-08-03 17:42:01,0,7,0,2
2013-08-03 17:42:02,0,7,0,2
2013-08-03 17:42:03,2,7,0,2
2013-08-03 17:42:04,2,7,0,2
2013-08-03 17:42:05,2,7,0,2
2013-08-03 17:42:06,2,7,0,2
2013-08-03 17:42:07,2,7,0,2
2013-08-03 17:42:08,2,7,0,2
2013-08-03 17:42:09,0,7,0,2
2013-08-03 17:42:10,2,7,0,2
2013-08-03 17:42:11,2,7,0,2
2013-08-03 17:42:12,2,7,0,2
2013-08-03 17:42:13,2,7,0,2
2013-08-03 17:42:14,2,7,0,2
2013-08-03 17:42:15,2,7,0,2
2013-08-03 17:42:16,0,7,0,2
2013-08-03 17:42:17,0,7,2,2
2013-08-03 17:42:18,0,7,7,2
2013-08-03 17:42:19,0,7,7,2
2013-08-03 17:42:20,0,5,7,2
2013-08-03 17:42:21,0,5,7,2
2013-08-03 17:42:22,0,5,7,2
2013-08-03 17:42:23,0,5,7,2
2013-08-03 17:42:24,0,5,7,2
2013-08-03 17:42:25,0,5,7,5
2013-08-03 17:42:26,0,2,7,5
2013-08-03 17:42:27,0,2,7,5
2013-08-03 17:42:28,0,2,7,5
2013-08-03 17:42:29,0,2,7,5
2013-08-03 17:42:30,0,2,7,5
2013-08-03 17:42:31,0,0,7,5
2013-08-03 17:42:32,0,0,0,5
2013-08-03 17:42:33,0,0,0,5
2013-08-03 17:42:34,0,0,0,5
2013-08-03 17:42:35,0,0,0,2
2013-08-03 17:42:36,0,0,0,2
2013-08-03 17:42:37,0,0,7,5
2013-08-03 17:42:38,0,0,7,2
2013-08-03 17:42:39,0,0,7,5
2013-08-03 17:42:40,0,0,7,5
2013-08-03 17:42:41,0,0,7,5
2013-08-03 17:42:42,0,0,7,5
2013-08-03 17:42:43,0,0,7,5
2013-08-03 17:42:44,0,0,7,5
2013-08-03 17:42:45,0,0,7,5
2013-08-03 17:42:46,0,0,7,5
2013-08-03 17:42:47,0,0,7,5
2013-08-03 17:42:48,0,0,7,5
2013-08-03 17:42:49,0,0,7,5
2013-08-03 17:42:50,0,0,0,5
2013-08-03 17:42:51,0,0,0,5
2013-08-03 17:42:52,0,0,0,5
2013-08-03 17:42:53,0,0,0,5
2013-08-03 17:42:54,0,0,0,5
2013-08-03 17:42:55,0,0,0,5
2013-08-03 17:42:56,0,0,0,0
2013-08-03 17:42:57,0,0,0,0
2013-08-03 17:42:58,0,0,0,0
2013-08-03 17:42:59,0,0,0,0
2013-08-03 17:43:00,0,0,0,0
2013-08-03 17:43:01,0,0,0,0
2013-08-03 17:43:02,0,0,0,0
2013-08-03 17:43:03,0,0,0,0
2013-08-03 17:43:04,0,0,0,0
2013-08-03 17:43:05,0,0,0,0
2013-08-03 17:43:06,0,0,0,0
2013-08-03 17:43:07,0,0,0,0
2013-08-03 17:43:08,0,0,0,0
2013-08-03 17:43:09,0,0,0,0
2013-08-03 17:43:10,0,0,0,0
2013-08-03 17:43:11,0,0,0,0
2013-08-03 17:43:12,0,0,0,0
2013-08-03 17:43:13,0,0,0,0
2013-08-03 17:43:14,0,0,0,0
2013-08-03 17:43:15,0,0,0,0
2013-08-03 17:43:16,0,0,0,0
2013-08-03 17:43:17,0,0,0,0
2013-08-03 17:43:18,0,2,0,0
2013-08-03 17:43:19,0,2,0,0
2013-08-03 17:43:20,0,2,0,0
2013-08-03 17:43:21,0,2,0,0
2013-08-03 17:43:22,0,2,0,0
2013-08-03 17:43:23,0,2,0,0
2013-08-03 17:43:24,0,2,0,0
2013-08-03 17:43:25,0,2,0,0
2013-08-03 17:43:26,0,0,0,0
2013-08-03 17:43:27,0,0,0,0
2013-08-03 17:43:28,0,0,0,0
2013-08-03 17:43:29,0,0,0,0
2013-08-03 17:43:30,0,0,0,0
2013-08-03 17:43:31,0,0,0,0
2013-08-03 17:43:32,0,0,0,0
2013-08-03 17:43:33,0,0,0,0
2013-08-03 17:43:34,0,0,0,0
2013-08-03 17:43:35,0,0,0,0
