time,yvonne,christina,jonathan,charles
2014-04-28 18:08:05,0,2,2,3
2014-04-28 18:08:06,0,2,2,3
2014-04-28 18:08:07,0,2,2,3
2014-04-28 18:08:08,0,2,2,3
2014-04-28 18:08:09,0,2,2,3
2014-04-28 18:08:10,0,2,0,2
2014-04-28 18:08:11,0,2,0,0
2014-04-28 18:08:12,0,2,0,0
2014-04-28 18:08:13,0,2,0,0
2014-04-28 18:08:14,0,2,0,0
2014-04-28 18:08:15,0,2,0,0
2014-04-28 18:08:16,0,2,0,2
2014-04-28 18:08:17,0,0,0,2
2014-04-28 18:08:18,0,0,0,2
2014-04-28 18:08:19,0,0,0,2
2014-04-28 18:08:20,0,0,0,2
2014-04-28 18:08:21,0,0,0,2
2014-04-28 18:08:22,0,0,0,2
2014-04-28 18:08:23,0,0,0,2
2014-04-28 18:08:24,0,0,0,2
2014-04-28 18:08:25,0,0,0,2
2014-04-28 18:08:26,0,0,0,2
2014-04-28 18:08:27,0,0,0,2
2014-04-28 18:08:28,0,0,0,3
2014-04-28 18:08:29,0,0,0,3
2014-04-28 18:08:30,0,0,0,4
2014-04-28 18:08:31,0,6,0,4
2014-04-28 18:08:32,0,6,0,4
2014-04-28 18:08:33,0,6,0,3
2014-04-28 18:08:34,0,6,0,3
2014-04-28 18:08:35,0,2,0,2
2014-04-28 18:08:36,0,2,0,2
2014-04-28 18:08:37,0,2,0,2
2014-04-28 18:08:38,0,2,0,0
2014-04-28 18:08:39,0,2,0,0
2014-04-28 18:08:40,0,2,0,0
2014-04-28 18:08:41,0,2,0,0
2014-04-28 18:08:42,0,2,0,0
2014-04-28 18:08:43,0,2,0,0
2014-04-28 18:08:44,0,2,0,0
2014-04-28 18:08:45,0,2,0,0
2014-04-28 18:08:46,0,2,0,0
2014-04-28 18:08:47,0,2,0,0
2014-04-28 18:08:48,0,2,0,0
2014-04-28 18:08:49,0,2,0,0
2014-04-28 18:08:50,0,2,0,0
2014-04-28 18:08:51,0,2,0,0
2014-04-28 18:08:52,0,6,0,0
2014-04-28 18:08:53,0,6,0,0
2014-04-28 18:08:54,0,6,0,0
2014-04-28 18:08:55,0,6,0,0
2014-04-28 18:08:56,0,0,0,0
2014-04-28 18:08:57,0,0,0,0
2014-04-28 18:08:58,0,0,0,0
2014-04-28 18:08:59,0,0,0,0
2014-04-28 18:09:00,0,0,0,0
2014-04-28 18:09:01,0,0,0,0
2014-04-28 18:09:02,0,0,0,0
2014-04-28 18:09:03,0,0,0,0
