time,christina,jonathan,charles
2014-03-08 11:52:26,2,2,4
2014-03-08 11:52:27,2,2,2
2014-03-08 11:52:28,2,2,2
2014-03-08 11:52:29,2,2,2
2014-03-08 11:52:30,2,2,2
2014-03-08 11:52:31,2,2,2
2014-03-08 11:52:32,2,2,2
2014-03-08 11:52:33,2,2,2
2014-03-08 11:52:34,2,2,2
2014-03-08 11:52:35,2,2,2
2014-03-08 11:52:36,2,2,2
2014-03-08 11:52:37,2,2,2
2014-03-08 11:52:38,2,2,2
2014-03-08 11:52:39,2,2,2
2014-03-08 11:52:40,2,2,2
2014-03-08 11:52:41,2,2,2
2014-03-08 11:52:42,2,2,2
2014-03-08 11:52:43,2,2,2
2014-03-08 11:52:44,2,2,2
2014-03-08 11:52:45,2,2,2
2014-03-08 11:52:46,2,2,2
2014-03-08 11:52:47,8,2,2
2014-03-08 11:52:48,3,2,2
2014-03-08 11:52:49,3,2,2
2014-03-08 11:52:50,2,2,2
2014-03-08 11:52:51,2,2,2
2014-03-08 11:52:52,2,2,2
2014-03-08 11:52:53,2,2,2
2014-03-08 11:52:54,2,2,2
2014-03-08 11:52:55,2,2,2
2014-03-08 11:52:56,2,2,2
2014-03-08 11:52:57,2,2,2
2014-03-08 11:52:58,2,2,2
2014-03-08 11:52:59,2,2,2
2014-03-08 11:53:00,2,2,2
2014-03-08 11:53:01,2,2,2
2014-03-08 11:53:02,2,8,2
2014-03-08 11:53:03,8,8,8
2014-03-08 11:53:04,8,8,8
2014-03-08 11:53:05,8,8,8
2014-03-08 11:53:06,7,8,4
2014-03-08 11:53:07,7,7,7
2014-03-08 11:53:08,7,7,7
2014-03-08 11:53:09,7,7,7
2014-03-08 11:53:10,7,7,7
2014-03-08 11:53:11,7,7,7
2014-03-08 11:53:12,7,7,7
2014-03-08 11:53:13,7,7,7
2014-03-08 11:53:14,7,7,7
2014-03-08 11:53:15,7,7,7
2014-03-08 11:53:16,4,7,6
2014-03-08 11:53:17,4,7,6
2014-03-08 11:53:18,4,7,6
2014-03-08 11:53:19,4,7,7
2014-03-08 11:53:20,4,7,6
2014-03-08 11:53:21,7,7,6
2014-03-08 11:53:22,7,7,6
2014-03-08 11:53:23,7,7,6
2014-03-08 11:53:24,7,7,7
2014-03-08 11:53:25,7,7,7
