time,christina,yvonne,jonathan,charles
2014-04-28 19:24:49,0,0,0,0
2014-04-28 19:24:50,0,0,0,0
2014-04-28 19:24:51,0,0,0,0
2014-04-28 19:24:52,0,0,0,0
2014-04-28 19:24:53,0,0,0,0
2014-04-28 19:24:54,0,0,0,0
2014-04-28 19:24:55,0,0,0,0
2014-04-28 19:24:56,0,0,0,0
2014-04-28 19:24:57,0,0,0,2
2014-04-28 19:24:58,0,0,0,2
2014-04-28 19:24:59,0,0,0,2
2014-04-28 19:25:00,0,0,0,2
2014-04-28 19:25:01,0,0,0,2
2014-04-28 19:25:02,0,0,0,2
2014-04-28 19:25:03,0,0,0,2
2014-04-28 19:25:04,0,0,0,2
2014-04-28 19:25:05,0,0,0,3
2014-04-28 19:25:06,0,0,0,4
2014-04-28 19:25:07,0,0,0,3
2014-04-28 19:25:08,0,0,0,4
2014-04-28 19:25:09,0,0,0,4
2014-04-28 19:25:10,0,0,0,4
2014-04-28 19:25:11,0,0,0,4
2014-04-28 19:25:12,0,0,0,3
2014-04-28 19:25:13,0,0,0,2
2014-04-28 19:25:14,0,0,0,2
2014-04-28 19:25:15,0,0,0,2
2014-04-28 19:25:16,0,0,0,2
2014-04-28 19:25:17,0,0,0,2
2014-04-28 19:25:18,0,0,0,2
2014-04-28 19:25:19,0,0,0,2
2014-04-28 19:25:20,0,0,0,3
2014-04-28 19:25:21,0,0,0,3
2014-04-28 19:25:22,0,0,0,3
2014-04-28 19:25:23,0,0,0,3
2014-04-28 19:25:24,0,0,0,1
2014-04-28 19:25:25,0,0,0,2
2014-04-28 19:25:26,0,0,0,2
2014-04-28 19:25:27,0,0,0,0
2014-04-28 19:25:28,0,0,0,0
2014-04-28 19:25:29,0,0,0,0
2014-04-28 19:25:30,0,0,0,0
2014-04-28 19:25:31,0,0,0,0
2014-04-28 19:25:32,0,0,0,0
2014-04-28 19:25:33,0,0,0,0
2014-04-28 19:25:34,0,0,0,0
2014-04-28 19:25:35,0,0,0,0
2014-04-28 19:25:36,0,0,0,0
2014-04-28 19:25:37,0,0,0,0
2014-04-28 19:25:38,0,0,0,0
2014-04-28 19:25:39,0,0,0,0
2014-04-28 19:25:40,0,0,0,0
2014-04-28 19:25:41,0,0,0,0
2014-04-28 19:25:42,0,0,0,0
2014-04-28 19:25:43,0,0,0,0
2014-04-28 19:25:44,0,0,0,0
2014-04-28 19:25:45,0,0,0,0
2014-04-28 19:25:46,0,0,0,0
2014-04-28 19:25:47,0,0,0,0
2014-04-28 19:25:48,0,0,0,0
2014-04-28 19:25:49,0,0,0,0
2014-04-28 19:25:50,0,0,0,0
2014-04-28 19:25:51,0,0,0,0
2014-04-28 19:25:52,0,0,0,0
2014-04-28 19:25:53,0,0,0,0
2014-04-28 19:25:54,0,0,0,0
2014-04-28 19:25:55,0,0,0,0
