time,jonathan,yvonne,charles,christina
2014-04-29 15:23:57,0,2,2,0
2014-04-29 15:23:58,0,2,0,0
2014-04-29 15:23:59,0,2,0,0
2014-04-29 15:24:00,0,2,0,0
2014-04-29 15:24:01,0,2,2,0
2014-04-29 15:24:02,0,2,2,0
2014-04-29 15:24:03,0,2,2,0
2014-04-29 15:24:04,0,2,2,0
2014-04-29 15:24:05,0,2,2,0
2014-04-29 15:24:06,0,2,2,0
2014-04-29 15:24:07,0,2,2,0
2014-04-29 15:24:08,0,2,2,0
2014-04-29 15:24:09,0,2,2,0
2014-04-29 15:24:10,0,2,2,0
2014-04-29 15:24:11,0,2,0,0
2014-04-29 15:24:12,0,2,0,0
2014-04-29 15:24:13,0,2,2,0
2014-04-29 15:24:14,0,2,2,0
2014-04-29 15:24:15,0,2,2,0
2014-04-29 15:24:16,0,2,2,0
2014-04-29 15:24:17,0,2,2,0
2014-04-29 15:24:18,0,2,2,0
2014-04-29 15:24:19,0,2,2,0
2014-04-29 15:24:20,0,2,2,0
2014-04-29 15:24:21,0,2,6,0
2014-04-29 15:24:22,0,2,2,0
2014-04-29 15:24:23,0,2,2,0
2014-04-29 15:24:24,0,2,2,0
2014-04-29 15:24:25,0,2,2,0
2014-04-29 15:24:26,0,2,2,0
2014-04-29 15:24:27,0,2,2,0
2014-04-29 15:24:28,0,2,2,0
2014-04-29 15:24:29,0,2,2,0
2014-04-29 15:24:30,0,2,2,0
2014-04-29 15:24:31,0,2,2,0
2014-04-29 15:24:32,0,2,2,0
2014-04-29 15:24:33,0,2,2,0
2014-04-29 15:24:34,0,2,2,0
2014-04-29 15:24:35,0,2,2,0
2014-04-29 15:24:36,0,2,2,0
2014-04-29 15:24:37,0,2,2,0
2014-04-29 15:24:38,0,2,2,0
2014-04-29 15:24:39,0,2,2,0
2014-04-29 15:24:40,0,2,2,0
2014-04-29 15:24:41,0,2,2,0
2014-04-29 15:24:42,0,2,2,0
2014-04-29 15:24:43,0,0,3,0
2014-04-29 15:24:44,0,0,3,0
2014-04-29 15:24:45,0,2,4,0
2014-04-29 15:24:46,0,2,3,0
2014-04-29 15:24:47,0,2,3,0
2014-04-29 15:24:48,0,2,3,0
2014-04-29 15:24:49,0,2,4,0
2014-04-29 15:24:50,0,2,3,0
2014-04-29 15:24:51,0,2,3,0
2014-04-29 15:24:52,0,2,4,0
2014-04-29 15:24:53,0,2,4,0
2014-04-29 15:24:54,0,2,4,0
2014-04-29 15:24:55,0,2,4,0
2014-04-29 15:24:56,0,2,4,0
2014-04-29 15:24:57,0,2,2,0
2014-04-29 15:24:58,0,2,2,0
2014-04-29 15:24:59,0,2,0,0
2014-04-29 15:25:00,0,2,0,0
2014-04-29 15:25:01,0,2,0,0
2014-04-29 15:25:02,0,2,0,0
2014-04-29 15:25:03,0,2,0,0
2014-04-29 15:25:04,0,2,0,0
2014-04-29 15:25:05,0,2,0,0
2014-04-29 15:25:06,0,2,0,0
2014-04-29 15:25:07,0,2,2,0
2014-04-29 15:25:08,0,2,3,0
2014-04-29 15:25:09,0,2,4,0
2014-04-29 15:25:10,0,2,4,0
2014-04-29 15:25:11,0,2,4,0
2014-04-29 15:25:12,0,2,4,0
2014-04-29 15:25:13,0,2,4,0
2014-04-29 15:25:14,0,2,2,0
2014-04-29 15:25:15,0,2,3,0
2014-04-29 15:25:16,0,2,4,0
2014-04-29 15:25:17,0,2,4,0
2014-04-29 15:25:18,0,2,4,0
2014-04-29 15:25:19,0,2,4,0
2014-04-29 15:25:20,0,2,4,0
2014-04-29 15:25:21,0,2,2,0
2014-04-29 15:25:22,0,2,2,0
2014-04-29 15:25:23,0,2,2,0
2014-04-29 15:25:24,0,2,2,0
2014-04-29 15:25:25,0,2,2,0
2014-04-29 15:25:26,0,2,0,0
2014-04-29 15:25:27,0,2,0,0
2014-04-29 15:25:28,0,2,4,0
2014-04-29 15:25:29,0,2,4,0
2014-04-29 15:25:30,0,2,3,0
2014-04-29 15:25:31,0,2,3,0
2014-04-29 15:25:32,0,2,3,0
2014-04-29 15:25:33,0,2,3,0
2014-04-29 15:25:34,0,0,1,0
2014-04-29 15:25:35,0,0,3,0
2014-04-29 15:25:36,0,0,3,0
2014-04-29 15:25:37,0,0,3,0
2014-04-29 15:25:38,0,0,3,0
2014-04-29 15:25:39,0,0,2,0
2014-04-29 15:25:40,0,0,2,0
2014-04-29 15:25:41,0,0,2,0
2014-04-29 15:25:42,0,0,0,0
2014-04-29 15:25:43,0,0,0,0
2014-04-29 15:25:44,0,0,0,0
2014-04-29 15:25:45,0,0,0,0
2014-04-29 15:25:46,0,0,0,0
2014-04-29 15:25:47,0,0,0,0
2014-04-29 15:25:48,0,0,0,0
2014-04-29 15:25:49,0,0,0,0
2014-04-29 15:25:50,0,0,0,0
2014-04-29 15:25:51,0,0,0,0
2014-04-29 15:25:52,0,0,0,0
2014-04-29 15:25:53,0,0,0,0
2014-04-29 15:25:54,0,0,0,0
2014-04-29 15:25:55,0,0,0,0
2014-04-29 15:25:56,0,0,0,0
2014-04-29 15:25:57,0,0,0,0
2014-04-29 15:25:58,0,0,0,0
2014-04-29 15:25:59,0,0,0,0
2014-04-29 15:26:00,0,0,0,0
2014-04-29 15:26:01,0,0,0,0
2014-04-29 15:26:02,0,0,0,0
2014-04-29 15:26:03,0,0,0,0
2014-04-29 15:26:04,0,0,0,0
2014-04-29 15:26:05,0,0,0,0
2014-04-29 15:26:06,0,0,0,0
2014-04-29 15:26:07,0,0,0,0
2014-04-29 15:26:08,0,0,0,0
2014-04-29 15:26:09,2,0,0,0
2014-04-29 15:26:10,2,0,0,0
2014-04-29 15:26:11,2,0,0,0
2014-04-29 15:26:12,2,0,0,0
2014-04-29 15:26:13,2,0,0,0
2014-04-29 15:26:14,2,0,0,0
2014-04-29 15:26:15,2,0,0,0
2014-04-29 15:26:16,2,0,0,0
2014-04-29 15:26:17,2,0,0,0
2014-04-29 15:26:18,2,0,0,0
2014-04-29 15:26:19,0,0,0,0
2014-04-29 15:26:20,0,0,0,0
2014-04-29 15:26:21,0,0,0,0
2014-04-29 15:26:22,6,0,0,0
2014-04-29 15:26:23,6,0,0,0
2014-04-29 15:26:24,6,0,0,0
2014-04-29 15:26:25,6,0,0,0
2014-04-29 15:26:26,6,0,0,0
2014-04-29 15:26:27,2,0,0,0
2014-04-29 15:26:28,2,0,0,0
2014-04-29 15:26:29,2,0,0,0
2014-04-29 15:26:30,2,0,0,0
2014-04-29 15:26:31,2,0,0,0
2014-04-29 15:26:32,2,0,0,0
2014-04-29 15:26:33,0,0,0,0
2014-04-29 15:26:34,0,0,0,0
2014-04-29 15:26:35,0,0,0,0
2014-04-29 15:26:36,0,0,0,0
2014-04-29 15:26:37,0,0,0,0
2014-04-29 15:26:38,2,0,0,0
2014-04-29 15:26:39,4,0,0,0
2014-04-29 15:26:40,3,0,0,0
2014-04-29 15:26:41,3,0,0,0
2014-04-29 15:26:42,3,0,0,0
2014-04-29 15:26:43,3,0,0,0
2014-04-29 15:26:44,2,0,0,0
2014-04-29 15:26:45,2,0,0,0
2014-04-29 15:26:46,4,0,0,0
2014-04-29 15:26:47,3,0,0,0
2014-04-29 15:26:48,3,0,0,0
2014-04-29 15:26:49,3,0,0,0
2014-04-29 15:26:50,3,0,0,0
2014-04-29 15:26:51,3,0,0,0
2014-04-29 15:26:52,4,0,0,0
2014-04-29 15:26:53,3,0,0,0
2014-04-29 15:26:54,1,0,0,0
2014-04-29 15:26:55,2,0,0,0
2014-04-29 15:26:56,3,0,0,0
2014-04-29 15:26:57,1,0,0,0
2014-04-29 15:26:58,2,0,0,0
2014-04-29 15:26:59,8,0,0,0
2014-04-29 15:27:00,8,0,0,0
2014-04-29 15:27:01,2,0,0,0
2014-04-29 15:27:02,2,0,0,0
2014-04-29 15:27:03,2,0,0,0
2014-04-29 15:27:04,2,0,0,0
2014-04-29 15:27:05,3,0,0,0
2014-04-29 15:27:06,3,0,0,0
2014-04-29 15:27:07,3,0,0,0
2014-04-29 15:27:08,2,0,0,0
2014-04-29 15:27:09,2,0,0,0
2014-04-29 15:27:10,2,0,0,0
2014-04-29 15:27:11,0,0,0,0
2014-04-29 15:27:12,0,0,0,0
2014-04-29 15:27:13,0,0,0,0
2014-04-29 15:27:14,0,0,0,0
2014-04-29 15:27:15,0,0,0,0
2014-04-29 15:27:16,0,0,0,0
2014-04-29 15:27:17,0,0,0,0
2014-04-29 15:27:18,0,0,0,0
2014-04-29 15:27:19,0,0,0,0
2014-04-29 15:27:20,0,0,0,0
2014-04-29 15:27:21,0,0,0,0
2014-04-29 15:27:22,0,0,0,0
2014-04-29 15:27:23,0,0,0,0
2014-04-29 15:27:24,0,0,0,0
2014-04-29 15:27:25,0,0,0,0
2014-04-29 15:27:26,0,0,0,0
2014-04-29 15:27:27,0,0,0,0
2014-04-29 15:27:28,0,0,0,0
2014-04-29 15:27:29,0,0,0,0
2014-04-29 15:27:30,0,0,0,0
2014-04-29 15:27:31,0,0,0,0
2014-04-29 15:27:32,0,0,0,0
2014-04-29 15:27:33,0,0,0,0
2014-04-29 15:27:34,0,0,0,0
2014-04-29 15:27:35,0,0,0,0
2014-04-29 15:27:36,0,0,0,0
2014-04-29 15:27:37,0,0,0,0
2014-04-29 15:27:38,0,0,0,0
2014-04-29 15:27:39,0,0,0,0
2014-04-29 15:27:40,0,0,0,0
2014-04-29 15:27:41,0,0,0,0
2014-04-29 15:27:42,0,0,0,0
2014-04-29 15:27:43,0,0,0,0
2014-04-29 15:27:44,0,0,0,0
2014-04-29 15:27:45,0,0,0,0
2014-04-29 15:27:46,0,0,0,0
2014-04-29 15:27:47,0,0,0,0
2014-04-29 15:27:48,0,0,0,0
2014-04-29 15:27:49,0,0,0,0
2014-04-29 15:27:50,0,0,0,0
2014-04-29 15:27:51,0,0,0,0
2014-04-29 15:27:52,0,0,0,0
2014-04-29 15:27:53,0,0,0,0
2014-04-29 15:27:54,0,0,0,0
2014-04-29 15:27:55,0,0,0,0
2014-04-29 15:27:56,0,0,0,0
2014-04-29 15:27:57,0,0,0,0
2014-04-29 15:27:58,0,0,0,0
2014-04-29 15:27:59,0,0,0,0
2014-04-29 15:28:00,0,0,0,0
2014-04-29 15:28:01,0,0,0,0
2014-04-29 15:28:02,0,0,0,0
2014-04-29 15:28:03,0,0,0,0
2014-04-29 15:28:04,0,0,0,0
2014-04-29 15:28:05,0,0,0,0
2014-04-29 15:28:06,0,0,0,0
2014-04-29 15:28:07,0,0,0,0
2014-04-29 15:28:08,0,0,0,0
2014-04-29 15:28:09,0,0,0,0
2014-04-29 15:28:10,0,0,0,0
2014-04-29 15:28:11,0,0,0,0
2014-04-29 15:28:12,0,0,0,0
2014-04-29 15:28:13,0,0,0,0
2014-04-29 15:28:14,0,0,0,0
2014-04-29 15:28:15,2,0,0,0
2014-04-29 15:28:16,2,0,0,0
2014-04-29 15:28:17,2,0,0,0
2014-04-29 15:28:18,2,0,0,0
2014-04-29 15:28:19,2,0,0,0
2014-04-29 15:28:20,2,0,0,0
2014-04-29 15:28:21,2,0,0,0
2014-04-29 15:28:22,2,0,0,0
2014-04-29 15:28:23,2,0,0,0
2014-04-29 15:28:24,2,0,0,0
2014-04-29 15:28:25,2,0,0,0
2014-04-29 15:28:26,2,0,0,0
2014-04-29 15:28:27,2,0,0,0
2014-04-29 15:28:28,2,0,0,0
2014-04-29 15:28:29,2,0,0,0
2014-04-29 15:28:30,2,0,0,0
2014-04-29 15:28:31,2,0,0,0
2014-04-29 15:28:32,2,0,0,0
2014-04-29 15:28:33,2,0,0,0
2014-04-29 15:28:34,2,0,0,0
2014-04-29 15:28:35,2,0,0,0
2014-04-29 15:28:36,2,0,0,0
2014-04-29 15:28:37,2,0,0,0
2014-04-29 15:28:38,2,0,0,0
2014-04-29 15:28:39,2,0,0,0
2014-04-29 15:28:40,2,0,0,0
2014-04-29 15:28:41,2,0,0,0
2014-04-29 15:28:42,2,0,0,0
2014-04-29 15:28:43,3,0,0,0
2014-04-29 15:28:44,3,0,0,0
2014-04-29 15:28:45,3,0,0,0
2014-04-29 15:28:46,3,0,0,0
2014-04-29 15:28:47,4,0,0,0
2014-04-29 15:28:48,3,0,0,0
2014-04-29 15:28:49,3,0,0,0
2014-04-29 15:28:50,3,0,0,0
