time,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-05-01 18:41:58,7,2,4,4
2015-05-01 18:41:59,7,2,6,4
2015-05-01 18:42:00,7,2,8,4
2015-05-01 18:42:01,7,2,8,4
2015-05-01 18:42:02,5,4,6,4
2015-05-01 18:42:03,5,4,6,4
2015-05-01 18:42:04,6,4,6,4
2015-05-01 18:42:05,6,4,6,4
2015-05-01 18:42:06,8,4,6,4
2015-05-01 18:42:07,6,4,7,4
2015-05-01 18:42:08,2,4,6,4
2015-05-01 18:42:09,2,4,6,7
2015-05-01 18:42:10,2,3,6,4
2015-05-01 18:42:11,0,0,6,4
2015-05-01 18:42:12,0,0,6,4
2015-05-01 18:42:13,0,0,6,4
2015-05-01 18:42:14,0,0,4,4
2015-05-01 18:42:15,0,0,4,4
2015-05-01 18:42:16,0,0,4,4
2015-05-01 18:42:17,0,0,5,4
2015-05-01 18:42:18,0,1,2,6
2015-05-01 18:42:19,0,1,2,6
2015-05-01 18:42:20,0,1,2,7
2015-05-01 18:42:21,0,1,0,0
2015-05-01 18:42:22,0,1,0,0
2015-05-01 18:42:23,0,0,0,0
2015-05-01 18:42:24,0,0,0,0
2015-05-01 18:42:25,0,0,0,0
2015-05-01 18:42:26,0,0,0,0
2015-05-01 18:42:27,0,0,0,0
