time,9A5116EA-2793-4C75-AC93-524C9EF550FD,24C41EC3-7ECC-40DA-B942-7ABE23017E74,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-05-08 15:46:58,5,3,8,2
2015-05-08 15:46:59,5,3,8,2
2015-05-08 15:47:00,7,3,8,2
2015-05-08 15:47:01,7,3,8,2
2015-05-08 15:47:02,7,2,8,3
2015-05-08 15:47:03,6,2,8,3
2015-05-08 15:47:04,8,8,7,4
2015-05-08 15:47:05,4,6,7,4
2015-05-08 15:47:06,4,8,7,6
2015-05-08 15:47:07,4,8,7,6
2015-05-08 15:47:08,4,8,4,7
2015-05-08 15:47:09,4,4,4,7
2015-05-08 15:47:10,3,4,4,8
2015-05-08 15:47:11,2,4,4,8
2015-05-08 15:47:12,2,4,4,8
2015-05-08 15:47:13,2,4,7,8
2015-05-08 15:47:14,2,4,7,8
2015-05-08 15:47:15,2,3,7,8
2015-05-08 15:47:16,2,3,7,8
2015-05-08 15:47:17,2,3,7,6
2015-05-08 15:47:18,1,3,4,4
2015-05-08 15:47:19,1,3,4,4
2015-05-08 15:47:20,1,4,3,0
2015-05-08 15:47:21,1,3,3,0
2015-05-08 15:47:22,1,3,3,2
2015-05-08 15:47:23,1,4,8,2
2015-05-08 15:47:24,1,4,8,2
2015-05-08 15:47:25,1,4,7,2
2015-05-08 15:47:26,1,4,7,2
2015-05-08 15:47:27,1,3,7,2
2015-05-08 15:47:28,1,3,8,2
2015-05-08 15:47:29,1,4,7,2
2015-05-08 15:47:30,1,4,7,2
2015-05-08 15:47:31,1,4,7,2
2015-05-08 15:47:32,1,4,7,2
2015-05-08 15:47:33,1,3,7,2
2015-05-08 15:47:34,1,3,7,2
2015-05-08 15:47:35,1,3,3,2
2015-05-08 15:47:36,1,4,8,2
2015-05-08 15:47:37,1,4,3,2
2015-05-08 15:47:38,1,3,7,2
2015-05-08 15:47:39,1,3,4,2
2015-05-08 15:47:40,1,3,6,2
2015-05-08 15:47:41,1,3,6,2
2015-05-08 15:47:42,1,3,8,2
2015-05-08 15:47:43,1,3,8,2
2015-05-08 15:47:44,1,3,8,1
2015-05-08 15:47:45,1,4,8,2
2015-05-08 15:47:46,1,4,8,2
2015-05-08 15:47:47,1,4,8,2
2015-05-08 15:47:48,1,0,8,2
2015-05-08 15:47:49,1,1,8,2
2015-05-08 15:47:50,1,2,8,2
2015-05-08 15:47:51,1,2,1,2
2015-05-08 15:47:52,1,2,3,2
2015-05-08 15:47:53,1,2,3,2
2015-05-08 15:47:54,1,1,1,2
2015-05-08 15:47:55,1,1,1,2
2015-05-08 15:47:56,1,1,3,2
2015-05-08 15:47:57,1,8,3,2
2015-05-08 15:47:58,1,8,3,2
2015-05-08 15:47:59,1,8,3,2
