time,yvonne,jonathan,charles,christina
2014-03-17 18:40:40,0,0,0,0
2014-03-17 18:40:41,0,0,0,0
2014-03-17 18:40:42,0,0,0,0
2014-03-17 18:40:43,0,0,0,0
2014-03-17 18:40:44,0,0,0,0
2014-03-17 18:40:45,0,0,0,0
2014-03-17 18:40:46,0,0,0,0
2014-03-17 18:40:47,0,0,2,0
2014-03-17 18:40:48,0,0,2,0
2014-03-17 18:40:49,0,0,2,0
2014-03-17 18:40:50,0,0,2,0
2014-03-17 18:40:51,0,0,2,0
2014-03-17 18:40:52,0,0,2,0
2014-03-17 18:40:53,0,0,2,0
2014-03-17 18:40:54,0,0,2,0
2014-03-17 18:40:55,0,0,0,0
2014-03-17 18:40:56,0,0,0,0
2014-03-17 18:40:57,0,0,0,0
2014-03-17 18:40:58,0,0,0,0
2014-03-17 18:40:59,0,0,0,0
2014-03-17 18:41:00,0,0,0,0
2014-03-17 18:41:01,0,0,0,0
2014-03-17 18:41:02,0,0,0,0
2014-03-17 18:41:03,0,0,0,0
2014-03-17 18:41:04,0,0,0,0
2014-03-17 18:41:05,0,0,0,0
2014-03-17 18:41:06,0,0,0,0
2014-03-17 18:41:07,0,0,0,0
2014-03-17 18:41:08,0,0,0,0
2014-03-17 18:41:09,0,0,0,0
2014-03-17 18:41:10,0,0,0,0
2014-03-17 18:41:11,0,0,0,0
2014-03-17 18:41:12,0,0,0,0
2014-03-17 18:41:13,0,0,0,0
2014-03-17 18:41:14,0,0,0,0
2014-03-17 18:41:15,0,0,0,0
2014-03-17 18:41:16,0,0,0,2
2014-03-17 18:41:17,0,0,0,2
2014-03-17 18:41:18,0,0,0,2
2014-03-17 18:41:19,0,0,0,2
2014-03-17 18:41:20,0,0,0,3
2014-03-17 18:41:21,0,0,0,3
2014-03-17 18:41:22,0,0,0,2
2014-03-17 18:41:23,0,0,0,2
2014-03-17 18:41:24,0,2,0,2
2014-03-17 18:41:25,0,2,0,2
2014-03-17 18:41:26,0,2,0,0
2014-03-17 18:41:27,0,2,0,0
2014-03-17 18:41:28,0,4,0,0
2014-03-17 18:41:29,0,4,0,0
2014-03-17 18:41:30,0,4,0,0
2014-03-17 18:41:31,0,4,0,0
2014-03-17 18:41:32,0,4,0,0
2014-03-17 18:41:33,0,4,0,0
2014-03-17 18:41:34,0,4,0,0
2014-03-17 18:41:35,0,7,0,0
2014-03-17 18:41:36,0,7,0,0
2014-03-17 18:41:37,0,7,2,0
2014-03-17 18:41:38,0,7,2,0
2014-03-17 18:41:39,0,7,2,0
2014-03-17 18:41:40,0,4,6,2
2014-03-17 18:41:41,0,4,6,2
2014-03-17 18:41:42,0,4,7,4
2014-03-17 18:41:43,0,0,7,4
2014-03-17 18:41:44,0,0,7,4
2014-03-17 18:41:45,0,0,7,4
2014-03-17 18:41:46,0,0,7,4
2014-03-17 18:41:47,0,0,7,6
2014-03-17 18:41:48,0,0,7,7
2014-03-17 18:41:49,0,0,7,7
2014-03-17 18:41:50,0,2,7,7
2014-03-17 18:41:51,0,2,7,7
2014-03-17 18:41:52,0,3,7,7
2014-03-17 18:41:53,0,3,7,7
2014-03-17 18:41:54,0,3,7,6
2014-03-17 18:41:55,0,3,7,7
2014-03-17 18:41:56,0,1,7,6
2014-03-17 18:41:57,0,3,7,7
2014-03-17 18:41:58,0,3,7,7
2014-03-17 18:41:59,0,3,7,7
2014-03-17 18:42:00,0,3,7,7
2014-03-17 18:42:01,0,3,7,7
2014-03-17 18:42:02,0,3,7,6
2014-03-17 18:42:03,0,3,7,6
2014-03-17 18:42:04,0,3,7,6
2014-03-17 18:42:05,0,3,7,7
2014-03-17 18:42:06,0,3,7,4
2014-03-17 18:42:07,0,3,7,4
2014-03-17 18:42:08,0,3,8,3
2014-03-17 18:42:09,0,1,3,3
2014-03-17 18:42:10,0,1,3,3
2014-03-17 18:42:11,0,1,1,1
