time,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-04-29 18:42:29,1,3,3,4
2015-04-29 18:42:30,1,3,1,4
2015-04-29 18:42:31,1,3,1,4
2015-04-29 18:42:32,1,3,1,4
2015-04-29 18:42:33,1,3,1,4
2015-04-29 18:42:34,1,3,1,4
2015-04-29 18:42:35,1,3,1,4
2015-04-29 18:42:36,1,3,3,4
2015-04-29 18:42:37,1,4,3,8
2015-04-29 18:42:38,1,4,1,8
2015-04-29 18:42:39,0,8,1,8
2015-04-29 18:42:40,8,8,1,3
2015-04-29 18:42:41,3,8,1,2
2015-04-29 18:42:42,8,8,1,2
2015-04-29 18:42:43,8,8,1,2
2015-04-29 18:42:44,8,2,3,2
2015-04-29 18:42:45,8,2,1,3
2015-04-29 18:42:46,4,2,1,1
2015-04-29 18:42:47,4,2,3,1
2015-04-29 18:42:48,4,2,3,1
2015-04-29 18:42:49,4,2,3,3
2015-04-29 18:42:50,4,2,3,8
2015-04-29 18:42:51,8,2,3,8
2015-04-29 18:42:52,8,2,3,8
2015-04-29 18:42:53,5,2,2,8
2015-04-29 18:42:54,5,2,2,8
2015-04-29 18:42:55,5,2,3,6
2015-04-29 18:42:56,5,2,1,4
2015-04-29 18:42:57,5,2,1,4
2015-04-29 18:42:58,5,2,1,7
2015-04-29 18:42:59,5,2,1,7
2015-04-29 18:43:00,5,2,1,7
2015-04-29 18:43:01,5,2,1,4
2015-04-29 18:43:02,5,2,1,0
2015-04-29 18:43:03,7,2,1,0
2015-04-29 18:43:04,6,2,2,2
2015-04-29 18:43:05,6,2,2,7
2015-04-29 18:43:06,6,2,4,4
2015-04-29 18:43:07,6,2,4,4
2015-04-29 18:43:08,0,2,7,4
2015-04-29 18:43:09,0,2,7,4
2015-04-29 18:43:10,0,2,7,4
2015-04-29 18:43:11,0,2,4,4
2015-04-29 18:43:12,0,2,4,4
2015-04-29 18:43:13,0,3,4,4
2015-04-29 18:43:14,0,3,2,4
2015-04-29 18:43:15,0,3,2,4
2015-04-29 18:43:16,0,3,2,4
2015-04-29 18:43:17,0,3,2,4
2015-04-29 18:43:18,0,3,3,4
2015-04-29 18:43:19,0,3,3,4
2015-04-29 18:43:20,0,3,3,7
2015-04-29 18:43:21,0,3,3,7
2015-04-29 18:43:22,0,3,2,7
2015-04-29 18:43:23,0,3,2,4
2015-04-29 18:43:24,0,2,2,4
2015-04-29 18:43:25,0,2,2,2
2015-04-29 18:43:26,2,3,2,2
2015-04-29 18:43:27,2,3,2,2
2015-04-29 18:43:28,2,3,2,2
2015-04-29 18:43:29,2,3,2,2
2015-04-29 18:43:30,2,3,2,3
2015-04-29 18:43:31,2,3,4,3
2015-04-29 18:43:32,2,3,2,3
2015-04-29 18:43:33,2,3,2,1
2015-04-29 18:43:34,2,3,3,1
2015-04-29 18:43:35,2,3,3,1
2015-04-29 18:43:36,2,3,3,2
2015-04-29 18:43:37,2,3,3,1
2015-04-29 18:43:38,2,3,1,1
2015-04-29 18:43:39,2,3,3,1
2015-04-29 18:43:40,2,3,3,1
2015-04-29 18:43:41,1,3,3,1
2015-04-29 18:43:42,1,3,4,1
2015-04-29 18:43:43,3,3,7,1
2015-04-29 18:43:44,4,3,7,1
2015-04-29 18:43:45,4,1,7,1
2015-04-29 18:43:46,4,1,4,1
2015-04-29 18:43:47,8,1,4,3
2015-04-29 18:43:48,4,1,4,1
2015-04-29 18:43:49,4,1,4,2
2015-04-29 18:43:50,3,1,4,2
2015-04-29 18:43:51,3,1,3,2
2015-04-29 18:43:52,3,3,2,2
2015-04-29 18:43:53,1,3,2,2
2015-04-29 18:43:54,1,3,3,2
2015-04-29 18:43:55,1,3,3,2
2015-04-29 18:43:56,1,3,4,2
2015-04-29 18:43:57,1,3,4,2
2015-04-29 18:43:58,1,3,4,2
2015-04-29 18:43:59,1,5,4,3
2015-04-29 18:44:00,1,5,4,4
2015-04-29 18:44:01,1,7,4,4
2015-04-29 18:44:02,1,7,7,7
2015-04-29 18:44:03,8,7,7,7
2015-04-29 18:44:04,8,7,7,7
2015-04-29 18:44:05,8,7,7,7
2015-04-29 18:44:06,8,7,7,4
2015-04-29 18:44:07,7,3,7,4
2015-04-29 18:44:08,7,3,2,3
2015-04-29 18:44:09,2,3,0,0
2015-04-29 18:44:10,0,3,0,0
2015-04-29 18:44:11,0,3,0,0
2015-04-29 18:44:12,0,3,0,0
2015-04-29 18:44:13,2,2,0,0
2015-04-29 18:44:14,2,2,0,0
2015-04-29 18:44:15,2,0,0,0
2015-04-29 18:44:16,2,0,2,2
2015-04-29 18:44:17,2,0,2,2
2015-04-29 18:44:18,2,2,2,2
2015-04-29 18:44:19,2,2,4,4
2015-04-29 18:44:20,0,2,4,4
2015-04-29 18:44:21,0,3,4,3
