time,yvonne,jonathan,christina,charles
2014-08-24 14:42:49,7,3,2,7
2014-08-24 14:42:50,7,2,4,7
2014-08-24 14:42:51,7,2,4,7
2014-08-24 14:42:52,7,2,7,7
2014-08-24 14:42:53,4,1,7,7
2014-08-24 14:42:54,4,1,6,7
2014-08-24 14:42:55,0,1,6,7
2014-08-24 14:42:56,0,1,7,7
2014-08-24 14:42:57,0,1,6,8
2014-08-24 14:42:58,3,1,7,4
2014-08-24 14:42:59,3,1,4,2
2014-08-24 14:43:00,3,2,4,2
2014-08-24 14:43:01,3,2,4,2
2014-08-24 14:43:02,1,2,2,2
2014-08-24 14:43:03,1,3,2,2
2014-08-24 14:43:04,1,3,2,2
2014-08-24 14:43:05,1,1,2,2
2014-08-24 14:43:06,1,1,2,2
2014-08-24 14:43:07,1,3,2,2
2014-08-24 14:43:08,1,3,2,2
2014-08-24 14:43:09,1,2,2,2
2014-08-24 14:43:10,0,3,2,2
2014-08-24 14:43:11,0,3,2,2
2014-08-24 14:43:12,0,3,2,2
2014-08-24 14:43:13,0,3,2,2
2014-08-24 14:43:14,0,3,2,2
2014-08-24 14:43:15,0,3,0,2
2014-08-24 14:43:16,0,3,0,2
2014-08-24 14:43:17,0,2,0,2
2014-08-24 14:43:18,0,2,0,2
2014-08-24 14:43:19,0,2,0,2
2014-08-24 14:43:20,0,2,0,2
2014-08-24 14:43:21,0,2,2,2
2014-08-24 14:43:22,0,2,2,2
2014-08-24 14:43:23,0,2,2,2
2014-08-24 14:43:24,0,1,2,2
2014-08-24 14:43:25,0,1,2,2
2014-08-24 14:43:26,0,1,2,2
2014-08-24 14:43:27,0,1,2,2
2014-08-24 14:43:28,0,1,0,2
2014-08-24 14:43:29,2,1,0,2
2014-08-24 14:43:30,8,2,0,2
2014-08-24 14:43:31,3,2,0,2
2014-08-24 14:43:32,1,2,0,2
2014-08-24 14:43:33,1,2,2,2
2014-08-24 14:43:34,1,0,2,2
2014-08-24 14:43:35,1,2,2,2
2014-08-24 14:43:36,1,2,2,2
2014-08-24 14:43:37,1,1,3,0
2014-08-24 14:43:38,1,1,3,2
