time,christina,jonathan,yvonne
2014-07-19 17:00:24,6,8,2
2014-07-19 17:00:25,5,8,2
2014-07-19 17:00:26,5,8,2
2014-07-19 17:00:27,5,8,2
2014-07-19 17:00:28,5,8,2
2014-07-19 17:00:29,5,8,2
2014-07-19 17:00:30,5,3,2
2014-07-19 17:00:31,5,3,2
2014-07-19 17:00:32,5,3,2
2014-07-19 17:00:33,2,3,2
2014-07-19 17:00:34,2,3,2
2014-07-19 17:00:35,2,3,2
2014-07-19 17:00:36,2,2,2
2014-07-19 17:00:37,2,2,2
2014-07-19 17:00:38,2,2,2
2014-07-19 17:00:39,2,2,2
2014-07-19 17:00:40,2,2,2
2014-07-19 17:00:41,2,2,2
2014-07-19 17:00:42,2,2,2
2014-07-19 17:00:43,2,2,2
2014-07-19 17:00:44,2,2,2
2014-07-19 17:00:45,2,2,2
2014-07-19 17:00:46,2,2,2
2014-07-19 17:00:47,2,2,2
2014-07-19 17:00:48,2,2,2
2014-07-19 17:00:49,2,2,2
2014-07-19 17:00:50,2,2,2
2014-07-19 17:00:51,2,2,2
2014-07-19 17:00:52,2,2,2
2014-07-19 17:00:53,2,2,2
2014-07-19 17:00:54,2,2,2
2014-07-19 17:00:55,2,2,2
2014-07-19 17:00:56,2,2,2
2014-07-19 17:00:57,2,2,2
2014-07-19 17:00:58,2,2,2
2014-07-19 17:00:59,2,2,2
2014-07-19 17:01:00,2,2,2
2014-07-19 17:01:01,2,2,2
2014-07-19 17:01:02,2,2,2
2014-07-19 17:01:03,2,2,2
2014-07-19 17:01:04,2,2,2
2014-07-19 17:01:05,2,2,2
2014-07-19 17:01:06,0,2,0
2014-07-19 17:01:07,0,2,0
2014-07-19 17:01:08,0,2,0
2014-07-19 17:01:09,0,2,0
2014-07-19 17:01:10,0,2,0
