time,jonathan,christina,yvonne,charles
2014-08-24 14:07:53,2,2,2,2
2014-08-24 14:07:54,2,2,2,2
2014-08-24 14:07:55,2,2,2,2
2014-08-24 14:07:56,2,2,2,2
2014-08-24 14:07:57,2,2,2,2
2014-08-24 14:07:58,2,2,2,2
2014-08-24 14:07:59,2,2,2,2
2014-08-24 14:08:00,2,2,2,2
2014-08-24 14:08:01,2,2,2,2
2014-08-24 14:08:02,2,8,2,2
2014-08-24 14:08:03,2,8,2,2
2014-08-24 14:08:04,2,3,2,2
2014-08-24 14:08:05,2,3,2,2
2014-08-24 14:08:06,2,3,2,2
2014-08-24 14:08:07,2,4,2,2
2014-08-24 14:08:08,2,4,2,2
2014-08-24 14:08:09,2,4,2,2
2014-08-24 14:08:10,2,4,2,2
2014-08-24 14:08:11,2,3,2,3
2014-08-24 14:08:12,2,2,2,4
2014-08-24 14:08:13,2,2,2,4
2014-08-24 14:08:14,2,2,2,4
2014-08-24 14:08:15,2,2,2,4
2014-08-24 14:08:16,2,2,2,4
2014-08-24 14:08:17,2,2,2,3
2014-08-24 14:08:18,2,2,2,3
2014-08-24 14:08:19,2,2,2,3
2014-08-24 14:08:20,2,2,3,3
2014-08-24 14:08:21,2,2,3,3
2014-08-24 14:08:22,2,2,3,3
2014-08-24 14:08:23,2,2,3,8
2014-08-24 14:08:24,2,2,3,8
2014-08-24 14:08:25,2,3,3,8
2014-08-24 14:08:26,2,3,2,8
2014-08-24 14:08:27,2,3,2,8
2014-08-24 14:08:28,2,3,2,8
2014-08-24 14:08:29,2,3,2,8
2014-08-24 14:08:30,2,3,2,8
2014-08-24 14:08:31,2,3,2,8
2014-08-24 14:08:32,2,3,2,4
2014-08-24 14:08:33,2,8,2,4
2014-08-24 14:08:34,2,8,2,4
2014-08-24 14:08:35,2,8,3,3
2014-08-24 14:08:36,2,8,2,8
2014-08-24 14:08:37,2,8,3,8
2014-08-24 14:08:38,2,8,3,8
2014-08-24 14:08:39,2,8,3,8
2014-08-24 14:08:40,2,8,3,8
2014-08-24 14:08:41,2,3,3,8
2014-08-24 14:08:42,2,4,2,8
2014-08-24 14:08:43,2,4,2,8
2014-08-24 14:08:44,2,3,2,8
2014-08-24 14:08:45,2,8,2,8
2014-08-24 14:08:46,2,2,2,2
2014-08-24 14:08:47,8,2,0,2
2014-08-24 14:08:48,3,3,0,2
2014-08-24 14:08:49,4,4,0,2
2014-08-24 14:08:50,4,4,2,2
2014-08-24 14:08:51,4,4,2,3
2014-08-24 14:08:52,4,4,2,3
2014-08-24 14:08:53,4,4,2,8
2014-08-24 14:08:54,4,4,2,8
2014-08-24 14:08:55,4,4,2,8
2014-08-24 14:08:56,4,4,2,8
2014-08-24 14:08:57,4,4,2,8
2014-08-24 14:08:58,8,4,2,3
2014-08-24 14:08:59,3,3,2,3
2014-08-24 14:09:00,3,2,2,2
2014-08-24 14:09:01,2,2,2,2
2014-08-24 14:09:02,2,2,2,2
2014-08-24 14:09:03,8,8,2,2
2014-08-24 14:09:04,8,8,2,2
2014-08-24 14:09:05,8,8,2,3
2014-08-24 14:09:06,8,8,2,8
2014-08-24 14:09:07,8,8,2,8
2014-08-24 14:09:08,8,8,2,8
2014-08-24 14:09:09,8,8,2,8
2014-08-24 14:09:10,8,4,2,8
2014-08-24 14:09:11,8,4,2,8
2014-08-24 14:09:12,8,4,3,8
2014-08-24 14:09:13,8,4,3,8
2014-08-24 14:09:14,8,4,3,8
2014-08-24 14:09:15,8,4,3,8
2014-08-24 14:09:16,8,4,3,3
2014-08-24 14:09:17,8,2,3,2
2014-08-24 14:09:18,2,2,3,2
2014-08-24 14:09:19,2,2,2,2
2014-08-24 14:09:20,2,2,2,2
2014-08-24 14:09:21,3,2,2,2
2014-08-24 14:09:22,3,2,2,2
2014-08-24 14:09:23,2,2,2,2
2014-08-24 14:09:24,2,2,2,2
2014-08-24 14:09:25,2,2,3,2
2014-08-24 14:09:26,2,2,3,2
2014-08-24 14:09:27,2,2,3,2
2014-08-24 14:09:28,2,2,3,2
2014-08-24 14:09:29,2,2,3,2
2014-08-24 14:09:30,2,2,3,2
2014-08-24 14:09:31,2,2,3,2
2014-08-24 14:09:32,2,2,3,2
2014-08-24 14:09:33,2,2,3,2
2014-08-24 14:09:34,2,2,3,2
2014-08-24 14:09:35,2,2,3,2
2014-08-24 14:09:36,2,2,3,2
2014-08-24 14:09:37,2,2,3,2
2014-08-24 14:09:38,2,2,3,2
2014-08-24 14:09:39,2,2,3,2
2014-08-24 14:09:40,2,2,3,2
2014-08-24 14:09:41,2,2,3,2
2014-08-24 14:09:42,8,2,3,2
2014-08-24 14:09:43,3,2,3,2
2014-08-24 14:09:44,8,2,3,2
2014-08-24 14:09:45,2,2,3,2
2014-08-24 14:09:46,8,2,3,2
2014-08-24 14:09:47,8,2,4,2
2014-08-24 14:09:48,2,2,2,2
2014-08-24 14:09:49,3,2,2,2
2014-08-24 14:09:50,4,2,2,2
2014-08-24 14:09:51,2,2,3,2
2014-08-24 14:09:52,4,2,3,2
2014-08-24 14:09:53,2,2,3,2
2014-08-24 14:09:54,2,2,3,2
2014-08-24 14:09:55,2,2,3,2
2014-08-24 14:09:56,8,2,3,2
2014-08-24 14:09:57,2,2,3,2
2014-08-24 14:09:58,3,2,1,2
2014-08-24 14:09:59,3,2,8,2
2014-08-24 14:10:00,3,2,3,2
2014-08-24 14:10:01,3,2,3,2
2014-08-24 14:10:02,3,2,3,3
2014-08-24 14:10:03,3,2,2,2
2014-08-24 14:10:04,3,2,2,2
2014-08-24 14:10:05,3,2,2,2
2014-08-24 14:10:06,3,2,2,2
2014-08-24 14:10:07,3,2,2,2
2014-08-24 14:10:08,3,1,2,2
2014-08-24 14:10:09,3,1,2,2
2014-08-24 14:10:10,3,1,4,2
2014-08-24 14:10:11,8,2,2,2
2014-08-24 14:10:12,3,2,2,2
2014-08-24 14:10:13,4,2,2,2
2014-08-24 14:10:14,2,2,2,2
2014-08-24 14:10:15,2,2,2,2
