time,christina,charles_ipadair,yvonne,jonathan_iPad2,charles,jonathan,6EAD764A-E424-48EB-9672-03EF44679A5E
2014-03-15 12:59:23,2,8,6,4,2,7,2
2014-03-15 12:59:24,2,8,6,4,2,4,2
2014-03-15 12:59:25,2,8,6,4,2,4,2
2014-03-15 12:59:26,2,8,6,4,2,4,2
2014-03-15 12:59:27,2,8,6,4,2,4,2
2014-03-15 12:59:28,2,4,6,4,2,6,2
2014-03-15 12:59:29,2,4,6,4,2,6,2
2014-03-15 12:59:30,2,4,6,4,2,6,2
2014-03-15 12:59:31,2,4,6,4,2,6,8
2014-03-15 12:59:32,2,4,6,4,2,6,8
2014-03-15 12:59:33,2,8,6,4,2,6,8
2014-03-15 12:59:34,2,4,6,4,2,6,8
2014-03-15 12:59:35,2,4,6,4,2,6,8
2014-03-15 12:59:36,2,4,6,4,2,6,8
2014-03-15 12:59:37,2,4,6,4,2,6,8
2014-03-15 12:59:38,2,4,4,4,2,4,8
2014-03-15 12:59:39,2,4,4,4,2,4,8
2014-03-15 12:59:40,2,4,4,4,2,4,8
2014-03-15 12:59:41,2,4,4,4,2,4,8
2014-03-15 12:59:42,2,8,4,4,2,4,8
2014-03-15 12:59:43,2,8,4,4,2,4,8
2014-03-15 12:59:44,2,8,6,4,2,4,8
2014-03-15 12:59:45,2,4,6,4,2,4,8
2014-03-15 12:59:46,2,4,6,3,2,4,8
2014-03-15 12:59:47,2,4,6,4,2,4,8
2014-03-15 12:59:48,2,4,4,4,2,4,8
2014-03-15 12:59:49,2,4,6,4,2,4,8
2014-03-15 12:59:50,2,3,6,4,2,4,8
2014-03-15 12:59:51,2,4,6,4,2,4,8
2014-03-15 12:59:52,2,3,6,4,2,4,8
2014-03-15 12:59:53,2,3,8,3,2,4,8
2014-03-15 12:59:54,2,4,8,4,2,4,8
2014-03-15 12:59:55,2,3,8,4,2,4,8
2014-03-15 12:59:56,2,4,8,4,2,4,8
2014-03-15 12:59:57,2,4,8,4,2,4,8
2014-03-15 12:59:58,2,4,4,4,2,4,8
2014-03-15 12:59:59,2,3,4,4,2,4,8
2014-03-15 13:00:00,2,4,4,4,3,4,8
2014-03-15 13:00:01,2,4,4,4,2,4,8
2014-03-15 13:00:02,2,4,7,4,2,4,8
2014-03-15 13:00:03,2,4,7,4,2,4,8
2014-03-15 13:00:04,2,4,7,4,2,4,8
2014-03-15 13:00:05,2,4,7,4,2,4,8
2014-03-15 13:00:06,2,4,4,4,2,4,8
2014-03-15 13:00:07,2,4,4,3,2,4,8
2014-03-15 13:00:08,2,4,4,3,2,4,8
2014-03-15 13:00:09,2,4,4,3,2,4,8
2014-03-15 13:00:10,2,4,4,3,2,4,8
2014-03-15 13:00:11,2,4,4,3,2,4,8
2014-03-15 13:00:12,2,4,4,4,2,4,8
2014-03-15 13:00:13,2,4,4,4,2,7,8
2014-03-15 13:00:14,2,4,4,4,2,7,8
2014-03-15 13:00:15,2,4,4,4,2,7,8
2014-03-15 13:00:16,2,4,4,4,2,7,8
2014-03-15 13:00:17,2,4,4,4,2,4,8
2014-03-15 13:00:18,2,4,4,4,2,4,8
2014-03-15 13:00:19,2,4,4,4,2,4,8
2014-03-15 13:00:20,2,4,4,4,2,4,8
2014-03-15 13:00:21,2,4,4,4,2,4,8
2014-03-15 13:00:22,2,4,4,4,2,4,8
2014-03-15 13:00:23,2,4,4,3,2,4,8
2014-03-15 13:00:24,2,4,3,3,2,4,8
2014-03-15 13:00:25,2,4,3,3,2,7,8
2014-03-15 13:00:26,2,4,3,3,2,4,8
2014-03-15 13:00:27,2,4,3,3,2,4,8
2014-03-15 13:00:28,2,4,3,3,2,4,8
2014-03-15 13:00:29,2,4,4,3,2,4,8
2014-03-15 13:00:30,2,4,4,3,2,4,8
2014-03-15 13:00:31,2,4,4,3,2,6,8
2014-03-15 13:00:32,2,4,4,3,2,7,8
2014-03-15 13:00:33,2,3,4,3,2,7,8
2014-03-15 13:00:34,2,4,4,3,2,7,8
2014-03-15 13:00:35,2,4,4,3,2,7,8
2014-03-15 13:00:36,2,4,4,3,2,7,8
2014-03-15 13:00:37,2,4,4,3,2,7,8
2014-03-15 13:00:38,2,4,4,3,2,7,8
2014-03-15 13:00:39,2,4,4,3,2,4,8
2014-03-15 13:00:40,2,4,4,3,2,4,8
2014-03-15 13:00:41,2,4,4,3,2,7,8
