time,BD49B35A-8999-4987-9759-8D3F28D1292B,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,275913F5-90E9-4C82-B94C-29A8AA3B4C57,2FA454D2-F35D-45D6-BE5D-D848B409B713,7FC04E34-F3AE-4764-9432-DD032ED6C36B
2015-03-20 14:09:45,1,1,8,8,8
2015-03-20 14:09:46,1,1,8,8,8
2015-03-20 14:09:47,1,1,8,8,8
2015-03-20 14:09:48,1,1,8,8,8
2015-03-20 14:09:49,3,1,8,8,8
2015-03-20 14:09:50,3,1,8,8,8
2015-03-20 14:09:51,3,1,8,8,8
2015-03-20 14:09:52,3,1,8,1,8
2015-03-20 14:09:53,1,1,8,1,8
2015-03-20 14:09:54,3,1,8,3,8
2015-03-20 14:09:55,1,1,8,3,8
2015-03-20 14:09:56,1,1,8,3,8
2015-03-20 14:09:57,1,1,8,3,8
2015-03-20 14:09:58,1,1,8,3,8
2015-03-20 14:09:59,1,1,8,1,8
2015-03-20 14:10:00,1,1,8,1,1
2015-03-20 14:10:01,1,1,8,8,1
2015-03-20 14:10:02,1,1,1,8,1
2015-03-20 14:10:03,1,1,1,8,1
2015-03-20 14:10:04,1,1,1,8,1
2015-03-20 14:10:05,1,1,1,8,1
2015-03-20 14:10:06,1,1,1,8,1
2015-03-20 14:10:07,1,1,1,8,1
2015-03-20 14:10:08,1,1,1,8,1
2015-03-20 14:10:09,1,1,1,8,1
2015-03-20 14:10:10,1,1,1,8,1
2015-03-20 14:10:11,1,1,1,8,1
2015-03-20 14:10:12,1,1,1,8,1
2015-03-20 14:10:13,1,1,1,8,1
2015-03-20 14:10:14,1,1,1,8,1
2015-03-20 14:10:15,1,1,1,8,1
2015-03-20 14:10:16,1,1,1,8,1
2015-03-20 14:10:17,1,1,1,8,1
2015-03-20 14:10:18,1,1,1,8,1
2015-03-20 14:10:19,2,1,1,1,1
2015-03-20 14:10:20,1,1,1,1,1
2015-03-20 14:10:21,1,1,1,1,1
2015-03-20 14:10:22,1,1,1,1,1
2015-03-20 14:10:23,1,1,1,1,1
2015-03-20 14:10:24,1,1,1,1,1
2015-03-20 14:10:25,1,1,1,1,1
2015-03-20 14:10:26,1,1,1,1,1
2015-03-20 14:10:27,1,1,1,1,1
2015-03-20 14:10:28,1,1,1,1,1
2015-03-20 14:10:29,1,1,1,1,1
2015-03-20 14:10:30,1,1,1,1,1
2015-03-20 14:10:31,0,0,0,0,0
2015-03-20 14:10:32,0,0,0,0,0
