time,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-05-07 18:46:01,2,3,3,1
2015-05-07 18:46:02,3,3,3,1
2015-05-07 18:46:03,3,3,3,1
2015-05-07 18:46:04,3,3,3,1
2015-05-07 18:46:05,3,3,3,1
2015-05-07 18:46:06,2,3,3,1
2015-05-07 18:46:07,3,3,3,1
2015-05-07 18:46:08,1,3,3,1
2015-05-07 18:46:09,3,1,3,1
2015-05-07 18:46:10,3,1,3,1
2015-05-07 18:46:11,8,1,3,1
2015-05-07 18:46:12,8,1,1,1
2015-05-07 18:46:13,1,1,1,1
2015-05-07 18:46:14,1,1,1,3
2015-05-07 18:46:15,2,1,1,3
2015-05-07 18:46:16,2,1,1,1
2015-05-07 18:46:17,2,1,1,1
2015-05-07 18:46:18,2,1,1,1
2015-05-07 18:46:19,2,1,1,1
2015-05-07 18:46:20,2,1,1,3
2015-05-07 18:46:21,2,1,1,3
2015-05-07 18:46:22,2,1,1,3
2015-05-07 18:46:23,2,1,1,3
2015-05-07 18:46:24,2,2,3,3
2015-05-07 18:46:25,2,2,1,3
2015-05-07 18:46:26,2,2,3,3
2015-05-07 18:46:27,2,2,1,3
2015-05-07 18:46:28,2,2,3,4
2015-05-07 18:46:29,1,2,1,4
2015-05-07 18:46:30,2,2,1,4
2015-05-07 18:46:31,2,2,1,4
2015-05-07 18:46:32,2,2,3,4
2015-05-07 18:46:33,2,2,2,4
2015-05-07 18:46:34,2,2,2,4
2015-05-07 18:46:35,2,2,2,4
2015-05-07 18:46:36,2,2,0,2
2015-05-07 18:46:37,2,2,0,2
2015-05-07 18:46:38,2,2,0,2
2015-05-07 18:46:39,1,2,0,2
2015-05-07 18:46:40,1,2,3,2
2015-05-07 18:46:41,1,2,3,2
2015-05-07 18:46:42,1,2,3,2
2015-05-07 18:46:43,1,2,3,2
2015-05-07 18:46:44,1,2,4,2
2015-05-07 18:46:45,1,2,4,2
2015-05-07 18:46:46,1,2,4,2
2015-05-07 18:46:47,1,2,4,2
2015-05-07 18:46:48,1,2,4,2
2015-05-07 18:46:49,1,2,4,2
2015-05-07 18:46:50,3,2,8,2
2015-05-07 18:46:51,3,2,7,2
2015-05-07 18:46:52,3,2,7,3
2015-05-07 18:46:53,3,2,7,2
2015-05-07 18:46:54,3,2,7,2
2015-05-07 18:46:55,3,2,8,2
2015-05-07 18:46:56,3,2,7,2
2015-05-07 18:46:57,3,2,8,2
2015-05-07 18:46:58,3,2,7,2
2015-05-07 18:46:59,3,2,8,2
2015-05-07 18:47:00,3,2,5,2
2015-05-07 18:47:01,3,2,8,2
2015-05-07 18:47:02,3,2,8,2
2015-05-07 18:47:03,3,2,8,3
2015-05-07 18:47:04,3,2,8,4
2015-05-07 18:47:05,3,2,4,4
2015-05-07 18:47:06,3,2,4,4
2015-05-07 18:47:07,3,2,4,4
2015-05-07 18:47:08,3,2,4,4
2015-05-07 18:47:09,3,2,3,4
2015-05-07 18:47:10,3,2,3,4
2015-05-07 18:47:11,3,2,3,4
2015-05-07 18:47:12,3,2,3,4
2015-05-07 18:47:13,3,2,3,4
2015-05-07 18:47:14,3,2,3,4
2015-05-07 18:47:15,3,2,3,4
2015-05-07 18:47:16,3,2,3,4
2015-05-07 18:47:17,3,2,3,4
2015-05-07 18:47:18,3,2,3,4
