time,2FA454D2-F35D-45D6-BE5D-D848B409B713,7FC04E34-F3AE-4764-9432-DD032ED6C36B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,BD49B35A-8999-4987-9759-8D3F28D1292B,275913F5-90E9-4C82-B94C-29A8AA3B4C57
2015-03-20 13:47:22,1,1,1,1,1,8
2015-03-20 13:47:23,1,1,1,1,1,8
2015-03-20 13:47:24,1,1,1,1,1,8
2015-03-20 13:47:25,1,1,1,1,1,8
2015-03-20 13:47:26,1,1,1,1,1,8
2015-03-20 13:47:27,1,1,1,1,1,8
2015-03-20 13:47:28,1,1,1,1,1,8
2015-03-20 13:47:29,1,1,1,1,1,8
2015-03-20 13:47:30,2,1,1,1,1,8
2015-03-20 13:47:31,1,1,1,1,1,8
2015-03-20 13:47:32,1,1,1,1,1,8
2015-03-20 13:47:33,1,1,1,1,1,8
2015-03-20 13:47:34,1,1,1,1,1,8
2015-03-20 13:47:35,1,1,1,1,1,8
2015-03-20 13:47:36,1,1,1,1,1,8
2015-03-20 13:47:37,1,1,1,1,1,8
2015-03-20 13:47:38,1,1,1,1,1,8
2015-03-20 13:47:39,1,1,1,1,1,8
2015-03-20 13:47:40,1,1,1,1,1,8
2015-03-20 13:47:41,1,1,1,1,1,8
2015-03-20 13:47:42,1,1,1,1,1,8
2015-03-20 13:47:43,1,1,1,1,1,7
2015-03-20 13:47:44,1,1,1,1,1,4
2015-03-20 13:47:45,1,1,1,1,1,7
2015-03-20 13:47:46,0,0,0,0,2,0
2015-03-20 13:47:47,0,0,0,0,2,0
2015-03-20 13:47:48,0,0,0,0,2,0
2015-03-20 13:47:49,0,0,0,0,2,0
2015-03-20 13:47:50,0,0,0,0,2,0
