time,charles_ipadair
2015-02-07 17:25:44,1
2015-02-07 17:25:45,2
2015-02-07 17:25:46,1
2015-02-07 17:25:47,2
2015-02-07 17:25:48,1
2015-02-07 17:25:49,1
2015-02-07 17:25:50,1
2015-02-07 17:25:51,1
2015-02-07 17:25:52,1
2015-02-07 17:25:53,1
2015-02-07 17:25:54,1
2015-02-07 17:25:55,1
2015-02-07 17:25:56,1
2015-02-07 17:25:57,1
2015-02-07 17:25:58,1
2015-02-07 17:25:59,3
2015-02-07 17:26:00,3
2015-02-07 17:26:01,3
2015-02-07 17:26:02,3
2015-02-07 17:26:03,3
2015-02-07 17:26:04,1
2015-02-07 17:26:05,1
2015-02-07 17:26:06,1
2015-02-07 17:26:07,1
2015-02-07 17:26:08,1
2015-02-07 17:26:09,1
2015-02-07 17:26:10,1
2015-02-07 17:26:11,1
2015-02-07 17:26:12,1
2015-02-07 17:26:13,1
2015-02-07 17:26:14,1
2015-02-07 17:26:15,1
2015-02-07 17:26:16,1
2015-02-07 17:26:17,1
2015-02-07 17:26:18,1
2015-02-07 17:26:19,1
2015-02-07 17:26:20,1
2015-02-07 17:26:21,1
2015-02-07 17:26:22,1
2015-02-07 17:26:23,1
2015-02-07 17:26:24,1
2015-02-07 17:26:25,1
2015-02-07 17:26:26,1
2015-02-07 17:26:27,1
2015-02-07 17:26:28,1
2015-02-07 17:26:29,1
2015-02-07 17:26:30,1
2015-02-07 17:26:31,1
2015-02-07 17:26:32,1
2015-02-07 17:26:33,1
2015-02-07 17:26:34,1
2015-02-07 17:26:35,1
2015-02-07 17:26:36,1
2015-02-07 17:26:37,1
2015-02-07 17:26:38,1
2015-02-07 17:26:39,3
2015-02-07 17:26:40,2
2015-02-07 17:26:41,2
2015-02-07 17:26:42,0
2015-02-07 17:26:43,0
2015-02-07 17:26:44,0
2015-02-07 17:26:45,0
2015-02-07 17:26:46,0
2015-02-07 17:26:47,0
2015-02-07 17:26:48,0
2015-02-07 17:26:49,0
2015-02-07 17:26:50,0
2015-02-07 17:26:51,0
2015-02-07 17:26:52,0
2015-02-07 17:26:53,0
2015-02-07 17:26:54,0
2015-02-07 17:26:55,0
2015-02-07 17:26:56,0
2015-02-07 17:26:57,0
2015-02-07 17:26:58,5
2015-02-07 17:26:59,4
2015-02-07 17:27:00,4
2015-02-07 17:27:01,3
2015-02-07 17:27:02,8
2015-02-07 17:27:03,8
2015-02-07 17:27:04,3
2015-02-07 17:27:05,3
2015-02-07 17:27:06,3
2015-02-07 17:27:07,3
2015-02-07 17:27:08,8
2015-02-07 17:27:09,5
2015-02-07 17:27:10,8
2015-02-07 17:27:11,5
2015-02-07 17:27:12,5
2015-02-07 17:27:13,5
2015-02-07 17:27:14,5
2015-02-07 17:27:15,8
2015-02-07 17:27:16,8
2015-02-07 17:27:17,3
2015-02-07 17:27:18,3
2015-02-07 17:27:19,3
2015-02-07 17:27:20,3
2015-02-07 17:27:21,3
2015-02-07 17:27:22,6
2015-02-07 17:27:23,7
2015-02-07 17:27:24,7
2015-02-07 17:27:25,7
2015-02-07 17:27:26,7
2015-02-07 17:27:27,3
2015-02-07 17:27:28,3
2015-02-07 17:27:29,3
2015-02-07 17:27:30,3
2015-02-07 17:27:31,3
2015-02-07 17:27:32,4
2015-02-07 17:27:33,8
2015-02-07 17:27:34,7
2015-02-07 17:27:35,7
2015-02-07 17:27:36,4
2015-02-07 17:27:37,3
2015-02-07 17:27:38,3
2015-02-07 17:27:39,3
2015-02-07 17:27:40,8
2015-02-07 17:27:41,8
2015-02-07 17:27:42,3
2015-02-07 17:27:43,3
2015-02-07 17:27:44,4
2015-02-07 17:27:45,7
2015-02-07 17:27:46,8
2015-02-07 17:27:47,8
2015-02-07 17:27:48,8
2015-02-07 17:27:49,8
2015-02-07 17:27:50,8
2015-02-07 17:27:51,8
2015-02-07 17:27:52,8
2015-02-07 17:27:53,8
2015-02-07 17:27:54,8
2015-02-07 17:27:55,8
2015-02-07 17:27:56,8
2015-02-07 17:27:57,8
2015-02-07 17:27:58,8
2015-02-07 17:27:59,8
2015-02-07 17:28:00,8
2015-02-07 17:28:01,2
2015-02-07 17:28:02,0
2015-02-07 17:28:03,0
2015-02-07 17:28:04,0
2015-02-07 17:28:05,0
2015-02-07 17:28:06,0
2015-02-07 17:28:07,0
2015-02-07 17:28:08,0
2015-02-07 17:28:09,0
2015-02-07 17:28:10,0
2015-02-07 17:28:11,0
2015-02-07 17:28:12,0
2015-02-07 17:28:13,0
2015-02-07 17:28:14,0
2015-02-07 17:28:15,0
2015-02-07 17:28:16,0
2015-02-07 17:28:17,0
