time,christina,jonathan,yvonne,charles
2014-08-24 15:55:43,0,0,0,2
2014-08-24 15:55:44,0,0,0,2
2014-08-24 15:55:45,0,0,0,2
2014-08-24 15:55:46,0,0,0,2
2014-08-24 15:55:47,0,0,0,8
2014-08-24 15:55:48,0,0,0,3
2014-08-24 15:55:49,0,0,0,3
2014-08-24 15:55:50,0,0,0,3
2014-08-24 15:55:51,0,0,0,3
2014-08-24 15:55:52,0,0,0,3
2014-08-24 15:55:53,0,0,0,3
2014-08-24 15:55:54,0,0,0,3
2014-08-24 15:55:55,0,0,0,1
2014-08-24 15:55:56,0,0,0,1
2014-08-24 15:55:57,0,0,0,3
2014-08-24 15:55:58,0,0,0,2
2014-08-24 15:55:59,0,0,0,3
2014-08-24 15:56:00,0,0,0,3
2014-08-24 15:56:01,0,0,0,0
2014-08-24 15:56:02,0,0,0,0
2014-08-24 15:56:03,0,0,0,0
