time,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,BD49B35A-8999-4987-9759-8D3F28D1292B,7FC04E34-F3AE-4764-9432-DD032ED6C36B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,275913F5-90E9-4C82-B94C-29A8AA3B4C57,2FA454D2-F35D-45D6-BE5D-D848B409B713
2015-03-21 23:55:02,8,8,4,8,3,4
2015-03-21 23:55:03,8,8,4,8,3,4
2015-03-21 23:55:04,8,3,8,8,3,4
2015-03-21 23:55:05,8,3,8,8,3,4
2015-03-21 23:55:06,7,3,8,8,3,4
2015-03-21 23:55:07,7,3,4,4,4,4
2015-03-21 23:55:08,7,3,4,4,3,4
2015-03-21 23:55:09,7,3,4,8,3,4
2015-03-21 23:55:10,7,3,8,4,3,4
2015-03-21 23:55:11,7,3,8,4,3,4
2015-03-21 23:55:12,7,3,3,4,3,4
2015-03-21 23:55:13,7,3,3,8,3,6
2015-03-21 23:55:14,7,3,3,8,3,7
2015-03-21 23:55:15,8,3,3,8,3,7
2015-03-21 23:55:16,8,3,3,8,3,7
2015-03-21 23:55:17,8,3,3,8,3,7
2015-03-21 23:55:18,8,3,3,8,3,7
2015-03-21 23:55:19,8,3,3,8,3,7
2015-03-21 23:55:20,8,3,3,8,3,6
2015-03-21 23:55:21,7,3,3,8,3,7
2015-03-21 23:55:22,8,3,3,3,3,4
2015-03-21 23:55:23,7,3,3,3,3,4
2015-03-21 23:55:24,8,8,3,3,4,8
2015-03-21 23:55:25,8,8,3,8,8,8
2015-03-21 23:55:26,8,8,3,3,4,4
2015-03-21 23:55:27,8,1,4,2,8,4
2015-03-21 23:55:28,8,2,4,3,3,4
2015-03-21 23:55:29,8,2,3,3,3,4
2015-03-21 23:55:30,8,2,3,3,3,4
2015-03-21 23:55:31,8,2,3,1,3,4
2015-03-21 23:55:32,8,2,3,3,3,4
2015-03-21 23:55:33,8,8,8,4,4,8
2015-03-21 23:55:34,7,8,8,4,8,8
2015-03-21 23:55:35,7,8,7,4,8,7
2015-03-21 23:55:36,7,7,7,7,7,7
2015-03-21 23:55:37,7,7,7,7,7,8
2015-03-21 23:55:38,7,7,7,6,7,8
2015-03-21 23:55:39,7,7,7,7,7,8
2015-03-21 23:55:40,7,7,7,6,7,8
2015-03-21 23:55:41,7,7,7,6,7,8
2015-03-21 23:55:42,7,7,7,6,7,7
2015-03-21 23:55:43,7,7,7,6,7,7
2015-03-21 23:55:44,7,7,7,6,7,7
2015-03-21 23:55:45,7,7,7,6,7,7
2015-03-21 23:55:46,7,7,7,6,7,7
2015-03-21 23:55:47,5,7,7,6,7,8
2015-03-21 23:55:48,5,7,7,6,7,8
2015-03-21 23:55:49,7,7,7,6,7,8
2015-03-21 23:55:50,7,7,8,6,7,8
2015-03-21 23:55:51,7,7,7,6,7,8
2015-03-21 23:55:52,7,7,7,6,7,7
2015-03-21 23:55:53,7,7,8,6,7,7
2015-03-21 23:55:54,7,7,7,6,7,7
2015-03-21 23:55:55,7,7,6,7,7,7
2015-03-21 23:55:56,7,7,6,7,7,7
2015-03-21 23:55:57,7,7,6,7,7,8
2015-03-21 23:55:58,7,7,6,7,7,8
2015-03-21 23:55:59,7,6,6,7,7,8
2015-03-21 23:56:00,7,6,7,7,7,8
2015-03-21 23:56:01,7,8,7,7,7,8
2015-03-21 23:56:02,7,8,7,7,7,7
2015-03-21 23:56:03,7,8,8,7,8,7
2015-03-21 23:56:04,7,6,8,7,7,7
2015-03-21 23:56:05,7,7,7,7,7,7
2015-03-21 23:56:06,8,7,8,6,7,7
2015-03-21 23:56:07,3,7,8,6,7,6
2015-03-21 23:56:08,3,7,3,6,7,8
2015-03-21 23:56:09,3,7,3,6,8,8
2015-03-21 23:56:10,1,7,3,6,8,8
2015-03-21 23:56:11,1,8,1,6,8,7
2015-03-21 23:56:12,8,8,1,6,8,3
2015-03-21 23:56:13,8,8,8,6,8,1
2015-03-21 23:56:14,8,8,8,3,8,1
2015-03-21 23:56:15,8,8,8,3,8,1
2015-03-21 23:56:16,8,8,8,3,8,1
2015-03-21 23:56:17,8,8,8,1,8,1
2015-03-21 23:56:18,8,8,8,1,8,1
2015-03-21 23:56:19,8,8,8,1,8,1
2015-03-21 23:56:20,8,8,8,1,8,1
2015-03-21 23:56:21,8,8,8,1,8,1
2015-03-21 23:56:22,8,8,8,1,8,1
2015-03-21 23:56:23,8,8,8,1,8,1
2015-03-21 23:56:24,8,8,8,1,8,1
2015-03-21 23:56:25,8,8,8,1,8,1
2015-03-21 23:56:26,8,8,8,1,8,1
2015-03-21 23:56:27,8,8,8,1,8,1
2015-03-21 23:56:28,8,8,8,1,8,1
2015-03-21 23:56:29,8,8,8,1,8,1
2015-03-21 23:56:30,8,8,8,1,8,1
2015-03-21 23:56:31,1,8,8,1,8,1
2015-03-21 23:56:32,1,8,8,1,8,1
2015-03-21 23:56:33,1,8,8,1,8,1
2015-03-21 23:56:34,1,8,1,1,8,1
2015-03-21 23:56:35,1,8,1,1,8,1
2015-03-21 23:56:36,8,8,1,1,8,1
2015-03-21 23:56:37,1,8,1,1,8,1
2015-03-21 23:56:38,1,8,1,1,8,1
2015-03-21 23:56:39,1,8,1,1,8,1
2015-03-21 23:56:40,1,8,1,1,8,1
2015-03-21 23:56:41,1,8,1,1,8,1
2015-03-21 23:56:42,1,8,1,1,8,1
2015-03-21 23:56:43,1,8,1,1,8,1
2015-03-21 23:56:44,1,8,1,1,8,1
2015-03-21 23:56:45,1,8,1,1,8,1
