time,yvonne,charles,christina
2013-04-21 11:53:40,5,0,6
2013-04-21 11:53:41,5,2,0
2013-04-21 11:53:42,5,2,0
2013-04-21 11:53:43,5,2,0
2013-04-21 11:53:44,5,2,0
2013-04-21 11:53:45,5,2,0
2013-04-21 11:53:46,5,0,0
2013-04-21 11:53:47,5,2,0
2013-04-21 11:53:48,5,2,0
2013-04-21 11:53:49,5,2,0
2013-04-21 11:53:50,5,2,0
2013-04-21 11:53:51,5,2,0
2013-04-21 11:53:52,5,2,0
2013-04-21 11:53:53,5,0,0
2013-04-21 11:53:54,5,0,0
2013-04-21 11:53:55,5,0,0
2013-04-21 11:53:56,5,0,0
2013-04-21 11:53:57,5,0,0
2013-04-21 11:53:58,5,0,0
2013-04-21 11:53:59,5,0,0
2013-04-21 11:54:00,5,0,0
2013-04-21 11:54:01,5,0,0
2013-04-21 11:54:02,7,0,0
2013-04-21 11:54:03,7,0,0
2013-04-21 11:54:04,7,0,0
2013-04-21 11:54:05,7,0,0
2013-04-21 11:54:06,5,0,0
2013-04-21 11:54:07,7,2,0
2013-04-21 11:54:08,7,2,0
2013-04-21 11:54:09,7,2,0
2013-04-21 11:54:10,7,2,0
2013-04-21 11:54:11,5,6,0
2013-04-21 11:54:12,5,5,0
2013-04-21 11:54:13,5,5,0
2013-04-21 11:54:14,5,5,0
2013-04-21 11:54:15,5,5,0
2013-04-21 11:54:16,7,5,6
2013-04-21 11:54:17,7,5,6
2013-04-21 11:54:18,7,5,7
2013-04-21 11:54:19,7,7,7
2013-04-21 11:54:20,7,7,6
2013-04-21 11:54:21,7,7,7
2013-04-21 11:54:22,7,7,7
2013-04-21 11:54:23,7,7,7
2013-04-21 11:54:24,7,7,7
2013-04-21 11:54:25,7,7,7
2013-04-21 11:54:26,7,7,7
2013-04-21 11:54:27,7,7,4
2013-04-21 11:54:28,7,7,4
2013-04-21 11:54:29,7,7,4
2013-04-21 11:54:30,7,7,2
2013-04-21 11:54:31,7,7,2
2013-04-21 11:54:32,7,7,2
2013-04-21 11:54:33,7,7,2
2013-04-21 11:54:34,5,7,2
2013-04-21 11:54:35,5,7,2
2013-04-21 11:54:36,5,7,2
2013-04-21 11:54:37,5,7,2
2013-04-21 11:54:38,5,7,2
2013-04-21 11:54:39,0,7,2
2013-04-21 11:54:40,0,7,2
2013-04-21 11:54:41,0,7,2
2013-04-21 11:54:42,6,7,0
2013-04-21 11:54:43,5,7,0
2013-04-21 11:54:44,5,7,0
2013-04-21 11:54:45,5,7,0
2013-04-21 11:54:46,5,7,2
2013-04-21 11:54:47,7,7,5
2013-04-21 11:54:48,6,7,6
2013-04-21 11:54:49,7,8,7
2013-04-21 11:54:50,7,8,6
2013-04-21 11:54:51,7,7,6
2013-04-21 11:54:52,7,7,7
2013-04-21 11:54:53,6,7,6
2013-04-21 11:54:54,7,7,7
2013-04-21 11:54:55,7,7,6
2013-04-21 11:54:56,7,7,6
2013-04-21 11:54:57,7,7,6
2013-04-21 11:54:58,7,7,4
2013-04-21 11:54:59,7,7,3
2013-04-21 11:55:00,7,7,3
2013-04-21 11:55:01,7,7,3
2013-04-21 11:55:02,7,7,2
2013-04-21 11:55:03,7,7,2
2013-04-21 11:55:04,7,7,0
2013-04-21 11:55:05,7,8,0
2013-04-21 11:55:06,7,8,0
2013-04-21 11:55:07,7,8,2
2013-04-21 11:55:08,7,7,2
2013-04-21 11:55:09,7,7,2
2013-04-21 11:55:10,7,7,1
2013-04-21 11:55:11,7,7,1
2013-04-21 11:55:12,3,7,1
2013-04-21 11:55:13,3,7,1
2013-04-21 11:55:14,3,7,1
2013-04-21 11:55:15,1,7,1
2013-04-21 11:55:16,1,7,1
2013-04-21 11:55:17,1,7,1
2013-04-21 11:55:18,3,7,1
2013-04-21 11:55:19,1,7,1
2013-04-21 11:55:20,1,3,1
2013-04-21 11:55:21,1,3,1
2013-04-21 11:55:22,1,1,1
2013-04-21 11:55:23,1,1,1
2013-04-21 11:55:24,1,1,1
2013-04-21 11:55:25,1,1,1
2013-04-21 11:55:26,1,1,1
2013-04-21 11:55:27,1,1,1
2013-04-21 11:55:28,1,2,1
2013-04-21 11:55:29,1,1,1
2013-04-21 11:55:30,1,1,1
2013-04-21 11:55:31,1,1,1
2013-04-21 11:55:32,1,1,1
2013-04-21 11:55:33,1,1,1
2013-04-21 11:55:34,1,1,1
2013-04-21 11:55:35,1,1,2
2013-04-21 11:55:36,3,1,0
2013-04-21 11:55:37,3,1,0
2013-04-21 11:55:38,3,1,0
2013-04-21 11:55:39,4,1,0
2013-04-21 11:55:40,7,1,0
2013-04-21 11:55:41,7,1,0
2013-04-21 11:55:42,7,1,0
2013-04-21 11:55:43,7,1,0
2013-04-21 11:55:44,7,1,0
2013-04-21 11:55:45,7,1,0
2013-04-21 11:55:46,7,2,0
2013-04-21 11:55:47,7,0,0
2013-04-21 11:55:48,7,0,0
2013-04-21 11:55:49,7,0,0
2013-04-21 11:55:50,7,0,0
2013-04-21 11:55:51,7,6,0
2013-04-21 11:55:52,7,6,0
2013-04-21 11:55:53,7,7,0
2013-04-21 11:55:54,7,7,0
2013-04-21 11:55:55,7,7,0
2013-04-21 11:55:56,7,7,0
2013-04-21 11:55:57,7,4,0
2013-04-21 11:55:58,7,2,0
2013-04-21 11:55:59,7,0,0
2013-04-21 11:56:00,7,0,0
2013-04-21 11:56:01,7,0,0
2013-04-21 11:56:02,7,0,0
2013-04-21 11:56:03,7,0,0
2013-04-21 11:56:04,7,4,0
2013-04-21 11:56:05,6,4,0
2013-04-21 11:56:06,6,4,0
2013-04-21 11:56:07,6,7,0
2013-04-21 11:56:08,7,7,0
2013-04-21 11:56:09,6,7,0
2013-04-21 11:56:10,6,7,0
2013-04-21 11:56:11,6,7,0
2013-04-21 11:56:12,6,7,0
2013-04-21 11:56:13,6,7,0
2013-04-21 11:56:14,7,7,0
2013-04-21 11:56:15,7,7,0
2013-04-21 11:56:16,7,7,0
2013-04-21 11:56:17,7,7,0
2013-04-21 11:56:18,7,7,0
2013-04-21 11:56:19,7,7,0
2013-04-21 11:56:20,7,7,0
2013-04-21 11:56:21,7,7,0
2013-04-21 11:56:22,7,7,0
2013-04-21 11:56:23,6,7,0
2013-04-21 11:56:24,6,7,0
2013-04-21 11:56:25,6,7,0
2013-04-21 11:56:26,6,7,0
2013-04-21 11:56:27,6,7,0
2013-04-21 11:56:28,7,7,0
2013-04-21 11:56:29,7,7,0
2013-04-21 11:56:30,7,7,0
2013-04-21 11:56:31,7,7,0
2013-04-21 11:56:32,7,7,0
