time,9A5116EA-2793-4C75-AC93-524C9EF550FD,24C41EC3-7ECC-40DA-B942-7ABE23017E74,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-05-08 16:14:50,2,4,7,4
2015-05-08 16:14:51,2,4,7,4
2015-05-08 16:14:52,2,4,7,4
2015-05-08 16:14:53,2,6,6,7
2015-05-08 16:14:54,2,6,6,7
2015-05-08 16:14:55,2,6,6,8
2015-05-08 16:14:56,2,6,6,8
2015-05-08 16:14:57,2,7,6,3
2015-05-08 16:14:58,2,7,6,3
2015-05-08 16:14:59,2,7,7,3
2015-05-08 16:15:00,2,7,7,3
2015-05-08 16:15:01,2,7,7,7
2015-05-08 16:15:02,2,7,7,7
2015-05-08 16:15:03,2,7,7,7
2015-05-08 16:15:04,2,7,7,7
2015-05-08 16:15:05,2,7,7,7
2015-05-08 16:15:06,2,7,7,7
2015-05-08 16:15:07,2,7,7,7
2015-05-08 16:15:08,2,7,7,7
2015-05-08 16:15:09,2,8,7,7
2015-05-08 16:15:10,2,0,7,8
2015-05-08 16:15:11,2,0,7,3
2015-05-08 16:15:12,2,2,7,3
2015-05-08 16:15:13,2,4,7,2
2015-05-08 16:15:14,2,4,7,2
2015-05-08 16:15:15,2,4,7,2
2015-05-08 16:15:16,2,4,7,2
2015-05-08 16:15:17,2,4,7,2
2015-05-08 16:15:18,2,2,7,8
2015-05-08 16:15:19,2,2,7,5
2015-05-08 16:15:20,2,2,7,8
2015-05-08 16:15:21,2,2,7,8
2015-05-08 16:15:22,2,7,6,7
2015-05-08 16:15:23,2,7,6,8
2015-05-08 16:15:24,2,7,6,3
2015-05-08 16:15:25,1,4,6,3
2015-05-08 16:15:26,1,4,6,3
2015-05-08 16:15:27,1,4,6,4
2015-05-08 16:15:28,1,4,6,4
2015-05-08 16:15:29,1,4,6,4
2015-05-08 16:15:30,1,4,6,4
2015-05-08 16:15:31,1,4,6,4
2015-05-08 16:15:32,1,4,6,4
2015-05-08 16:15:33,1,4,6,4
2015-05-08 16:15:34,1,4,6,4
2015-05-08 16:15:35,1,4,6,4
2015-05-08 16:15:36,1,4,7,4
2015-05-08 16:15:37,1,8,7,4
2015-05-08 16:15:38,1,3,7,4
2015-05-08 16:15:39,1,3,6,4
2015-05-08 16:15:40,1,3,6,3
2015-05-08 16:15:41,1,8,6,2
2015-05-08 16:15:42,1,4,6,2
2015-05-08 16:15:43,1,7,6,2
2015-05-08 16:15:44,1,7,6,1
2015-05-08 16:15:45,1,4,6,1
2015-05-08 16:15:46,1,4,6,1
2015-05-08 16:15:47,1,4,6,1
2015-05-08 16:15:48,1,4,6,3
2015-05-08 16:15:49,1,4,6,3
2015-05-08 16:15:50,1,4,6,1
2015-05-08 16:15:51,2,4,7,1
2015-05-08 16:15:52,8,4,7,1
2015-05-08 16:15:53,8,4,7,1
2015-05-08 16:15:54,7,2,7,1
2015-05-08 16:15:55,7,4,7,1
2015-05-08 16:15:56,7,4,7,1
2015-05-08 16:15:57,7,4,6,1
2015-05-08 16:15:58,7,4,6,1
2015-05-08 16:15:59,7,4,6,3
2015-05-08 16:16:00,4,4,6,3
2015-05-08 16:16:01,4,4,6,1
2015-05-08 16:16:02,3,4,6,3
2015-05-08 16:16:03,4,4,6,3
2015-05-08 16:16:04,3,4,6,1
2015-05-08 16:16:05,3,4,6,3
2015-05-08 16:16:06,4,4,6,3
2015-05-08 16:16:07,2,4,7,3
2015-05-08 16:16:08,2,4,4,1
2015-05-08 16:16:09,2,7,4,1
2015-05-08 16:16:10,2,7,4,1
2015-05-08 16:16:11,2,7,0,1
2015-05-08 16:16:12,2,7,0,1
2015-05-08 16:16:13,2,7,0,8
2015-05-08 16:16:14,8,7,0,8
2015-05-08 16:16:15,7,7,0,8
2015-05-08 16:16:16,7,7,0,8
2015-05-08 16:16:17,7,7,0,8
2015-05-08 16:16:18,7,6,0,8
2015-05-08 16:16:19,7,8,0,8
2015-05-08 16:16:20,7,0,0,1
2015-05-08 16:16:21,7,0,0,1
2015-05-08 16:16:22,7,8,0,1
2015-05-08 16:16:23,7,8,0,1
2015-05-08 16:16:24,7,8,0,3
2015-05-08 16:16:25,7,8,0,8
2015-05-08 16:16:26,7,8,0,8
2015-05-08 16:16:27,8,0,0,8
2015-05-08 16:16:28,7,3,0,8
2015-05-08 16:16:29,8,3,0,8
2015-05-08 16:16:30,8,3,0,8
2015-05-08 16:16:31,8,3,0,8
2015-05-08 16:16:32,8,3,0,8
2015-05-08 16:16:33,8,2,0,8
2015-05-08 16:16:34,8,0,0,8
2015-05-08 16:16:35,8,0,0,8
2015-05-08 16:16:36,8,0,0,8
2015-05-08 16:16:37,8,0,0,8
2015-05-08 16:16:38,8,3,0,8
2015-05-08 16:16:39,8,3,0,8
2015-05-08 16:16:40,8,3,0,8
2015-05-08 16:16:41,8,3,0,8
2015-05-08 16:16:42,8,3,0,8
2015-05-08 16:16:43,7,3,0,8
2015-05-08 16:16:44,7,0,0,8
2015-05-08 16:16:45,7,0,0,8
2015-05-08 16:16:46,8,0,0,8
2015-05-08 16:16:47,8,0,0,8
2015-05-08 16:16:48,7,0,0,8
2015-05-08 16:16:49,7,3,0,8
2015-05-08 16:16:50,7,3,0,8
2015-05-08 16:16:51,7,3,0,0
2015-05-08 16:16:52,7,3,0,0
2015-05-08 16:16:53,8,3,0,0
2015-05-08 16:16:54,3,4,0,0
2015-05-08 16:16:55,5,5,0,0
2015-05-08 16:16:56,5,0,0,0
2015-05-08 16:16:57,5,0,0,0
2015-05-08 16:16:58,5,0,0,0
2015-05-08 16:16:59,5,0,0,0
2015-05-08 16:17:00,5,0,0,0
2015-05-08 16:17:01,0,0,0,0
2015-05-08 16:17:02,0,0,0,0
2015-05-08 16:17:03,0,0,0,0
