time,yvonne,christina,charles,jonathan
2014-08-24 15:09:40,4,4,4,4
2014-08-24 15:09:41,4,4,4,4
2014-08-24 15:09:42,4,4,4,4
2014-08-24 15:09:43,4,4,4,4
2014-08-24 15:09:44,4,4,4,4
2014-08-24 15:09:45,4,4,4,4
2014-08-24 15:09:46,4,4,4,4
2014-08-24 15:09:47,4,4,4,4
2014-08-24 15:09:48,4,4,4,4
2014-08-24 15:09:49,4,4,4,4
2014-08-24 15:09:50,4,4,4,4
2014-08-24 15:09:51,4,4,4,4
2014-08-24 15:09:52,4,4,4,4
2014-08-24 15:09:53,4,4,4,4
2014-08-24 15:09:54,4,4,4,4
2014-08-24 15:09:55,4,4,4,4
2014-08-24 15:09:56,4,4,4,4
2014-08-24 15:09:57,4,4,4,4
2014-08-24 15:09:58,4,4,4,4
2014-08-24 15:09:59,4,4,4,4
2014-08-24 15:10:00,4,4,4,4
2014-08-24 15:10:01,4,4,4,4
2014-08-24 15:10:02,4,4,4,4
2014-08-24 15:10:03,4,4,4,4
2014-08-24 15:10:04,4,4,4,4
2014-08-24 15:10:05,4,4,4,4
2014-08-24 15:10:06,4,4,4,4
2014-08-24 15:10:07,4,4,4,4
2014-08-24 15:10:08,4,8,4,4
2014-08-24 15:10:09,4,4,4,4
2014-08-24 15:10:10,4,4,4,4
2014-08-24 15:10:11,4,4,4,4
2014-08-24 15:10:12,4,3,4,4
2014-08-24 15:10:13,4,4,4,4
2014-08-24 15:10:14,4,4,4,4
2014-08-24 15:10:15,4,4,4,4
2014-08-24 15:10:16,4,4,4,4
2014-08-24 15:10:17,4,4,7,4
2014-08-24 15:10:18,4,4,4,4
2014-08-24 15:10:19,4,4,7,4
2014-08-24 15:10:20,3,3,4,4
2014-08-24 15:10:21,4,3,7,4
2014-08-24 15:10:22,4,3,7,4
2014-08-24 15:10:23,4,3,7,4
2014-08-24 15:10:24,4,3,7,4
2014-08-24 15:10:25,4,3,7,4
2014-08-24 15:10:26,4,3,7,4
2014-08-24 15:10:27,4,3,7,4
2014-08-24 15:10:28,4,4,7,4
2014-08-24 15:10:29,4,4,4,4
2014-08-24 15:10:30,4,4,7,4
2014-08-24 15:10:31,4,4,4,4
2014-08-24 15:10:32,3,4,7,4
2014-08-24 15:10:33,4,4,7,4
2014-08-24 15:10:34,4,3,7,4
2014-08-24 15:10:35,4,3,4,4
2014-08-24 15:10:36,4,8,4,4
2014-08-24 15:10:37,4,4,4,4
2014-08-24 15:10:38,4,4,4,4
2014-08-24 15:10:39,7,4,4,4
2014-08-24 15:10:40,7,7,4,4
2014-08-24 15:10:41,7,7,4,4
2014-08-24 15:10:42,7,7,4,4
2014-08-24 15:10:43,7,8,4,4
2014-08-24 15:10:44,7,7,4,4
2014-08-24 15:10:45,7,8,4,4
2014-08-24 15:10:46,7,8,4,4
2014-08-24 15:10:47,7,8,4,4
2014-08-24 15:10:48,7,8,4,4
2014-08-24 15:10:49,7,8,4,4
2014-08-24 15:10:50,7,8,4,4
2014-08-24 15:10:51,7,8,4,4
2014-08-24 15:10:52,7,8,4,8
2014-08-24 15:10:53,7,8,4,4
2014-08-24 15:10:54,7,8,4,4
2014-08-24 15:10:55,7,7,4,4
2014-08-24 15:10:56,4,7,4,4
2014-08-24 15:10:57,4,8,4,4
2014-08-24 15:10:58,4,8,4,4
2014-08-24 15:10:59,4,7,4,4
