time,charles_ipadair,charles,christina,yvonne,jonathan_iPad2,jonathan
2014-03-15 12:37:30,7,6,6,6,7,6
2014-03-15 12:37:31,7,6,6,6,7,7
2014-03-15 12:37:32,7,6,6,6,7,7
2014-03-15 12:37:33,7,6,6,6,7,7
2014-03-15 12:37:34,7,6,6,6,7,7
2014-03-15 12:37:35,7,6,6,6,6,7
2014-03-15 12:37:36,7,6,6,7,7,7
2014-03-15 12:37:37,7,7,6,7,7,7
2014-03-15 12:37:38,7,6,6,7,7,7
2014-03-15 12:37:39,7,6,6,7,7,8
2014-03-15 12:37:40,7,6,6,7,7,7
2014-03-15 12:37:41,7,6,6,7,7,7
2014-03-15 12:37:42,7,6,8,6,7,8
2014-03-15 12:37:43,7,6,6,6,7,7
2014-03-15 12:37:44,7,8,8,6,7,8
2014-03-15 12:37:45,7,6,6,6,7,7
2014-03-15 12:37:46,7,6,6,6,7,7
2014-03-15 12:37:47,7,7,7,6,7,8
2014-03-15 12:37:48,7,4,4,6,7,7
2014-03-15 12:37:49,7,8,3,6,7,7
2014-03-15 12:37:50,7,8,8,6,7,8
2014-03-15 12:37:51,4,2,2,6,7,7
2014-03-15 12:37:52,4,2,2,6,7,7
2014-03-15 12:37:53,8,2,2,6,4,7
2014-03-15 12:37:54,8,2,2,6,4,7
2014-03-15 12:37:55,4,2,2,6,4,6
2014-03-15 12:37:56,8,2,2,6,8,6
2014-03-15 12:37:57,8,2,2,6,8,6
2014-03-15 12:37:58,8,2,2,6,8,6
2014-03-15 12:37:59,8,2,2,6,8,6
2014-03-15 12:38:00,8,2,2,6,8,6
2014-03-15 12:38:01,8,2,2,6,4,6
2014-03-15 12:38:02,8,2,2,6,4,6
2014-03-15 12:38:03,8,2,2,6,4,6
2014-03-15 12:38:04,8,2,2,6,4,6
2014-03-15 12:38:05,8,2,2,6,4,6
2014-03-15 12:38:06,8,2,2,6,4,6
2014-03-15 12:38:07,8,2,2,4,4,6
2014-03-15 12:38:08,8,2,2,4,4,6
2014-03-15 12:38:09,8,2,2,4,4,6
2014-03-15 12:38:10,8,2,2,6,4,6
2014-03-15 12:38:11,8,2,2,6,4,6
2014-03-15 12:38:12,8,2,2,6,4,6
2014-03-15 12:38:13,8,2,2,6,4,6
2014-03-15 12:38:14,8,2,2,4,4,6
2014-03-15 12:38:15,8,2,2,4,4,6
2014-03-15 12:38:16,8,2,2,4,4,7
