time,charles,yvonne,christina,jonathan
2014-08-24 16:02:56,0,3,1,6
2014-08-24 16:02:57,0,3,1,6
2014-08-24 16:02:58,0,1,1,6
2014-08-24 16:02:59,0,1,1,6
2014-08-24 16:03:00,0,3,3,4
2014-08-24 16:03:01,0,8,4,4
2014-08-24 16:03:02,0,4,4,4
2014-08-24 16:03:03,0,7,4,4
2014-08-24 16:03:04,0,7,6,4
2014-08-24 16:03:05,0,2,8,3
2014-08-24 16:03:06,0,2,6,3
2014-08-24 16:03:07,0,2,6,3
2014-08-24 16:03:08,0,2,7,3
2014-08-24 16:03:09,0,4,4,3
2014-08-24 16:03:10,0,4,4,3
2014-08-24 16:03:11,0,8,4,3
2014-08-24 16:03:12,0,3,4,4
2014-08-24 16:03:13,0,3,7,7
2014-08-24 16:03:14,0,3,4,8
2014-08-24 16:03:15,0,3,4,8
2014-08-24 16:03:16,0,3,4,7
2014-08-24 16:03:17,0,3,4,7
2014-08-24 16:03:18,0,3,2,4
2014-08-24 16:03:19,0,3,2,0
2014-08-24 16:03:20,0,3,4,0
2014-08-24 16:03:21,0,8,4,0
2014-08-24 16:03:22,0,8,4,0
2014-08-24 16:03:23,0,8,6,0
2014-08-24 16:03:24,0,8,8,0
2014-08-24 16:03:25,0,8,8,0
2014-08-24 16:03:26,0,4,8,2
2014-08-24 16:03:27,0,2,6,2
2014-08-24 16:03:28,0,5,7,2
2014-08-24 16:03:29,0,0,4,2
2014-08-24 16:03:30,0,2,0,2
2014-08-24 16:03:31,0,2,0,2
2014-08-24 16:03:32,0,2,0,2
2014-08-24 16:03:33,0,2,0,2
2014-08-24 16:03:34,0,2,4,2
2014-08-24 16:03:35,0,2,4,2
2014-08-24 16:03:36,0,2,4,2
2014-08-24 16:03:37,0,3,4,8
2014-08-24 16:03:38,0,4,4,8
2014-08-24 16:03:39,0,4,4,8
2014-08-24 16:03:40,0,4,4,7
2014-08-24 16:03:41,0,4,4,7
2014-08-24 16:03:42,0,7,4,7
2014-08-24 16:03:43,0,7,7,7
2014-08-24 16:03:44,0,2,7,7
2014-08-24 16:03:45,0,0,7,8
2014-08-24 16:03:46,0,2,7,8
2014-08-24 16:03:47,0,2,6,8
2014-08-24 16:03:48,0,2,7,8
2014-08-24 16:03:49,0,2,7,8
2014-08-24 16:03:50,0,2,7,8
2014-08-24 16:03:51,0,1,4,8
2014-08-24 16:03:52,0,2,4,8
2014-08-24 16:03:53,0,2,4,8
2014-08-24 16:03:54,0,4,6,8
2014-08-24 16:03:55,0,4,6,7
2014-08-24 16:03:56,0,4,6,7
2014-08-24 16:03:57,0,7,6,7
2014-08-24 16:03:58,0,7,6,7
2014-08-24 16:03:59,0,7,4,8
2014-08-24 16:04:00,0,7,4,4
2014-08-24 16:04:01,0,8,4,8
2014-08-24 16:04:02,0,5,4,2
2014-08-24 16:04:03,0,5,2,2
2014-08-24 16:04:04,0,5,3,2
2014-08-24 16:04:05,0,5,3,2
2014-08-24 16:04:06,0,5,3,2
2014-08-24 16:04:07,0,5,2,2
2014-08-24 16:04:08,0,5,2,2
2014-08-24 16:04:09,0,0,4,2
2014-08-24 16:04:10,0,0,4,2
2014-08-24 16:04:11,0,0,4,2
2014-08-24 16:04:12,0,0,4,2
